id,title,level,needLv,needSpirit,needSkillId,needSkillLv,needItemId,needItemNum,addAttr,addAttrVal,desc,endRow
100183,84级圣骑被动技能1,84,84,8400,,,,,1,10063,提升圣骑10063生命,
100184,85级圣骑被动技能1,85,85,8500,,,,,1,10183,提升圣骑10183生命,
100185,86级圣骑被动技能1,86,86,8600,,,,,1,10302,提升圣骑10302生命,
100186,87级圣骑被动技能1,87,87,8700,,,,,1,10422,提升圣骑10422生命,
100187,88级圣骑被动技能1,88,88,8800,,,,,1,10542,提升圣骑10542生命,
100188,89级圣骑被动技能1,89,89,8900,,,,,1,10662,提升圣骑10662生命,
100189,90级圣骑被动技能1,90,90,9000,,,,,1,10782,提升圣骑10782生命,
100190,91级圣骑被动技能1,91,91,9100,,,,,1,10901,提升圣骑10901生命,
100191,92级圣骑被动技能1,92,92,9200,,,,,1,11021,提升圣骑11021生命,
100192,93级圣骑被动技能1,93,93,9300,,,,,1,11141,提升圣骑11141生命,
100193,94级圣骑被动技能1,94,94,9400,,,,,1,11261,提升圣骑11261生命,
100194,95级圣骑被动技能1,95,95,9500,,,,,1,11381,提升圣骑11381生命,
100195,96级圣骑被动技能1,96,96,9600,,,,,1,11500,提升圣骑11500生命,
100196,97级圣骑被动技能1,97,97,9700,,,,,1,11620,提升圣骑11620生命,
100197,98级圣骑被动技能1,98,98,9800,,,,,1,11740,提升圣骑11740生命,
100198,99级圣骑被动技能1,99,99,9900,,,,,1,11860,提升圣骑11860生命,
100199,100级圣骑被动技能1,100,100,10000,,,,,1,11980,提升圣骑11980生命,
100200,1级圣骑被动技能2,1,1,100,,,,,2,1,提升圣骑1法力,
100201,2级圣骑被动技能2,2,2,200,,,,,2,2,提升圣骑2法力,
100202,3级圣骑被动技能2,3,3,300,,,,,2,3,提升圣骑3法力,
100203,4级圣骑被动技能2,4,4,400,,,,,2,4,提升圣骑4法力,
100204,5级圣骑被动技能2,5,5,500,,,,,2,5,提升圣骑5法力,
100205,6级圣骑被动技能2,6,6,600,,,,,2,6,提升圣骑6法力,
100206,7级圣骑被动技能2,7,7,700,,,,,2,7,提升圣骑7法力,
100207,8级圣骑被动技能2,8,8,800,,,,,2,8,提升圣骑8法力,
100208,9级圣骑被动技能2,9,9,900,,,,,2,9,提升圣骑9法力,
100209,10级圣骑被动技能2,10,10,1000,,,,,2,10,提升圣骑10法力,
100210,11级圣骑被动技能2,11,11,1100,,,,,2,11,提升圣骑11法力,
100211,12级圣骑被动技能2,12,12,1200,,,,,2,12,提升圣骑12法力,
100212,13级圣骑被动技能2,13,13,1300,,,,,2,13,提升圣骑13法力,
100213,14级圣骑被动技能2,14,14,1400,,,,,2,14,提升圣骑14法力,
100214,15级圣骑被动技能2,15,15,1500,,,,,2,15,提升圣骑15法力,
100215,16级圣骑被动技能2,16,16,1600,,,,,2,16,提升圣骑16法力,
100216,17级圣骑被动技能2,17,17,1700,,,,,2,17,提升圣骑17法力,
100217,18级圣骑被动技能2,18,18,1800,,,,,2,18,提升圣骑18法力,
100218,19级圣骑被动技能2,19,19,1900,,,,,2,19,提升圣骑19法力,
100219,20级圣骑被动技能2,20,20,2000,,,,,2,20,提升圣骑20法力,
100220,21级圣骑被动技能2,21,21,2100,,,,,2,21,提升圣骑21法力,
100221,22级圣骑被动技能2,22,22,2200,,,,,2,22,提升圣骑22法力,
100222,23级圣骑被动技能2,23,23,2300,,,,,2,23,提升圣骑23法力,
100223,24级圣骑被动技能2,24,24,2400,,,,,2,24,提升圣骑24法力,
100224,25级圣骑被动技能2,25,25,2500,,,,,2,25,提升圣骑25法力,
100225,26级圣骑被动技能2,26,26,2600,,,,,2,26,提升圣骑26法力,
100226,27级圣骑被动技能2,27,27,2700,,,,,2,27,提升圣骑27法力,
100227,28级圣骑被动技能2,28,28,2800,,,,,2,28,提升圣骑28法力,
100228,29级圣骑被动技能2,29,29,2900,,,,,2,29,提升圣骑29法力,
100229,30级圣骑被动技能2,30,30,3000,,,,,2,30,提升圣骑30法力,
100230,31级圣骑被动技能2,31,31,3100,,,,,2,31,提升圣骑31法力,
100231,32级圣骑被动技能2,32,32,3200,,,,,2,32,提升圣骑32法力,
100232,33级圣骑被动技能2,33,33,3300,,,,,2,33,提升圣骑33法力,
100233,34级圣骑被动技能2,34,34,3400,,,,,2,34,提升圣骑34法力,
100234,35级圣骑被动技能2,35,35,3500,,,,,2,35,提升圣骑35法力,
100235,36级圣骑被动技能2,36,36,3600,,,,,2,36,提升圣骑36法力,
100236,37级圣骑被动技能2,37,37,3700,,,,,2,37,提升圣骑37法力,
100237,38级圣骑被动技能2,38,38,3800,,,,,2,38,提升圣骑38法力,
100238,39级圣骑被动技能2,39,39,3900,,,,,2,39,提升圣骑39法力,
100239,40级圣骑被动技能2,40,40,4000,,,,,2,40,提升圣骑40法力,
100240,41级圣骑被动技能2,41,41,4100,,,,,2,41,提升圣骑41法力,
100241,42级圣骑被动技能2,42,42,4200,,,,,2,42,提升圣骑42法力,
100242,43级圣骑被动技能2,43,43,4300,,,,,2,43,提升圣骑43法力,
100243,44级圣骑被动技能2,44,44,4400,,,,,2,44,提升圣骑44法力,
100244,45级圣骑被动技能2,45,45,4500,,,,,2,45,提升圣骑45法力,
100245,46级圣骑被动技能2,46,46,4600,,,,,2,46,提升圣骑46法力,
100246,47级圣骑被动技能2,47,47,4700,,,,,2,47,提升圣骑47法力,
100247,48级圣骑被动技能2,48,48,4800,,,,,2,48,提升圣骑48法力,
100248,49级圣骑被动技能2,49,49,4900,,,,,2,49,提升圣骑49法力,
100249,50级圣骑被动技能2,50,50,5000,,,,,2,50,提升圣骑50法力,
100250,51级圣骑被动技能2,51,51,5100,,,,,2,51,提升圣骑51法力,
100251,52级圣骑被动技能2,52,52,5200,,,,,2,52,提升圣骑52法力,
100252,53级圣骑被动技能2,53,53,5300,,,,,2,53,提升圣骑53法力,
100253,54级圣骑被动技能2,54,54,5400,,,,,2,54,提升圣骑54法力,
100254,55级圣骑被动技能2,55,55,5500,,,,,2,55,提升圣骑55法力,
100255,56级圣骑被动技能2,56,56,5600,,,,,2,56,提升圣骑56法力,
100256,57级圣骑被动技能2,57,57,5700,,,,,2,57,提升圣骑57法力,
100257,58级圣骑被动技能2,58,58,5800,,,,,2,58,提升圣骑58法力,
100258,59级圣骑被动技能2,59,59,5900,,,,,2,59,提升圣骑59法力,
100259,60级圣骑被动技能2,60,60,6000,,,,,2,60,提升圣骑60法力,
100260,61级圣骑被动技能2,61,61,6100,,,,,2,61,提升圣骑61法力,
100261,62级圣骑被动技能2,62,62,6200,,,,,2,62,提升圣骑62法力,
100262,63级圣骑被动技能2,63,63,6300,,,,,2,63,提升圣骑63法力,
100263,64级圣骑被动技能2,64,64,6400,,,,,2,64,提升圣骑64法力,
100264,65级圣骑被动技能2,65,65,6500,,,,,2,65,提升圣骑65法力,
100265,66级圣骑被动技能2,66,66,6600,,,,,2,66,提升圣骑66法力,
100266,67级圣骑被动技能2,67,67,6700,,,,,2,67,提升圣骑67法力,
100267,68级圣骑被动技能2,68,68,6800,,,,,2,68,提升圣骑68法力,
100268,69级圣骑被动技能2,69,69,6900,,,,,2,69,提升圣骑69法力,
100269,70级圣骑被动技能2,70,70,7000,,,,,2,70,提升圣骑70法力,
100270,71级圣骑被动技能2,71,71,7100,,,,,2,71,提升圣骑71法力,
100271,72级圣骑被动技能2,72,72,7200,,,,,2,72,提升圣骑72法力,
100272,73级圣骑被动技能2,73,73,7300,,,,,2,73,提升圣骑73法力,
100273,74级圣骑被动技能2,74,74,7400,,,,,2,74,提升圣骑74法力,
100274,75级圣骑被动技能2,75,75,7500,,,,,2,75,提升圣骑75法力,
100275,76级圣骑被动技能2,76,76,7600,,,,,2,76,提升圣骑76法力,
100276,77级圣骑被动技能2,77,77,7700,,,,,2,77,提升圣骑77法力,
100277,78级圣骑被动技能2,78,78,7800,,,,,2,78,提升圣骑78法力,
100278,79级圣骑被动技能2,79,79,7900,,,,,2,79,提升圣骑79法力,
100279,80级圣骑被动技能2,80,80,8000,,,,,2,80,提升圣骑80法力,
100280,81级圣骑被动技能2,81,81,8100,,,,,2,81,提升圣骑81法力,
100281,82级圣骑被动技能2,82,82,8200,,,,,2,82,提升圣骑82法力,
100282,83级圣骑被动技能2,83,83,8300,,,,,2,83,提升圣骑83法力,
100283,84级圣骑被动技能2,84,84,8400,,,,,2,84,提升圣骑84法力,
100284,85级圣骑被动技能2,85,85,8500,,,,,2,85,提升圣骑85法力,
100285,86级圣骑被动技能2,86,86,8600,,,,,2,86,提升圣骑86法力,
100286,87级圣骑被动技能2,87,87,8700,,,,,2,87,提升圣骑87法力,
100287,88级圣骑被动技能2,88,88,8800,,,,,2,88,提升圣骑88法力,
100288,89级圣骑被动技能2,89,89,8900,,,,,2,89,提升圣骑89法力,
100289,90级圣骑被动技能2,90,90,9000,,,,,2,90,提升圣骑90法力,
100290,91级圣骑被动技能2,91,91,9100,,,,,2,91,提升圣骑91法力,
100291,92级圣骑被动技能2,92,92,9200,,,,,2,92,提升圣骑92法力,
100292,93级圣骑被动技能2,93,93,9300,,,,,2,93,提升圣骑93法力,
100293,94级圣骑被动技能2,94,94,9400,,,,,2,94,提升圣骑94法力,
100294,95级圣骑被动技能2,95,95,9500,,,,,2,95,提升圣骑95法力,
100295,96级圣骑被动技能2,96,96,9600,,,,,2,96,提升圣骑96法力,
100296,97级圣骑被动技能2,97,97,9700,,,,,2,97,提升圣骑97法力,
100297,98级圣骑被动技能2,98,98,9800,,,,,2,98,提升圣骑98法力,
100298,99级圣骑被动技能2,99,99,9900,,,,,2,99,提升圣骑99法力,
100299,100级圣骑被动技能2,100,100,10000,,,,,2,100,提升圣骑100法力,
100300,1级圣骑被动技能3,1,1,100,,,,,3,17,提升圣骑17物攻,
100301,2级圣骑被动技能3,2,2,200,,,,,3,34,提升圣骑34物攻,
100302,3级圣骑被动技能3,3,3,300,,,,,3,51,提升圣骑51物攻,
100303,4级圣骑被动技能3,4,4,400,,,,,3,68,提升圣骑68物攻,
100304,5级圣骑被动技能3,5,5,500,,,,,3,86,提升圣骑86物攻,
100305,6级圣骑被动技能3,6,6,600,,,,,3,103,提升圣骑103物攻,
100306,7级圣骑被动技能3,7,7,700,,,,,3,120,提升圣骑120物攻,
100307,8级圣骑被动技能3,8,8,800,,,,,3,137,提升圣骑137物攻,
100308,9级圣骑被动技能3,9,9,900,,,,,3,154,提升圣骑154物攻,
100309,10级圣骑被动技能3,10,10,1000,,,,,3,172,提升圣骑172物攻,
100310,11级圣骑被动技能3,11,11,1100,,,,,3,189,提升圣骑189物攻,
100311,12级圣骑被动技能3,12,12,1200,,,,,3,206,提升圣骑206物攻,
100312,13级圣骑被动技能3,13,13,1300,,,,,3,223,提升圣骑223物攻,
100313,14级圣骑被动技能3,14,14,1400,,,,,3,240,提升圣骑240物攻,
100314,15级圣骑被动技能3,15,15,1500,,,,,3,258,提升圣骑258物攻,
100315,16级圣骑被动技能3,16,16,1600,,,,,3,275,提升圣骑275物攻,
100316,17级圣骑被动技能3,17,17,1700,,,,,3,292,提升圣骑292物攻,
100317,18级圣骑被动技能3,18,18,1800,,,,,3,309,提升圣骑309物攻,
100318,19级圣骑被动技能3,19,19,1900,,,,,3,326,提升圣骑326物攻,
100319,20级圣骑被动技能3,20,20,2000,,,,,3,344,提升圣骑344物攻,
100320,21级圣骑被动技能3,21,21,2100,,,,,3,361,提升圣骑361物攻,
100321,22级圣骑被动技能3,22,22,2200,,,,,3,378,提升圣骑378物攻,
100322,23级圣骑被动技能3,23,23,2300,,,,,3,395,提升圣骑395物攻,
100323,24级圣骑被动技能3,24,24,2400,,,,,3,412,提升圣骑412物攻,
100324,25级圣骑被动技能3,25,25,2500,,,,,3,430,提升圣骑430物攻,
100325,26级圣骑被动技能3,26,26,2600,,,,,3,447,提升圣骑447物攻,
100326,27级圣骑被动技能3,27,27,2700,,,,,3,464,提升圣骑464物攻,
100327,28级圣骑被动技能3,28,28,2800,,,,,3,481,提升圣骑481物攻,
100328,29级圣骑被动技能3,29,29,2900,,,,,3,498,提升圣骑498物攻,
100329,30级圣骑被动技能3,30,30,3000,,,,,3,516,提升圣骑516物攻,
100330,31级圣骑被动技能3,31,31,3100,,,,,3,533,提升圣骑533物攻,
100331,32级圣骑被动技能3,32,32,3200,,,,,3,550,提升圣骑550物攻,
100332,33级圣骑被动技能3,33,33,3300,,,,,3,567,提升圣骑567物攻,
100333,34级圣骑被动技能3,34,34,3400,,,,,3,584,提升圣骑584物攻,
100334,35级圣骑被动技能3,35,35,3500,,,,,3,602,提升圣骑602物攻,
100335,36级圣骑被动技能3,36,36,3600,,,,,3,619,提升圣骑619物攻,
100336,37级圣骑被动技能3,37,37,3700,,,,,3,636,提升圣骑636物攻,
100337,38级圣骑被动技能3,38,38,3800,,,,,3,653,提升圣骑653物攻,
100338,39级圣骑被动技能3,39,39,3900,,,,,3,670,提升圣骑670物攻,
100339,40级圣骑被动技能3,40,40,4000,,,,,3,688,提升圣骑688物攻,
100340,41级圣骑被动技能3,41,41,4100,,,,,3,705,提升圣骑705物攻,
100341,42级圣骑被动技能3,42,42,4200,,,,,3,722,提升圣骑722物攻,
100342,43级圣骑被动技能3,43,43,4300,,,,,3,739,提升圣骑739物攻,
100343,44级圣骑被动技能3,44,44,4400,,,,,3,756,提升圣骑756物攻,
100344,45级圣骑被动技能3,45,45,4500,,,,,3,774,提升圣骑774物攻,
100345,46级圣骑被动技能3,46,46,4600,,,,,3,791,提升圣骑791物攻,
100346,47级圣骑被动技能3,47,47,4700,,,,,3,808,提升圣骑808物攻,
100347,48级圣骑被动技能3,48,48,4800,,,,,3,825,提升圣骑825物攻,
100348,49级圣骑被动技能3,49,49,4900,,,,,3,842,提升圣骑842物攻,
100349,50级圣骑被动技能3,50,50,5000,,,,,3,860,提升圣骑860物攻,
100350,51级圣骑被动技能3,51,51,5100,,,,,3,877,提升圣骑877物攻,
100351,52级圣骑被动技能3,52,52,5200,,,,,3,894,提升圣骑894物攻,
100352,53级圣骑被动技能3,53,53,5300,,,,,3,911,提升圣骑911物攻,
100353,54级圣骑被动技能3,54,54,5400,,,,,3,928,提升圣骑928物攻,
100354,55级圣骑被动技能3,55,55,5500,,,,,3,946,提升圣骑946物攻,
100355,56级圣骑被动技能3,56,56,5600,,,,,3,963,提升圣骑963物攻,
100356,57级圣骑被动技能3,57,57,5700,,,,,3,980,提升圣骑980物攻,
100357,58级圣骑被动技能3,58,58,5800,,,,,3,997,提升圣骑997物攻,
100358,59级圣骑被动技能3,59,59,5900,,,,,3,1014,提升圣骑1014物攻,
100359,60级圣骑被动技能3,60,60,6000,,,,,3,1032,提升圣骑1032物攻,
100360,61级圣骑被动技能3,61,61,6100,,,,,3,1049,提升圣骑1049物攻,
100361,62级圣骑被动技能3,62,62,6200,,,,,3,1066,提升圣骑1066物攻,
100362,63级圣骑被动技能3,63,63,6300,,,,,3,1083,提升圣骑1083物攻,
100363,64级圣骑被动技能3,64,64,6400,,,,,3,1100,提升圣骑1100物攻,
100364,65级圣骑被动技能3,65,65,6500,,,,,3,1118,提升圣骑1118物攻,
100365,66级圣骑被动技能3,66,66,6600,,,,,3,1135,提升圣骑1135物攻,
100366,67级圣骑被动技能3,67,67,6700,,,,,3,1152,提升圣骑1152物攻,
100367,68级圣骑被动技能3,68,68,6800,,,,,3,1169,提升圣骑1169物攻,
100368,69级圣骑被动技能3,69,69,6900,,,,,3,1186,提升圣骑1186物攻,
100369,70级圣骑被动技能3,70,70,7000,,,,,3,1204,提升圣骑1204物攻,
100370,71级圣骑被动技能3,71,71,7100,,,,,3,1221,提升圣骑1221物攻,
100371,72级圣骑被动技能3,72,72,7200,,,,,3,1238,提升圣骑1238物攻,
100372,73级圣骑被动技能3,73,73,7300,,,,,3,1255,提升圣骑1255物攻,
100373,74级圣骑被动技能3,74,74,7400,,,,,3,1272,提升圣骑1272物攻,
100374,75级圣骑被动技能3,75,75,7500,,,,,3,1290,提升圣骑1290物攻,
100375,76级圣骑被动技能3,76,76,7600,,,,,3,1307,提升圣骑1307物攻,
100376,77级圣骑被动技能3,77,77,7700,,,,,3,1324,提升圣骑1324物攻,
100377,78级圣骑被动技能3,78,78,7800,,,,,3,1341,提升圣骑1341物攻,
100378,79级圣骑被动技能3,79,79,7900,,,,,3,1358,提升圣骑1358物攻,
100379,80级圣骑被动技能3,80,80,8000,,,,,3,1376,提升圣骑1376物攻,
100380,81级圣骑被动技能3,81,81,8100,,,,,3,1393,提升圣骑1393物攻,
100381,82级圣骑被动技能3,82,82,8200,,,,,3,1410,提升圣骑1410物攻,
100382,83级圣骑被动技能3,83,83,8300,,,,,3,1427,提升圣骑1427物攻,
100383,84级圣骑被动技能3,84,84,8400,,,,,3,1444,提升圣骑1444物攻,
100384,85级圣骑被动技能3,85,85,8500,,,,,3,1462,提升圣骑1462物攻,
100385,86级圣骑被动技能3,86,86,8600,,,,,3,1479,提升圣骑1479物攻,
100386,87级圣骑被动技能3,87,87,8700,,,,,3,1496,提升圣骑1496物攻,
100387,88级圣骑被动技能3,88,88,8800,,,,,3,1513,提升圣骑1513物攻,
100388,89级圣骑被动技能3,89,89,8900,,,,,3,1530,提升圣骑1530物攻,
100389,90级圣骑被动技能3,90,90,9000,,,,,3,1548,提升圣骑1548物攻,
100390,91级圣骑被动技能3,91,91,9100,,,,,3,1565,提升圣骑1565物攻,
100391,92级圣骑被动技能3,92,92,9200,,,,,3,1582,提升圣骑1582物攻,
100392,93级圣骑被动技能3,93,93,9300,,,,,3,1599,提升圣骑1599物攻,
100393,94级圣骑被动技能3,94,94,9400,,,,,3,1616,提升圣骑1616物攻,
100394,95级圣骑被动技能3,95,95,9500,,,,,3,1634,提升圣骑1634物攻,
100395,96级圣骑被动技能3,96,96,9600,,,,,3,1651,提升圣骑1651物攻,
100396,97级圣骑被动技能3,97,97,9700,,,,,3,1668,提升圣骑1668物攻,
100397,98级圣骑被动技能3,98,98,9800,,,,,3,1685,提升圣骑1685物攻,
100398,99级圣骑被动技能3,99,99,9900,,,,,3,1702,提升圣骑1702物攻,
100399,100级圣骑被动技能3,100,100,10000,,,,,3,1720,提升圣骑1720物攻,
100400,1级圣骑被动技能4,1,1,100,,,,,4,24,提升圣骑24物防,
100401,2级圣骑被动技能4,2,2,200,,,,,4,48,提升圣骑48物防,
100402,3级圣骑被动技能4,3,3,300,,,,,4,72,提升圣骑72物防,
100403,4级圣骑被动技能4,4,4,400,,,,,4,96,提升圣骑96物防,
100404,5级圣骑被动技能4,5,5,500,,,,,4,120,提升圣骑120物防,
100405,6级圣骑被动技能4,6,6,600,,,,,4,144,提升圣骑144物防,
100406,7级圣骑被动技能4,7,7,700,,,,,4,168,提升圣骑168物防,
100407,8级圣骑被动技能4,8,8,800,,,,,4,192,提升圣骑192物防,
100408,9级圣骑被动技能4,9,9,900,,,,,4,216,提升圣骑216物防,
100409,10级圣骑被动技能4,10,10,1000,,,,,4,240,提升圣骑240物防,
100410,11级圣骑被动技能4,11,11,1100,,,,,4,264,提升圣骑264物防,
100411,12级圣骑被动技能4,12,12,1200,,,,,4,288,提升圣骑288物防,
100412,13级圣骑被动技能4,13,13,1300,,,,,4,312,提升圣骑312物防,
100413,14级圣骑被动技能4,14,14,1400,,,,,4,336,提升圣骑336物防,
100414,15级圣骑被动技能4,15,15,1500,,,,,4,360,提升圣骑360物防,
100415,16级圣骑被动技能4,16,16,1600,,,,,4,384,提升圣骑384物防,
100416,17级圣骑被动技能4,17,17,1700,,,,,4,408,提升圣骑408物防,
100417,18级圣骑被动技能4,18,18,1800,,,,,4,432,提升圣骑432物防,
100418,19级圣骑被动技能4,19,19,1900,,,,,4,456,提升圣骑456物防,
100419,20级圣骑被动技能4,20,20,2000,,,,,4,480,提升圣骑480物防,
100420,21级圣骑被动技能4,21,21,2100,,,,,4,504,提升圣骑504物防,
100421,22级圣骑被动技能4,22,22,2200,,,,,4,528,提升圣骑528物防,
100422,23级圣骑被动技能4,23,23,2300,,,,,4,552,提升圣骑552物防,
100423,24级圣骑被动技能4,24,24,2400,,,,,4,576,提升圣骑576物防,
100424,25级圣骑被动技能4,25,25,2500,,,,,4,600,提升圣骑600物防,
100425,26级圣骑被动技能4,26,26,2600,,,,,4,624,提升圣骑624物防,
100426,27级圣骑被动技能4,27,27,2700,,,,,4,648,提升圣骑648物防,
100427,28级圣骑被动技能4,28,28,2800,,,,,4,672,提升圣骑672物防,
