id,title,ico,type,job,kind,priority,castType,lvMax,stage2Id,stage2LvMax,stage3Id,stage3LvMax,desc,endRow
8148,将军普攻,1610002,3,0,0,1,0,1,,,,,将军普攻,
8149,将军旋风斩,1610002,3,0,0,51,2,1,,,,,将军旋风斩,
8150,将军蓄力直线斩,1610002,3,0,0,51,1,1,,,,,将军蓄力直线斩,
8151,将军蓄力三段斩,1610002,3,0,0,51,1,1,,,,,将军蓄力三段斩,
8152,炽火龙普攻,1610002,3,0,0,51,0,1,,,,,炽火龙普攻,
8153,炽火龙飞翔能量炮,1610002,3,0,0,51,1,1,,,,,炽火龙飞翔能量炮,
8154,炽火龙龙吐息,1610002,3,0,0,51,2,1,,,,,炽火龙龙吐息,
8155,阿伽门农普攻,1610002,3,0,0,1,0,1,,,,,阿伽门农普攻,
8156,阿伽门农斩出冰剑,1610002,3,0,0,51,1,1,,,,,阿伽门农斩出冰剑,
8157,阿伽门农四连斩,1610002,3,0,0,51,1,1,,,,,阿伽门农四连斩,
8158,阿伽门农冲刺,1610002,3,0,0,51,1,1,,,,,阿伽门农冲刺,
8159,斯琳娜普攻,1610002,3,0,0,1,1,1,,,,,斯琳娜普攻,
8160,斯琳娜蓄力圆形范围攻击,1610002,3,0,0,51,2,1,,,,,斯琳娜蓄力圆形范围攻击,
8161,斯琳娜蓄力向四周发出魔力球,1610002,3,0,0,51,1,1,,,,,斯琳娜蓄力向四周发出魔力球,
8162,斯琳娜蓄力柱形范围攻击,1610002,3,0,0,51,1,1,,,,,斯琳娜蓄力柱形范围攻击,
8163,哥布林剑士普攻1,1610002,3,0,0,1,0,1,,,,,哥布林剑士普攻1,
8164,哥布林剑士普攻2,1610002,3,0,0,1,0,1,,,,,哥布林剑士普攻2,
8165,普攻,1610002,3,32,0,1,0,1,,,,,战斗雅典娜普攻,
8166,圣疗术,1610002,3,32,0,51,0,1,,,,,战斗雅典娜圣疗术,
8167,圣盾防御,1610002,3,32,0,51,0,1,,,,,战斗雅典娜圣盾防御,
8168,圣光审判,1610002,3,32,0,51,0,1,,,,,战斗雅典娜圣光审判,
8169,魔化狼人冲锋,1610002,3,0,0,51,1,1,,,,,狼人冲锋,
8170,魔化狼人双爪击,1610002,3,0,0,51,0,1,,,,,狼人双爪击,
8171,魔化狼人跳跃双爪击,1610002,3,0,0,51,0,1,,,,,狼人跳跃双爪击,
8172,邪恶的英灵减速普攻,1610002,3,0,0,1,1,1,,,,,邪恶的英灵普攻,
8173,守卫持枪普攻,1610002,3,0,0,1,0,1,,,,,8173,
8174,神祗普攻召唤幽灵,1610002,3,0,0,1,0,1,,,,,神祗普攻召唤幽灵,
8175,神祗召唤寒冰幽灵,1610002,3,0,0,51,2,1,,,,,神祗召唤寒冰幽灵,
8176,神祗召唤火焰幽灵,1610002,3,0,0,51,2,1,,,,,神祗召唤火焰幽灵,
8177,神祗召唤暗影幽灵,1610002,3,0,0,51,2,1,,,,,神祗召唤暗影幽灵,
8178,守墓者冲锋,1610002,3,0,0,51,1,1,,,,,守墓者冲锋,
8179,守墓者射出魔剑,1610002,3,0,0,51,1,1,,,,,守墓者射出魔剑,
8180,守墓者召唤降落魔剑,1610002,3,0,0,51,2,1,,,,,守墓者召唤降落魔剑,
8181,路西法落球,1610002,3,0,0,51,0,1,,,,,新手剧情路西法落球,
8182,狼人反击技能,1610002,3,0,0,51,0,1,,,,,狼人反击技能,
8183,游侠普攻2,1610002,3,0,0,1,0,1,,,,,游侠普攻2,
8184,路西法普攻,1610002,3,0,0,1,0,1,,,,,路西法普攻,
8185,路西法魔爪群现,1610002,3,0,0,51,0,1,,,,,魔爪群现,
8186,路西法激光炮,1610002,3,0,0,51,0,1,,,,,激光炮,
8188,丧尸英雄王普攻,1610002,3,0,0,1,0,1,,,,,普通攻击,
8189,丧尸英雄王普攻2,1610002,3,0,0,1,0,1,,,,,普通攻击,
8190,丧尸英雄王旋风斩,1610002,3,0,0,51,0,1,,,,,转动自身产生范围伤害,
8191,丧尸英雄王蓄力直线斩,1610002,3,0,0,51,0,1,,,,,举起刀蓄力然后向前斩出直线攻击,
8192,丧尸英雄王蓄力四段斩,1610002,3,0,0,51,0,1,,,,,蓄力后向前连击四下,
8193,战斗雅典娜普攻,1610002,3,0,0,1,0,1,,,,,,
8194,战斗雅典娜圣疗术,1610002,3,0,0,51,0,1,,,,,,
8195,战斗雅典娜圣盾防御,1610002,3,0,0,51,0,1,,,,,,
8196,战斗雅典娜圣光审判,1610002,3,0,0,51,0,1,,,,,,
8197,远征军守卫天崩地裂,1610002,3,0,0,51,0,1,,,,,,
8198,远征军守卫召唤地岩,1610002,3,0,0,51,0,1,,,,,,
8199,远征军守卫提升防御,1610002,3,0,0,51,0,1,,,,,,
8201,霸体buff,1610002,3,0,0,99,0,1,,,,,霸体buff,
8203,帝王蛛普通攻击,1610002,3,0,0,1,0,1,,,,,,
8204,帝王蛛连续吐毒液,1610002,3,0,0,51,0,1,,,,,,
8205,帝王蛛吐蜘蛛丝,1610002,3,0,0,51,0,1,,,,,,
8207,魔蛛普通攻击,1610002,3,0,0,1,0,1,,,,,,
8208,魔蛛吐毒沼,1610002,3,0,0,51,0,1,,,,,,
8209,魔蛛连续吐毒液,1610002,3,0,0,51,0,1,,,,,,
8210,魔蛛扫射毒液,1610002,3,0,0,51,0,1,,,,,,
8211,熔岩蛛普通攻击,1610002,3,0,0,1,0,1,,,,,,
8215,赤炎蝎子普通攻击,1610002,3,0,0,1,0,1,,,,,,
8216,赤炎蝎子发出震动波,1610002,3,0,0,51,0,1,,,,,,
8217,赤炎蝎子赤炎沟壑,1610002,3,0,0,51,0,1,,,,,,
8220,丧尸傀儡连续攻击,1610002,3,0,0,51,0,1,,,,,,
8221,丧尸傀儡普通攻击1,1610002,3,0,0,1,0,1,,,,,,
8222,丧尸傀儡普通攻击2,1610002,3,0,0,1,0,1,,,,,,
8225,沙虫普通攻击,1610002,3,0,0,1,0,1,,,,,,
8226,沙虫旋转喷火,1610002,3,0,0,51,0,1,,,,,,
8227,沙虫连吐岩浆,1610002,3,0,0,51,0,1,,,,,,
8228,沙虫冲锋,1610002,3,0,0,51,0,1,,,,,,
8229,炸弹哥布林普通攻击,1610002,3,0,0,1,0,1,,,,,,
8235,美狄亚普通攻击,1610002,3,0,0,1,0,1,,,,,,
8236,美狄亚暗黑束缚,1610002,3,0,0,51,0,1,,,,,,
8237,美狄亚暗黑星阵,1610002,3,0,0,51,0,1,,,,,,
8238,美狄亚暗黑魔牢,1610002,3,0,0,51,0,1,,,,,,
8240,阿斯特瑞亚普通攻击,1610002,3,0,0,1,0,1,,,,,,
8241,阿斯特瑞亚流星攻击,1610002,3,0,0,51,0,1,,,,,,
8242,阿斯特瑞亚八面星光,1610002,3,0,0,51,0,1,,,,,,
8246,炎魔近战普攻2,1610002,3,32,0,2,0,1,,,,,近战普攻,
8247,炎魔轰地强攻,1650001,3,32,0,51,0,1,,,,,蓄力后向前砸地产生矩形范围伤害,
8248,炎魔牵引灼烧,1650001,3,32,0,51,0,1,,,,,将敌人拉到面前并产生范围伤害,
8251,远战普攻2,1610002,3,64,0,2,0,1,,,,,远战普攻2,
8252,爆气攻击,1650003,3,64,0,51,0,1,,,,,蓄力后产生圆形范围伤害,
8253,寒冰旋风,1650003,3,64,0,51,0,1,,,,,向前发出旋风攻击,
8261,宙斯普攻,1610002,3,64,0,2,0,1,,,,,,
8262,宙斯电磁炮,1610002,3,64,0,51,0,1,,,,,,
8263,宙斯闪电柱,1610002,3,64,0,51,0,1,,,,,,
8264,宙斯电磁源,1610002,3,64,0,51,0,1,,,,,,
8265,宙斯电磁源回血,1610002,3,64,0,51,0,1,,,,,,
8266,强盗旋风斩（试炼版）,1610002,3,0,0,51,0,1,,,,,强盗旋风斩,
8267,强盗蓄力剑气（试炼版）,1610002,3,0,0,51,0,1,,,,,强盗蓄力剑气,
8268,强盗跳跃斩地（试炼版）,1610002,3,0,0,51,1,1,,,,,强盗跳跃斩地,
8269,狼人三连击咆哮（试炼）,1610002,3,0,0,51,0,1,,,,,狼人三连击咆哮（试炼）,
8270,狼人三连击跳击（试炼）,1610002,3,0,0,51,0,1,,,,,狼人三连击跳击（试炼）,
8271,狼人冲锋（试炼）,1610002,3,0,0,51,0,1,,,,,狼人冲锋,
8272,巫师普攻1（试炼）,1610002,3,0,0,1,1,1,,,,,巫师普攻4,
8273,巫师持续治疗（试炼）,1610002,3,0,1,51,2,1,,,,,巫师召唤毒雾,
8274,巫师召唤诅咒之门,1610002,3,0,1,51,2,1,,,,,巫师召唤诅咒之门,
8275,远征军守卫普攻（试炼）,1610002,3,0,0,1,0,1,,,,,远征军守卫普攻,
8276,远征军守卫天崩地裂（试炼）,1610002,3,0,0,51,0,1,,,,,,
8277,远征军守卫召唤地岩（试炼）,1610002,3,0,0,51,0,1,,,,,,
8278,远征军守卫提升防御（试炼）,1610002,3,0,0,51,0,1,,,,,,
8279,邪恶的英灵普攻加下落拳头（试炼）,1610002,3,0,0,1,1,1,,,,,邪恶的英灵普攻,
8280,邪恶的英灵魔爪下落（试炼）,1610002,3,0,0,51,2,1,,,,,邪恶的英灵魔爪下落,
8281,邪恶的英灵魔爪群现（试炼）,1610002,3,0,0,51,1,1,,,,,邪恶的英灵魔爪群现,
8282,邪恶的英灵毒沼（试炼）,1610002,3,0,0,51,2,1,,,,,邪恶的英灵毒沼,
8283,邪恶的英灵散射（试炼）,1610002,3,0,0,51,1,1,,,,,邪恶的英灵召唤狼人（试炼）,
8284,远征军队长加普防盾（试炼）,1610002,3,0,1,51,2,1,,,,,远征军队长加普防盾（试炼）,
8285,远征军队长加技防盾（试炼）,1610002,3,0,1,51,2,1,,,,,远征军队长加技防盾（试炼）,
8286,暗黑雅典娜普攻,1610002,3,0,1,51,1,1,,,,,,
8287,暗黑雅典娜魔盾术,1610002,3,0,1,51,0,1,,,,,,
8288,暗黑雅典娜魔盾反击,1610002,3,0,1,51,1,1,,,,,,
8289,暗黑雅典娜魔剑,1610002,3,0,1,51,1,1,,,,,,
8290,暗黑雅典娜魔盾产生伤害用技能,1610002,3,0,1,51,1,1,,,,,,
8291,鱼人普攻,1610002,3,0,1,1,0,1,,,,,,
8292,鱼人旋风斩1,1610002,3,0,1,51,0,1,,,,,,
8293,鱼人跳插,1610002,3,0,1,51,0,1,,,,,,
8297,阿喀琉斯普攻1（试炼）,1610002,3,0,0,1,0,1,,,,,阿喀琉斯普攻1,
8298,阿喀琉斯普攻2（试炼）,1610002,3,0,0,1,0,1,,,,,阿喀琉斯普攻2,
8299,阿喀琉斯冲刺跳斩（试炼）,1610002,3,0,0,51,1,1,,,,,阿喀琉斯冲刺跳斩,
8300,阿喀琉斯剑气炸裂（试炼）,1610002,3,0,0,51,1,1,,,,,阿喀琉斯剑气炸裂,
8301,阿喀琉斯剑盾合一（试炼）,1610002,3,0,0,51,1,1,,,,,阿喀琉斯剑盾合一,
8302,斯琳娜普攻（试炼）,1610002,3,0,0,1,1,1,,,,,斯琳娜普攻,
8303,斯琳娜蓄力圆形范围攻击（试炼）,1610002,3,0,0,51,2,1,,,,,斯琳娜蓄力圆形范围攻击,
8304,斯琳娜蓄力向四周发出魔力球（试炼）,1610002,3,0,0,51,1,1,,,,,斯琳娜蓄力向四周发出魔力球,
8305,斯琳娜蓄力柱形范围攻击（试炼）,1610002,3,0,0,51,1,1,,,,,斯琳娜蓄力柱形范围攻击,
8306,魔蛛普通攻击（试炼）,1610002,3,0,0,1,0,1,,,,,,
8307,魔蛛吐毒沼（试炼）,1610002,3,0,0,51,0,1,,,,,,
8308,魔蛛连续吐毒液（试炼）,1610002,3,0,0,51,0,1,,,,,,
8309,魔蛛扫射毒液（试炼）,1610002,3,0,0,51,0,1,,,,,,
8311,守墓者普攻（试炼）,1610002,3,0,0,1,0,1,,,,,守墓者普攻阶段1,
8312,守墓者冲锋（试炼）,1610002,3,0,0,51,1,1,,,,,守墓者冲锋,
8313,守墓者射出魔剑（试炼）,1610002,3,0,0,51,1,1,,,,,守墓者射出魔剑,
8314,守墓者召唤降落魔剑（试炼）,1610002,3,0,0,51,2,1,,,,,守墓者召唤降落魔剑,
8316,丧尸英雄王普攻（试炼）,1610002,3,0,0,1,0,1,,,,,普通攻击,
8317,丧尸英雄王普攻2（试炼）,1610002,3,0,0,1,0,1,,,,,普通攻击,
8318,丧尸英雄王旋风斩（试炼）,1610002,3,0,0,51,0,1,,,,,转动自身产生范围伤害,
8319,丧尸英雄王蓄力直线斩（试炼）,1610002,3,0,0,51,0,1,,,,,举起刀蓄力然后向前斩出直线攻击,
8320,丧尸英雄王蓄力四段斩（试炼）,1610002,3,0,0,51,0,1,,,,,蓄力后向前连击四下,
8321,亡灵减速（试炼）,1610002,3,0,0,51,1,1,,,,,邪恶的英灵魔爪群现,
8322,帝王蛛普通攻击（试炼）,1610002,3,0,0,1,0,1,,,,,,
8323,帝王蛛连续吐毒液（试炼）,1610002,3,0,0,51,0,1,,,,,,
8324,帝王蛛吐蜘蛛丝（试炼）,1610002,3,0,0,51,0,1,,,,,,
8325,帝王蛛减速攻击（试炼）,1610002,3,0,0,1,0,1,,,,,,
8326,沙虫普通攻击（试炼）,1610002,3,0,0,1,0,1,,,,,,
8327,沙虫旋转喷火（试炼）,1610002,3,0,0,51,0,1,,,,,,
8328,沙虫连吐岩浆（试炼）,1610002,3,0,0,51,0,1,,,,,,
8329,沙虫冲锋（试炼）,1610002,3,0,0,51,0,1,,,,,,
8330,斯琳娜普攻拉回（试炼）,1610002,3,0,0,1,1,1,,,,,斯琳娜普攻,
8331,巫师召唤防御之门,1610002,3,0,1,51,2,1,,,,,巫师召唤诅咒之门,
8336,美杜莎普攻,1610002,3,0,0,1,0,1,,,,,,
8337,美杜莎石化,1610002,3,0,0,51,0,1,,,,,,
8338,美杜莎狂暴,1610002,3,0,0,51,0,1,,,,,,
8339,美杜莎喘息,1610002,3,0,0,51,0,1,,,,,,
8341,炎魔范围引爆,1650001,3,32,0,51,0,1,,,,,将敌人拉到面前并产生范围伤害,
8342,炎魔近战普攻2,1610002,3,32,0,2,0,1,,,,,近战普攻,
8343,炎魔轰地强攻,1650001,3,32,0,51,0,1,,,,,蓄力后向前砸地产生矩形范围伤害,
9001,第一阶吸血,1610002,5,7,0,1,0,1,,,,,加强无双技第一阶吸血,
9101,第一阶重击,1610002,5,7,0,1,0,1,,,,,加强无双技第一阶重击,
6000,近战普攻,1610002,3,32,0,2,0,1,,,,,近战普攻,
6001,近战强攻,1610002,3,32,0,4,0,10,,,,,近战强攻,
6002,旋斩,1610002,3,32,0,4,0,10,,,,,旋斩,
6003,近战普攻2,1610002,3,32,0,2,0,1,,,,,近战普攻,
6004,轰地强攻,1650001,3,32,0,4,0,10,,,,,砸地形成前方柱形范围气劲，并降低对方一定技防,
6200,弓箭普攻,1610002,3,64,0,2,0,1,,,,,弓箭普攻,
6201,弓箭强攻,1610002,3,64,0,4,0,10,,,,,弓箭强攻,
6202,三连射,1650002,3,64,0,4,0,10,,,,,三连射,
6203,远战普攻2,1610002,3,64,0,2,0,1,,,,,远战普攻2,
6204,爆气攻击,1650003,3,64,0,4,0,10,,,,,蓄力爆开造成圆形范围伤害，并降低敌方一定普防。,
6400,法师普攻,1610002,3,128,0,2,0,1,,,,,法师普攻,
6401,法师强攻,1610002,3,128,0,4,0,10,,,,,法师强攻,
6402,召唤术,1650004,3,128,1,99,2,10,,,,,召唤术,
6403,远战普攻3,1610002,3,64,0,2,0,1,,,,,远战普攻3,
6500,魔狼咆哮,1650005,3,0,0,51,0,1,,,,,芬里尔狼的吼叫直接对附近敌人造成伤害,
6501,普通攻击1,1610002,3,0,0,1,0,1,,,,,,
6502,普通攻击2,1610002,3,0,0,1,0,1,,,,,,
6503,冲锋,1650005,3,0,0,51,0,1,,,,,,
6504,双爪击,1650006,3,0,0,51,0,1,,,,,,
6505,利爪扑杀,1650007,3,0,0,51,0,1,,,,,跳起扑击对方，并给自己增加一定普防,
6506,普通攻击,1610002,3,0,0,1,0,1,,,,,,
6507,旋风斩,1650036,3,0,0,51,0,1,,,,,旋转自己形成圆形范围伤害，并将附近敌人拉向自己,
6508,蓄力剑气,1650008,3,0,0,51,0,1,,,,,进行蓄力，往前划出十字剑气造成伤害,
6509,冲撞跳斩,1650009,3,0,0,51,0,1,,,,,向前冲撞敌人，随后跳起斩击形成范围伤害,
6511,普通攻击,1610002,3,0,0,1,0,1,,,,,,
6512,天崩地裂,1650010,3,0,0,51,0,1,,,,,,
6513,召唤地岩,1650011,3,0,0,51,0,1,,,,,向前锤地两下然后召唤出地岩，产生范围伤害,
6514,铁甲强化,1650012,3,0,0,51,0,1,,,,,提升统领自身防御力,
6516,普通攻击,1610002,3,0,0,1,0,1,,,,,,
6517,旋风斩,1650036,3,0,0,51,2,1,,,,,,
6518,震颤斧,1650037,3,0,0,51,1,1,,,,,向前挥舞斧头形成范围伤害，并提高自身防御力,
6519,三连斩,1650013,3,0,0,51,1,1,,,,,蓄力挥出连续三连斩造成大量伤害，并降低对方一定普攻伤害,
6521,普通攻击1,1610002,3,0,0,1,0,1,,,,,,
6522,普通攻击2,1610002,3,0,0,1,0,1,,,,,,
6523,冲刺跳斩,1650014,3,0,0,51,1,1,,,,,,
6524,剑气炸裂,1650015,3,0,0,51,1,1,,,,,释放出三道剑气攻击敌人造成伤害,
6525,剑盾合一,1650016,3,0,0,51,1,1,,,,,将前方敌人拉向自己，然后斩出三道剑气,
6526,普通攻击,1610002,3,32,0,1,0,1,,,,,,
6527,圣疗术,1650017,3,32,0,51,0,1,,,,,为友方恢复一定生命力,
6528,圣盾防御,1650018,3,32,0,51,0,1,,,,,,
6529,圣光审判,1650019,3,32,0,51,0,1,,,,,,
6531,普通攻击,1610002,3,0,0,1,0,1,,,,,,
6532,斩出冰剑,1650020,3,0,0,51,1,1,,,,,,
6533,王者之刃,1650021,3,0,0,51,1,1,,,,,蓄力后连续斩击四下,
6534,寒冰冲刺,1650022,3,0,0,51,1,1,,,,,向前发起冲锋，造成冰属性伤害,
6536,普通攻击,1610002,3,0,0,1,0,1,,,,,,
6537,普通攻击2,1610002,3,0,0,1,0,1,,,,,,
6538,死亡冲杀,1650023,3,0,0,51,1,1,,,,,向前冲锋并进行刺杀，并降低对方一定普攻伤害,
6539,复仇魔剑,1650024,3,0,0,51,1,1,,,,,召唤魔剑飞向敌方进行突袭,
6540,降落魔剑,1650025,3,0,0,51,2,1,,,,,,
