id,name,right_hand,left_hand,hole,level,b_type10,b_value10,s_value10,b_num,b_type1,b_value1,s_value1,b_type2,b_value2,s_value2,b_type3,b_value3,s_value3,b_type4,b_value4,s_value4,endrRow
1105100004,25级蓝色圣骑衣服,,,1,0,1,0,0,2,4,160 ,9.33,6,160 ,9.33,,,,,,,
1105100005,25级紫色圣骑衣服,,,2,0,1,0,0,3,4,160 ,13.68,6,160 ,13.68,10,39 ,3.52,,,,
1105100006,35级紫色圣骑衣服,,,2,0,1,0,0,3,4,259 ,13.68,6,259 ,13.68,10,64 ,3.52,,,,
1105100007,45级紫色圣骑衣服,,,2,0,1,0,0,3,4,376 ,13.68,6,376 ,13.68,10,93 ,3.52,,,,
1105100008,55级紫色圣骑衣服,,,2,0,1,0,0,3,4,503 ,13.68,6,503 ,13.68,10,124 ,3.52,,,,
1105100009,35级红色圣骑衣服,,,3,0,1,0,0,4,4,259 ,18.56,6,259 ,18.56,10,64 ,4.67,8,66 ,4.83 ,
1105100010,45级红色圣骑衣服,,,3,0,1,0,0,4,4,376 ,18.56,6,376 ,18.56,10,93 ,4.67,8,96 ,4.83 ,
1105100011,55级红色圣骑衣服,,,3,0,1,0,0,4,4,503 ,18.56,6,503 ,18.56,10,124 ,4.67,8,128 ,4.83 ,
1105100012,45级橙色圣骑衣服,,,4,0,1,0,0,4,4,390 ,24.91,6,390 ,24.91,10,96 ,6.24,8,99 ,6.45 ,
1105100013,55级橙色圣骑衣服,,,4,0,1,0,0,4,4,503 ,24.91,6,503 ,24.91,10,124 ,6.24,8,128 ,6.45 ,
1105100014,65级紫色圣骑衣服,,,2,0,1,0,0,3,4,724 ,13.68,6,724 ,13.68,10,177 ,3.47,,,,
1105100015,65级红色圣骑衣服,,,3,0,1,0,0,4,4,724 ,18.56,6,724 ,18.56,10,177 ,4.67,8,183 ,4.83 ,
1105100016,65级橙色圣骑衣服,,,4,0,1,0,0,4,4,724 ,24.91,6,724 ,24.91,10,177 ,6.24,8,183 ,6.45 ,
1106100001,0级蓝色圣骑鞋子,,,1,0,1,0,0,1,6,54 ,18.65,,,,,,,,,,
1106100003,15级蓝色圣骑鞋子,,,1,0,1,0,0,1,6,196 ,18.65,,,,,,,,,,
1106100004,25级蓝色圣骑鞋子,,,1,0,1,0,0,1,6,320 ,18.65,,,,,,,,,,
1106100005,25级紫色圣骑鞋子,,,2,0,1,0,0,2,6,320 ,27.35,8,41 ,3.49,,,,,,,
1106100006,35级紫色圣骑鞋子,,,2,0,1,0,0,2,6,517 ,27.35,8,66 ,3.49,,,,,,,
1106100007,45级紫色圣骑鞋子,,,2,0,1,0,0,2,6,751 ,27.35,8,96 ,3.49,,,,,,,
1106100008,55级紫色圣骑鞋子,,,2,0,1,0,0,2,6,1005 ,27.35,8,128 ,3.49,,,,,,,
1106100009,35级红色圣骑鞋子,,,3,0,1,0,0,3,6,517 ,37.11,8,66 ,4.73,10,64 ,4.75,,,,
1106100010,45级红色圣骑鞋子,,,3,0,1,0,0,3,6,751 ,37.11,8,96 ,4.73,10,93 ,4.75,,,,
1106100011,55级红色圣骑鞋子,,,3,0,1,0,0,3,6,1005 ,37.11,8,128 ,4.73,10,124 ,4.75,,,,
1106100012,45级橙色圣骑鞋子,,,4,0,1,0,0,3,6,779 ,49.8,8,99 ,6.35,10,96 ,6.24,,,,
1106100013,55级橙色圣骑鞋子,,,4,0,1,0,0,3,6,1005 ,49.8,8,128 ,6.35,10,124 ,6.24,,,,
1106100014,65级紫色圣骑鞋子,,,2,0,1,0,0,2,6,1440 ,27.35,8,183 ,3.49,,,,,,,
1106100015,65级红色圣骑鞋子,,,3,0,1,0,0,3,6,1440 ,37.11,8,183 ,4.73,10,177 ,4.67,,,,
1106100016,65级橙色圣骑鞋子,,,4,0,1,0,0,3,6,1440 ,49.8,8,183 ,6.35,10,177 ,6.24,,,,
1101200001,0级蓝色魔剑武器,11010,11010,1,0,1,0,0,2,3,26 ,9.2,5,26 ,9.14,,,,,,,
1101200003,15级蓝色魔剑武器,11020,11020,1,0,1,0,0,2,3,96 ,9.2,5,96 ,9.14,,,,,,,
1101200004,25级蓝色魔剑武器,11030,11030,1,0,1,0,0,2,3,158 ,9.2,5,157 ,9.14,,,,,,,
1101200005,25级紫色魔剑武器,11030,11030,2,0,1,0,0,3,3,162 ,13.2,5,157 ,13.4,9,39 ,3.37,,,,
1101200006,35级紫色魔剑武器,11040,11040,2,0,1,0,0,3,3,252 ,13.2,5,253 ,13.4,9,64 ,3.37,,,,
1101200007,45级紫色魔剑武器,11050,11050,2,0,1,0,0,3,3,361 ,13.2,5,368 ,13.4,9,93 ,3.37,,,,
1101200008,55级紫色魔剑武器,11060,11060,2,0,1,0,0,3,3,473 ,13.2,5,493 ,13.4,9,124 ,3.37,,,,
1101200009,35级红色魔剑武器,11040,11040,3,0,1,0,0,4,3,250 ,17.47,5,253 ,18.19,9,64 ,4.58,7,63 ,4.63 ,
1101200010,45级红色魔剑武器,11050,11050,3,0,1,0,0,4,3,353 ,17.47,5,368 ,18.19,9,93 ,4.58,7,92 ,4.63 ,
1101200011,55级红色魔剑武器,11060,11060,3,0,1,0,0,4,3,473 ,17.47,5,493 ,18.19,9,124 ,4.58,7,123 ,4.63 ,
1101200012,45级橙色魔剑武器,11050,11050,4,0,1,0,0,4,3,369 ,23.44,5,383 ,24.4,9,96 ,6.14,7,95 ,6.17 ,
1101200013,55级橙色魔剑武器,11060,11060,4,0,1,0,0,4,3,473 ,23.44,5,493 ,24.4,9,124 ,6.14,7,123 ,6.17 ,
1101200014,65级紫色魔剑武器,11070,11070,2,0,1,0,0,3,3,676 ,13.2,5,704 ,13.4,9,177 ,3.37,,,,
1101200015,65级红色魔剑武器,11070,11070,3,0,1,0,0,4,3,676 ,17.47,5,704 ,18.19,9,177 ,4.58,7,176 ,4.63 ,
1101200016,65级橙色魔剑武器,11070,11070,4,0,1,0,0,4,3,676 ,23.44,5,704 ,24.4,9,177 ,6.14,7,176 ,6.17 ,
1102200001,0级蓝色魔剑戒指,,,1,0,1,0,0,1,5,54 ,18.4,,,,,,,,,,
1102200003,15级蓝色魔剑戒指,,,1,0,1,0,0,1,5,191 ,18.4,,,,,,,,,,
1102200004,25级蓝色魔剑戒指,,,1,0,1,0,0,1,5,314 ,18.4,,,,,,,,,,
1102200005,25级紫色魔剑戒指,,,2,0,1,0,0,2,5,314 ,26.9,7,39 ,3.34,,,,,,,
1102200006,35级紫色魔剑戒指,,,2,0,1,0,0,2,5,510 ,26.9,7,63 ,3.34,,,,,,,
1102200007,45级紫色魔剑戒指,,,2,0,1,0,0,2,5,745 ,26.9,7,91 ,3.34,,,,,,,
1102200008,55级紫色魔剑戒指,,,2,0,1,0,0,2,5,978 ,26.9,7,122 ,3.34,,,,,,,
1102200009,35级红色魔剑戒指,,,3,0,1,0,0,3,5,506 ,36.51,7,63 ,4.53,9,64 ,4.58,,,,
1102200010,45级红色魔剑戒指,,,3,0,1,0,0,3,5,734 ,36.51,7,91 ,4.53,9,92 ,4.58,,,,
1102200011,55级红色魔剑戒指,,,3,0,1,0,0,3,5,978 ,36.51,7,122 ,4.53,9,123 ,4.58,,,,
1102200012,45级橙色魔剑戒指,,,4,0,1,0,0,3,5,763 ,49,7,95 ,6.08,9,96 ,6.15,,,,
1102200013,55级橙色魔剑戒指,,,4,0,1,0,0,3,5,978 ,49,7,122 ,6.08,9,123 ,6.15,,,,
1102200014,65级紫色魔剑戒指,,,2,0,1,0,0,2,5,1397 ,26.9,7,175 ,3.34,,,,,,,
1102200015,65级红色魔剑戒指,,,3,0,1,0,0,3,5,1397 ,36.51,7,174 ,4.53,9,176 ,4.58,,,,
1102200016,65级橙色魔剑戒指,,,4,0,1,0,0,3,5,1397 ,49,7,174 ,6.08,9,176 ,6.15,,,,
1103200001,0级蓝色魔剑项链,,,1,0,1,0,0,1,3,52 ,18,,,,,,,,,,
1103200003,15级蓝色魔剑项链,,,1,0,1,0,0,1,3,185 ,18,,,,,,,,,,
1103200004,25级蓝色魔剑项链,,,1,0,1,0,0,1,3,304 ,18,,,,,,,,,,
1103200005,25级紫色魔剑项链,,,2,0,1,0,0,2,3,304 ,26.1,7,39 ,3.34,,,,,,,
1103200006,35级紫色魔剑项链,,,2,0,1,0,0,2,3,496 ,26.1,7,63 ,3.34,,,,,,,
1103200007,45级紫色魔剑项链,,,2,0,1,0,0,2,3,728 ,26.1,7,91 ,3.34,,,,,,,
1103200008,55级紫色魔剑项链,,,2,0,1,0,0,2,3,960 ,26.1,7,122 ,3.34,,,,,,,
1103200009,35级红色魔剑项链,,,3,0,1,0,0,3,3,486 ,35.2,7,63 ,4.53,9,64 ,4.58,,,,
1103200010,45级红色魔剑项链,,,3,0,1,0,0,3,3,705 ,35.2,7,91 ,4.53,9,92 ,4.58,,,,
1103200011,55级红色魔剑项链,,,3,0,1,0,0,3,3,945 ,35.2,7,122 ,4.53,9,123 ,4.58,,,,
1103200012,45级橙色魔剑项链,,,4,0,1,0,0,3,3,733 ,47.3,7,95 ,6.08,9,96 ,6.15,,,,
1103200013,55级橙色魔剑项链,,,4,0,1,0,0,3,3,940 ,47.3,7,122 ,6.08,9,123 ,6.15,,,,
1103200014,65级紫色魔剑项链,,,2,0,1,0,0,2,3,1350 ,26.1,7,174 ,3.34,,,,,,,
1103200015,65级红色魔剑项链,,,3,0,1,0,0,3,3,1350 ,35.2,7,174 ,4.53,9,176 ,4.58,,,,
1103200016,65级橙色魔剑项链,,,4,0,1,0,0,3,3,1350 ,47.3,7,175 ,6.08,9,176 ,6.15,,,,
1104200001,0级蓝色魔剑头盔,,,1,0,1,0,0,1,4,50 ,17.6,,,,,,,,,,
1104200003,15级蓝色魔剑头盔,,,1,0,1,0,0,1,4,185 ,17.6,,,,,,,,,,
1104200004,25级蓝色魔剑头盔,,,1,0,1,0,0,1,4,305 ,17.6,,,,,,,,,,
1104200005,25级紫色魔剑头盔,,,2,0,1,0,0,2,4,305 ,25.2,8,41 ,3.49,,,,,,,
1104200006,35级紫色魔剑头盔,,,2,0,1,0,0,2,4,488 ,25.2,8,66 ,3.49,,,,,,,
1104200007,45级紫色魔剑头盔,,,2,0,1,0,0,2,4,710 ,25.2,8,95 ,3.49,,,,,,,
1104200008,55级紫色魔剑头盔,,,2,0,1,0,0,2,4,950 ,25.2,8,128 ,3.49,,,,,,,
1104200009,35级红色魔剑头盔,,,3,0,1,0,0,3,4,567 ,34,8,66 ,4.74,10,59 ,4.6,,,,
1104200010,45级红色魔剑头盔,,,3,0,1,0,0,3,4,680 ,34,8,95 ,4.74,10,85 ,4.6,,,,
1104200011,55级红色魔剑头盔,,,3,0,1,0,0,3,4,912 ,34,8,128 ,4.74,10,115 ,4.6,,,,
1104200012,45级橙色魔剑头盔,,,4,0,1,0,0,3,4,717 ,45.8,8,99 ,6.36,10,89 ,6.2,,,,
1104200013,55级橙色魔剑头盔,,,4,0,1,0,0,3,4,912 ,45.8,8,128 ,6.36,10,115 ,6.2,,,,
1104200014,65级紫色魔剑头盔,,,2,0,1,0,0,2,4,1357 ,25.2,8,183 ,3.49,,,,,,,
1104200015,65级红色魔剑头盔,,,3,0,1,0,0,3,4,1357 ,34,8,183 ,4.74,10,164 ,4.6,,,,
1104200016,65级橙色魔剑头盔,,,4,0,1,0,0,3,4,1357 ,45.8,8,183 ,6.36,10,164 ,6.2,,,,
1105200001,0级蓝色魔剑衣服,,,1,0,1,0,0,2,4,25 ,8.7,6,24 ,8.48,,,,,,,
1105200003,15级蓝色魔剑衣服,,,1,0,1,0,0,2,4,92 ,8.7,6,89 ,8.48,,,,,,,
1105200004,25级蓝色魔剑衣服,,,1,0,1,0,0,2,4,150 ,8.7,6,146 ,8.48,,,,,,,
1105200005,25级紫色魔剑衣服,,,2,0,1,0,0,3,4,211 ,12.8,6,146 ,12.43,10,37 ,3.24,,,,
1105200006,35级紫色魔剑衣服,,,2,0,1,0,0,3,4,248 ,12.8,6,235 ,12.43,10,59 ,3.24,,,,
1105200007,45级紫色魔剑衣服,,,2,0,1,0,0,3,4,351 ,12.8,6,340 ,12.43,10,86 ,3.24,,,,
1105200008,55级紫色魔剑衣服,,,2,0,1,0,0,3,4,478 ,12.8,6,456 ,12.43,10,115 ,3.24,,,,
1105200009,35级红色魔剑衣服,,,3,0,1,0,0,4,4,245 ,16.88,6,235 ,16.88,10,59 ,4.36,8,66 ,4.74,
1105200010,45级红色魔剑衣服,,,3,0,1,0,0,4,4,340 ,16.88,6,340 ,16.88,10,86 ,4.36,8,96 ,4.74,
1105200011,55级红色魔剑衣服,,,3,0,1,0,0,4,4,456 ,16.88,6,456 ,16.88,10,115 ,4.36,8,128 ,4.74,
1105200012,45级橙色魔剑衣服,,,4,0,1,0,0,4,4,354 ,22.64,6,354 ,22.64,10,89 ,5.82,8,99 ,6.36,
1105200013,55级橙色魔剑衣服,,,4,0,1,0,0,4,4,465 ,22.64,6,456 ,22.64,10,115 ,5.82,8,128 ,6.36,
1105200014,65级紫色魔剑衣服,,,2,0,1,0,0,3,4,683 ,12.8,6,651 ,12.43,10,164 ,3.24,,,,
1105200015,65级红色魔剑衣服,,,3,0,1,0,0,4,4,683 ,16.88,6,652 ,16.88,10,164 ,4.36,8,183 ,4.74,
1105200016,65级橙色魔剑衣服,,,4,0,1,0,0,4,4,683 ,22.64,6,651 ,22.64,10,164 ,5.82,8,183 ,6.36,
1106200001,0级蓝色魔剑鞋子,,,1,0,1,0,0,1,6,50 ,17.6,,,,,,,,,,
1106200003,15级蓝色魔剑鞋子,,,1,0,1,0,0,1,6,185 ,17.6,,,,,,,,,,
1106200004,25级蓝色魔剑鞋子,,,1,0,1,0,0,1,6,300 ,17.6,,,,,,,,,,
1106200005,25级紫色魔剑鞋子,,,2,0,1,0,0,2,6,300 ,26.4,8,41 ,3.49,,,,,,,
1106200006,35级紫色魔剑鞋子,,,2,0,1,0,0,2,6,490 ,26.4,8,66 ,3.49,,,,,,,
1106200007,45级紫色魔剑鞋子,,,2,0,1,0,0,2,6,720 ,26.4,8,95 ,3.49,,,,,,,
1106200008,55级紫色魔剑鞋子,,,2,0,1,0,0,2,6,946 ,26.4,8,128 ,3.49,,,,,,,
1106200009,35级红色魔剑鞋子,,,3,0,1,0,0,3,6,478 ,33.76,8,66 ,4.74,10,59 ,4.5,,,,
1106200010,45级红色魔剑鞋子,,,3,0,1,0,0,3,6,722 ,33.76,8,95 ,4.74,10,85 ,4.5,,,,
1106200011,55级红色魔剑鞋子,,,3,0,1,0,0,3,6,978 ,33.76,8,128 ,4.74,10,115 ,4.5,,,,
1106200012,45级橙色魔剑鞋子,,,4,0,1,0,0,3,6,747 ,45.28,8,99 ,6.36,10,89 ,6.1,,,,
1106200013,55级橙色魔剑鞋子,,,4,0,1,0,0,3,6,938 ,45.28,8,128 ,6.36,10,115 ,6.1,,,,
1106200014,65级紫色魔剑鞋子,,,2,0,1,0,0,2,6,1355 ,26.4,8,183 ,3.49,,,,,,,
1106200015,65级红色魔剑鞋子,,,3,0,1,0,0,3,6,1355 ,33.76,8,183 ,4.74,10,164 ,4.5,,,,
1106200016,65级橙色魔剑鞋子,,,4,0,1,0,0,3,6,1355 ,45.28,8,183 ,6.36,10,164 ,6.1,,,,
1101400001,0级蓝色狂战武器,12010,,1,0,1,0,0,2,3,25 ,9.15,5,25 ,8.78,,,,,,,
1101400003,15级蓝色狂战武器,12020,,1,0,1,0,0,2,3,92 ,9.15,5,92 ,8.78,,,,,,,
1101400004,25级蓝色狂战武器,12030,,1,0,1,0,0,2,3,153 ,9.15,5,152 ,8.78,,,,,,,
1101400005,25级紫色狂战武器,12030,,2,0,1,0,0,3,3,158 ,13.41,5,152 ,12.87,9,37 ,3.21,,,,
1101400006,35级紫色狂战武器,12040,,2,0,1,0,0,3,3,254 ,13.41,5,244 ,12.87,9,59 ,3.21,,,,
1101400007,45级紫色狂战武器,12050,,2,0,1,0,0,3,3,367 ,13.41,5,352 ,12.87,9,85 ,3.21,,,,
1101400008,55级紫色狂战武器,12060,,2,0,1,0,0,3,3,490 ,13.41,5,472 ,12.87,9,114 ,3.21,,,,
1101400009,35级红色狂战武器,12040,,3,0,1,0,0,4,3,254 ,18.21,5,244 ,17.48,9,59 ,4.32,7,59 ,4.22,
1101400010,45级红色狂战武器,12050,,3,0,1,0,0,4,3,367 ,18.21,5,352 ,17.48,9,85 ,4.32,7,85 ,4.22,
1101400011,55级红色狂战武器,12060,,3,0,1,0,0,4,3,492 ,18.21,5,472 ,17.48,9,114 ,4.32,7,114 ,4.22,
1101400012,45级橙色狂战武器,12050,,4,0,1,0,0,4,3,382 ,24.43,5,366 ,23.45,9,88 ,5.76,7,88 ,5.66,
1101400013,55级橙色狂战武器,12060,,4,0,1,0,0,4,3,492 ,24.43,5,472 ,23.45,9,114 ,5.76,7,114 ,5.66,
1101400014,65级紫色狂战武器,12070,,2,0,1,0,0,3,3,701 ,13.41,5,673 ,12.87,9,163 ,3.21,,,,
1101400015,65级红色狂战武器,12070,,3,0,1,0,0,4,3,701 ,18.21,5,673 ,17.48,9,162 ,4.32,7,162 ,4.22,
1101400016,65级橙色狂战武器,12070,,4,0,1,0,0,4,3,701 ,24.43,5,674 ,23.45,9,163 ,5.76,7,163 ,5.66,
1102400001,0级蓝色狂战戒指,,,1,0,1,0,0,1,5,50 ,17.57,,,,,,,,,,
1102400003,15级蓝色狂战戒指,,,1,0,1,0,0,1,5,184 ,17.57,,,,,,,,,,
1102400004,25级蓝色狂战戒指,,,1,0,1,0,0,1,5,303 ,17.57,,,,,,,,,,
1102400005,25级紫色狂战戒指,,,2,0,1,0,0,2,5,303 ,25.74,7,37 ,3.11,,,,,,,
1102400006,35级紫色狂战戒指,,,2,0,1,0,0,2,5,488 ,25.74,7,59 ,3.11,,,,,,,
1102400007,45级紫色狂战戒指,,,2,0,1,0,0,2,5,705 ,25.74,7,85 ,3.11,,,,,,,
1102400008,55级紫色狂战戒指,,,2,0,1,0,0,2,5,945 ,25.74,7,114 ,3.11,,,,,,,
1102400009,35级红色狂战戒指,,,3,0,1,0,0,3,5,488 ,34.96,7,59 ,4.22,9,59 ,4.22,,,,
1102400010,45级红色狂战戒指,,,3,0,1,0,0,3,5,705 ,34.96,7,85 ,4.22,9,85 ,4.22,,,,
1102400011,55级红色狂战戒指,,,3,0,1,0,0,3,5,945 ,34.96,7,114 ,4.22,9,114 ,4.22,,,,
1102400012,45级橙色狂战戒指,,,4,0,1,0,0,3,5,734 ,46.9,7,89 ,5.66,9,89 ,5.66,,,,
1102400013,55级橙色狂战戒指,,,4,0,1,0,0,3,5,945 ,46.9,7,114 ,5.66,9,114 ,5.66,,,,
1102400014,65级紫色狂战戒指,,,2,0,1,0,0,2,5,1350 ,25.74,7,163 ,3.11,,,,,,,
1102400015,65级红色狂战戒指,,,3,0,1,0,0,3,5,1350 ,34.96,7,162 ,4.22,9,162 ,4.22,,,,
1102400016,65级橙色狂战戒指,,,4,0,1,0,0,3,5,1350 ,46.9,7,163 ,5.66,9,163 ,5.66,,,,
1103400001,0级蓝色狂战项链,,,1,0,1,0,0,1,3,54 ,18.3,,,,,,,,,,
1103400003,15级蓝色狂战项链,,,1,0,1,0,0,1,3,192 ,18.3,,,,,,,,,,
1103400004,25级蓝色狂战项链,,,1,0,1,0,0,1,3,313 ,18.3,,,,,,,,,,
