id,name,type,link,stack,color,lv,icon,smallicon,price,Diamondprices,access,limit_forge,limit_refine,limit_advance,info,partnermodel,dropFx,pickFx,pickOverFx,dropVoice,tips,endRow
1101100010,巨神之矛,3,,1,5,45,1201105,,50000,9999,装备铸造获得,4,45,15,泰坦族遗留在人界的究极神兵，据说曾用它穿破苍穹,,87,,,110009,泰坦族遗留在人界的究极神兵，据说曾用它穿破苍穹,
1101100011,侍月女神,3,,1,5,55,1201106,,25000,9999,装备铸造获得,4,45,15,无视世间一切法则的终极兵器,,87,,,110009,无视世间一切法则的终极兵器,
1101100012,巨神之矛,3,,1,6,45,1201105,,45000,9999,装备铸造获得,4,-1,15,泰坦族遗留在人界的究极神兵，据说曾用它穿破苍穹,,87,,,110009,泰坦族遗留在人界的究极神兵，据说曾用它穿破苍穹,
1101100013,侍月女神,3,,1,6,55,1201106,,80000,9999,装备铸造获得,4,-1,15,无视世间一切法则的终极兵器,,87,,,110009,无视世间一切法则的终极兵器,
1101100014,究极天堂,3,,1,4,65,1201107,,100000,9999,装备铸造获得,-1,35,15,封印在天堂尽头的神界圣器，前主人为大天使米迦勒,,87,,,110009,封印在天堂尽头的神界圣器，前主人为大天使米迦勒,
1101100015,究极天堂,3,,1,5,65,1201107,,100000,9999,装备铸造获得,-1,45,15,封印在天堂尽头的神界圣器，前主人为大天使米迦勒,,87,,,110009,封印在天堂尽头的神界圣器，前主人为大天使米迦勒,
1101100016,究极天堂,3,,1,6,65,1201107,,100000,9999,装备铸造获得,-1,-1,15,封印在天堂尽头的神界圣器，前主人为大天使米迦勒,,87,,,110009,封印在天堂尽头的神界圣器，前主人为大天使米迦勒,
1102100001,骑士戒指,3,,1,3,1,1206101,,200,9999,任务获得,0,25,15,精巧的骑士戒指,,87,,,110009,精巧的骑士戒指,
1102100003,荣耀戒指,3,,1,3,15,1206102,,2000,9999,装备铸造获得,0,25,15,古老的特洛伊戒指，铭刻着昔日的辉煌,,87,,,110009,古老的特洛伊戒指，铭刻着昔日的辉煌,
1102100004,审判戒指,3,,1,3,25,1206103,,5000,9999,装备铸造获得,4,25,15,稀世的戒指，七天使神物之一,,87,,,110009,稀世的戒指，七天使神物之一,
1102100005,审判戒指,3,,1,4,25,1206103,,10000,9999,装备铸造获得,4,35,15,稀世的戒指，七天使神物之一,,87,,,110009,稀世的戒指，七天使神物之一,
1102100006,曙光戒指,3,,1,4,35,1206104,,15000,9999,装备铸造获得,4,35,15,宝石内跳动着太阳烈焰的曙光戒指,,87,,,110009,宝石内跳动着太阳烈焰的曙光戒指,
1102100007,神谕戒指,3,,1,4,45,1206105,,25000,9999,装备铸造获得,4,35,15,我无所畏惧，因为神与我同在———圣女贞德,,87,,,110009,我无所畏惧，因为神与我同在———圣女贞德,
1102100008,智慧女神戒指,3,,1,4,55,1206106,,20000,9999,装备铸造获得,4,35,15,雅典娜的究极女神武装，宛若太阳的宝石，象征胜利,,87,,,110009,雅典娜的究极女神武装，宛若太阳的宝石，象征胜利,
1102100009,曙光戒指,3,,1,5,35,1206104,,32000,9999,装备铸造获得,4,45,15,宝石内跳动着太阳烈焰的曙光戒指,,87,,,110009,宝石内跳动着太阳烈焰的曙光戒指,
1102100010,神谕戒指,3,,1,5,45,1206105,,50000,9999,装备铸造获得,4,45,15,我无所畏惧，因为神与我同在———圣女贞德,,87,,,110009,我无所畏惧，因为神与我同在———圣女贞德,
1102100011,智慧女神戒指,3,,1,5,55,1206106,,25000,9999,装备铸造获得,4,45,15,雅典娜的究极女神武装，宛若太阳的宝石，象征胜利,,87,,,110009,雅典娜的究极女神武装，宛若太阳的宝石，象征胜利,
1102100012,神谕戒指,3,,1,6,45,1206105,,45000,9999,装备铸造获得,4,-1,15,我无所畏惧，因为神与我同在———圣女贞德,,87,,,110009,我无所畏惧，因为神与我同在———圣女贞德,
1102100013,智慧女神戒指,3,,1,6,55,1206106,,80000,9999,装备铸造获得,4,-1,15,雅典娜的究极女神武装，宛若太阳的宝石，象征胜利,,87,,,110009,雅典娜的究极女神武装，宛若太阳的宝石，象征胜利,
1102100014,最天使戒指,3,,1,4,65,1206107,,100000,9999,装备铸造获得,-1,35,15,荒古圣城封印的天使戒指，能抵御一切暗黑攻击,,87,,,110009,荒古圣城封印的天使戒指，能抵御一切暗黑攻击,
1102100015,最天使戒指,3,,1,5,65,1206107,,100000,9999,装备铸造获得,-1,45,15,荒古圣城封印的天使戒指，能抵御一切暗黑攻击,,87,,,110009,荒古圣城封印的天使戒指，能抵御一切暗黑攻击,
1102100016,最天使戒指,3,,1,6,65,1206107,,100000,9999,装备铸造获得,-1,-1,15,荒古圣城封印的天使戒指，能抵御一切暗黑攻击,,87,,,110009,荒古圣城封印的天使戒指，能抵御一切暗黑攻击,
1103100001,骑士项链,3,,1,3,1,1205101,,200,9999,任务获得,0,25,15,精巧的骑士项链,,87,,,110009,精巧的骑士项链,
1103100003,荣耀项链,3,,1,3,15,1205102,,2000,9999,装备铸造获得,0,25,15,古老的特洛伊项链，铭刻着昔日的辉煌,,87,,,110009,古老的特洛伊项链，铭刻着昔日的辉煌,
1103100004,审判项链,3,,1,3,25,1205103,,5000,9999,装备铸造获得,4,25,15,稀世的项链，七天使神物之一,,87,,,110009,稀世的项链，七天使神物之一,
1103100005,审判项链,3,,1,4,25,1205103,,10000,9999,装备铸造获得,4,35,15,稀世的项链，七天使神物之一,,87,,,110009,稀世的项链，七天使神物之一,
1103100006,曙光项链,3,,1,4,35,1205104,,15000,9999,装备铸造获得,4,35,15,宝石内跳动着太阳烈焰的曙光项链,,87,,,110009,宝石内跳动着太阳烈焰的曙光项链,
1103100007,神谕项链,3,,1,4,45,1205105,,25000,9999,装备铸造获得,4,35,15,除叛国之外，我无所畏惧———圣女贞德,,87,,,110009,除叛国之外，我无所畏惧———圣女贞德,
1103100008,智慧女神项链,3,,1,4,55,1205106,,20000,9999,装备铸造获得,4,35,15,雅典娜的究极女神武装，宛若月亮的项链吊饰，象征胜利,,87,,,110009,雅典娜的究极女神武装，宛若月亮的项链吊饰，象征胜利,
1103100009,曙光项链,3,,1,5,35,1205104,,32000,9999,装备铸造获得,4,45,15,宝石内跳动着太阳烈焰的曙光项链,,87,,,110009,宝石内跳动着太阳烈焰的曙光项链,
1103100010,神谕项链,3,,1,5,45,1205105,,50000,9999,装备铸造获得,4,45,15,除叛国之外，我无所畏惧———圣女贞德,,87,,,110009,除叛国之外，我无所畏惧———圣女贞德,
1103100011,智慧女神项链,3,,1,5,55,1205106,,25000,9999,装备铸造获得,4,45,15,雅典娜的究极女神武装，宛若月亮的项链吊饰，象征胜利,,87,,,110009,雅典娜的究极女神武装，宛若月亮的项链吊饰，象征胜利,
1103100012,神谕项链,3,,1,6,45,1205105,,45000,9999,装备铸造获得,4,-1,15,除叛国之外，我无所畏惧———圣女贞德,,87,,,110009,除叛国之外，我无所畏惧———圣女贞德,
1103100013,智慧女神项链,3,,1,6,55,1205106,,80000,9999,装备铸造获得,4,-1,15,雅典娜的究极女神武装，宛若月亮的项链吊饰，象征胜利,,87,,,110009,雅典娜的究极女神武装，宛若月亮的项链吊饰，象征胜利,
1103100014,最天使项链,3,,1,4,65,1205107,,100000,9999,装备铸造获得,-1,35,15,荒古圣城封印的天使项链，抵御一切暗黑攻击,,87,,,110009,荒古圣城封印的天使项链，抵御一切暗黑攻击,
1103100015,最天使项链,3,,1,5,65,1205107,,100000,9999,装备铸造获得,-1,45,15,荒古圣城封印的天使项链，抵御一切暗黑攻击,,87,,,110009,荒古圣城封印的天使项链，抵御一切暗黑攻击,
1103100016,最天使项链,3,,1,6,65,1205107,,100000,9999,装备铸造获得,-1,-1,15,荒古圣城封印的天使项链，抵御一切暗黑攻击,,87,,,110009,荒古圣城封印的天使项链，抵御一切暗黑攻击,
1104100001,骑士重盔,3,,1,3,1,1202101,,200,9999,任务获得,0,25,15,正规的骑士重盔，拥有不俗的防御力与优秀的机动性,,87,,,110009,正规的骑士重盔，拥有不俗的防御力与优秀的机动性,
1104100003,荣耀重盔,3,,1,3,15,1202102,,2000,9999,装备铸造获得,0,25,15,特洛伊王族世代传承的荣耀重盔，弥漫着古老的魔力,,87,,,110009,特洛伊王族世代传承的荣耀重盔，弥漫着古老的魔力,
1104100004,审判重盔,3,,1,3,25,1202103,,5000,9999,装备铸造获得,4,25,15,代表七天使行使审判的神之重盔，唯有圣洁之人才有资格成为它的主人,,87,,,110009,代表七天使行使审判的神之重盔，唯有圣洁之人才有资格成为它的主人,
1104100005,审判重盔,3,,1,4,25,1202103,,10000,9999,装备铸造获得,4,35,15,代表七天使行使审判的神之重盔，唯有圣洁之人才有资格成为它的主人,,87,,,110009,代表七天使行使审判的神之重盔，唯有圣洁之人才有资格成为它的主人,
1104100006,曙光重盔,3,,1,4,35,1202104,,15000,9999,装备铸造获得,4,35,15,暗黑末世终结时曙光女神遗留人界的重盔，笼罩着永不熄灭的太阳之火,,87,,,110009,暗黑末世终结时曙光女神遗留人界的重盔，笼罩着永不熄灭的太阳之火,
1104100007,神谕重盔,3,,1,4,45,1202105,,25000,9999,装备铸造获得,4,35,15,若我还未在神的荣耀下，那我祈求他保守我到那里，若我已身处其中，那我祈求他可继续保守我———圣女贞德,,87,,,110009,若我还未在神的荣耀下，那我祈求他保守我到那里，若我已身处其中，那我祈求他可继续保守我———圣女贞德,
1104100008,智慧女神重盔,3,,1,4,55,1202106,,20000,9999,装备铸造获得,4,35,15,雅典娜的究极女神武装，宛若飞翼的重盔象征着正义,,87,,,110009,雅典娜的究极女神武装，宛若飞翼的重盔象征着正义,
1104100009,曙光重盔,3,,1,5,35,1202104,,32000,9999,装备铸造获得,4,45,15,暗黑末世终结时曙光女神遗留人界的重盔，笼罩着永不熄灭的太阳之火,,87,,,110009,暗黑末世终结时曙光女神遗留人界的重盔，笼罩着永不熄灭的太阳之火,
1104100010,神谕重盔,3,,1,5,45,1202105,,50000,9999,装备铸造获得,4,45,15,若我还未在神的荣耀下，那我祈求他保守我到那里，若我已身处其中，那我祈求他可继续保守我———圣女贞德,,87,,,110009,若我还未在神的荣耀下，那我祈求他保守我到那里，若我已身处其中，那我祈求他可继续保守我———圣女贞德,
1104100011,智慧女神重盔,3,,1,5,55,1202106,,25000,9999,装备铸造获得,4,45,15,雅典娜的究极女神武装，宛若飞翼的重盔象征着正义,,87,,,110009,雅典娜的究极女神武装，宛若飞翼的重盔象征着正义,
1104100012,神谕重盔,3,,1,6,45,1202105,,45000,9999,装备铸造获得,4,-1,15,若我还未在神的荣耀下，那我祈求他保守我到那里，若我已身处其中，那我祈求他可继续保守我———圣女贞德,,87,,,110009,若我还未在神的荣耀下，那我祈求他保守我到那里，若我已身处其中，那我祈求他可继续保守我———圣女贞德,
1104100013,智慧女神重盔,3,,1,6,55,1202106,,80000,9999,装备铸造获得,4,-1,15,雅典娜的究极女神武装，宛若飞翼的重盔象征着正义,,87,,,110009,雅典娜的究极女神武装，宛若飞翼的重盔象征着正义,
1104100014,最天使重盔,3,,1,4,65,1202107,,100000,9999,装备铸造获得,-1,35,15,荒古圣城封印的天使重盔，抵御一切暗黑攻击,,87,,,110009,荒古圣城封印的天使重盔，抵御一切暗黑攻击,
1104100015,最天使重盔,3,,1,5,65,1202107,,100000,9999,装备铸造获得,-1,45,15,荒古圣城封印的天使重盔，抵御一切暗黑攻击,,87,,,110009,荒古圣城封印的天使重盔，抵御一切暗黑攻击,
1104100016,最天使重盔,3,,1,6,65,1202107,,100000,9999,装备铸造获得,-1,-1,15,荒古圣城封印的天使重盔，抵御一切暗黑攻击,,87,,,110009,荒古圣城封印的天使重盔，抵御一切暗黑攻击,
1105100001,骑士铠甲,3,,1,3,1,1203101,,200,9999,任务获得,0,25,15,正规的骑士铠甲，拥有不俗的防御力与优秀的机动性,,87,,,110009,正规的骑士铠甲，拥有不俗的防御力与优秀的机动性,
1105100003,荣耀铠甲,3,,1,3,15,1203102,,2000,9999,装备铸造获得,0,25,15,特洛伊王族世代传承的荣耀铠甲，弥漫着古老的魔力,,87,,,110009,特洛伊王族世代传承的荣耀铠甲，弥漫着古老的魔力,
1105100004,审判铠甲,3,,1,3,25,1203103,,5000,9999,装备铸造获得,4,25,15,代表七天使行使审判的神之铠甲，唯有圣洁之人才有资格成为它的主人,,87,,,110009,代表七天使行使审判的神之铠甲，唯有圣洁之人才有资格成为它的主人,
1105100005,审判铠甲,3,,1,4,25,1203103,,10000,9999,装备铸造获得,4,35,15,代表七天使行使审判的神之铠甲，唯有圣洁之人才有资格成为它的主人,,87,,,110009,代表七天使行使审判的神之铠甲，唯有圣洁之人才有资格成为它的主人,
1105100006,曙光铠甲,3,,1,4,35,1203104,,15000,9999,装备铸造获得,4,35,15,暗黑末世终结时曙光女神遗留人界的铠甲，笼罩着永不熄灭的太阳之火,,87,,,110009,暗黑末世终结时曙光女神遗留人界的铠甲，笼罩着永不熄灭的太阳之火,
1105100007,神谕铠甲,3,,1,4,45,1203105,,25000,9999,装备铸造获得,4,35,15,我要拯救世间所有的人！而夜晚是我的朋友，没有什么令我害怕的东西———圣女贞德,,87,,,110009,我要拯救世间所有的人！而夜晚是我的朋友，没有什么令我害怕的东西———圣女贞德,
1105100008,智慧女神铠甲,3,,1,4,55,1203106,,20000,9999,装备铸造获得,4,35,15,雅典娜的究极女神武装，璀璨的铠甲象征着胜利,,87,,,110009,雅典娜的究极女神武装，璀璨的铠甲象征着胜利,
1105100009,曙光铠甲,3,,1,5,35,1203104,,32000,9999,装备铸造获得,4,45,15,暗黑末世终结时曙光女神遗留人界的铠甲，笼罩着永不熄灭的太阳之火,,87,,,110009,暗黑末世终结时曙光女神遗留人界的铠甲，笼罩着永不熄灭的太阳之火,
1105100010,神谕铠甲,3,,1,5,45,1203105,,50000,9999,装备铸造获得,4,45,15,我要拯救世间所有的人！而夜晚是我的朋友，没有什么令我害怕的东西———圣女贞德,,87,,,110009,我要拯救世间所有的人！而夜晚是我的朋友，没有什么令我害怕的东西———圣女贞德,
1105100011,智慧女神铠甲,3,,1,5,55,1203106,,25000,9999,装备铸造获得,4,45,15,雅典娜的究极女神武装，璀璨的铠甲象征着胜利,,87,,,110009,雅典娜的究极女神武装，璀璨的铠甲象征着胜利,
1105100012,神谕铠甲,3,,1,6,45,1203105,,45000,9999,装备铸造获得,4,-1,15,我要拯救世间所有的人！而夜晚是我的朋友，没有什么令我害怕的东西———圣女贞德,,87,,,110009,我要拯救世间所有的人！而夜晚是我的朋友，没有什么令我害怕的东西———圣女贞德,
1105100013,智慧女神铠甲,3,,1,6,55,1203106,,80000,9999,装备铸造获得,4,-1,15,雅典娜的究极女神武装，璀璨的铠甲象征着胜利,,87,,,110009,雅典娜的究极女神武装，璀璨的铠甲象征着胜利,
1105100014,最天使铠甲,3,,1,4,65,1203107,,100000,9999,装备铸造获得,-1,35,15,荒古圣城封印的天使铠甲，能抵御一切暗黑攻击,,87,,,110009,荒古圣城封印的天使铠甲，能抵御一切暗黑攻击,
1105100015,最天使铠甲,3,,1,5,65,1203107,,100000,9999,装备铸造获得,-1,45,15,荒古圣城封印的天使铠甲，能抵御一切暗黑攻击,,87,,,110009,荒古圣城封印的天使铠甲，能抵御一切暗黑攻击,
1105100016,最天使铠甲,3,,1,6,65,1203107,,100000,9999,装备铸造获得,-1,-1,15,荒古圣城封印的天使铠甲，能抵御一切暗黑攻击,,87,,,110009,荒古圣城封印的天使铠甲，能抵御一切暗黑攻击,
1106100001,骑士之靴,3,,1,3,1,1204101,,200,9999,任务获得,0,25,15,正规的骑士之靴，拥有不俗的防御力与优秀的机动性,,87,,,110009,正规的骑士之靴，拥有不俗的防御力与优秀的机动性,
1106100003,荣耀之靴,3,,1,3,15,1204102,,2000,9999,装备铸造获得,0,25,15,特洛伊王族世代传承的荣耀之靴，弥漫着古老的魔力,,87,,,110009,特洛伊王族世代传承的荣耀之靴，弥漫着古老的魔力,
1106100004,审判之靴,3,,1,3,25,1204103,,5000,9999,装备铸造获得,4,25,15,代表七天使行使审判的神之靴，唯有圣洁之人才有资格成为它的主人,,87,,,110009,代表七天使行使审判的神之靴，唯有圣洁之人才有资格成为它的主人,
1106100005,审判之靴,3,,1,4,25,1204103,,10000,9999,装备铸造获得,4,35,15,代表七天使行使审判的神之靴，唯有圣洁之人才有资格成为它的主人,,87,,,110009,代表七天使行使审判的神之靴，唯有圣洁之人才有资格成为它的主人,
1106100006,曙光之靴,3,,1,4,35,1204104,,15000,9999,装备铸造获得,4,35,15,暗黑末世终结时曙光女神遗留人界的靴子，笼罩着永不熄灭的太阳之火,,87,,,110009,暗黑末世终结时曙光女神遗留人界的靴子，笼罩着永不熄灭的太阳之火,
1106100007,神谕之靴,3,,1,4,45,1204105,,25000,9999,装备铸造获得,4,35,15,所有的战役，胜负都在于一心———圣女贞德,,87,,,110009,所有的战役，胜负都在于一心———圣女贞德,
1106100008,智慧女神之靴,3,,1,4,55,1204106,,20000,9999,装备铸造获得,4,35,15,雅典娜的究极女神武装，七色圣火之纹象征着智慧,,87,,,110009,雅典娜的究极女神武装，七色圣火之纹象征着智慧,
1106100009,曙光之靴,3,,1,5,35,1204104,,32000,9999,装备铸造获得,4,45,15,暗黑末世终结时曙光女神遗留人界的靴子，笼罩着永不熄灭的太阳之火,,87,,,110009,暗黑末世终结时曙光女神遗留人界的靴子，笼罩着永不熄灭的太阳之火,
1106100010,神谕之靴,3,,1,5,45,1204105,,50000,9999,装备铸造获得,4,45,15,所有的战役，胜负都在于一心———圣女贞德,,87,,,110009,所有的战役，胜负都在于一心———圣女贞德,
1106100011,智慧女神之靴,3,,1,5,55,1204106,,25000,9999,装备铸造获得,4,45,15,雅典娜的究极女神武装，七色圣火之纹象征着智慧,,87,,,110009,雅典娜的究极女神武装，七色圣火之纹象征着智慧,
1106100012,神谕之靴,3,,1,6,45,1204105,,45000,9999,装备铸造获得,4,-1,15,所有的战役，胜负都在于一心———圣女贞德,,87,,,110009,所有的战役，胜负都在于一心———圣女贞德,
1106100013,智慧女神之靴,3,,1,6,55,1204106,,80000,9999,装备铸造获得,4,-1,15,雅典娜的究极女神武装，七色圣火之纹象征着智慧,,87,,,110009,雅典娜的究极女神武装，七色圣火之纹象征着智慧,
1106100014,最天使之靴,3,,1,4,65,1204107,,100000,9999,装备铸造获得,-1,35,15,荒古圣城封印的天使之靴，抵御一切暗黑攻击,,87,,,110009,荒古圣城封印的天使之靴，抵御一切暗黑攻击,
1106100015,最天使之靴,3,,1,5,65,1204107,,100000,9999,装备铸造获得,-1,45,15,荒古圣城封印的天使之靴，抵御一切暗黑攻击,,87,,,110009,荒古圣城封印的天使之靴，抵御一切暗黑攻击,
1106100016,最天使之靴,3,,1,6,65,1204107,,100000,9999,装备铸造获得,-1,-1,15,荒古圣城封印的天使之靴，抵御一切暗黑攻击,,87,,,110009,荒古圣城封印的天使之靴，抵御一切暗黑攻击,
1101200001,幻影之刃,3,,1,3,1,1201201,,200,9999,任务获得,0,25,15,宛如浓夜的漆黑刀刃，精巧却锋利无比,,87,,,110009,宛如浓夜的漆黑刀刃，精巧却锋利无比,
1101200003,死神之锋,3,,1,3,15,1201202,,2000,9999,装备铸造获得,0,25,15,刻下了死神镇魂曲的短刃，会对敌人施下“绝对死亡”的诅咒,,87,,,110009,刻下了死神镇魂曲的短刃，会对敌人施下“绝对死亡”的诅咒,
1101200004,虚空之刃,3,,1,3,25,1201203,,5000,9999,装备铸造获得,4,25,15,能撕裂空间的刀刃，是传说中唯一对付克诺洛斯“空间禁咒”的兵器,,87,,,110009,能撕裂空间的刀刃，是传说中唯一对付克诺洛斯“空间禁咒”的兵器,
1101200005,虚空之刃,3,,1,4,25,1201203,,10000,9999,装备铸造获得,4,35,15,能撕裂空间的刀刃，是传说中唯一对付克诺洛斯“空间禁咒”的兵器,,87,,,110009,能撕裂空间的刀刃，是传说中唯一对付克诺洛斯“空间禁咒”的兵器,
1101200006,暗夜之翼,3,,1,4,35,1201204,,15000,9999,装备铸造获得,4,35,15,以堕天使之翼制作的恶魔之刃，是“诸神黄昏”中的弒神武器,,87,,,110009,以堕天使之翼制作的恶魔之刃，是“诸神黄昏”中的弒神武器,
1101200007,夜魇血刀,3,,1,4,45,1201205,,25000,9999,装备铸造获得,4,35,15,如夜魇般让敌人陷入梦境的不祥之刃，更具备将梦境转为真实的可怕能力,,87,,,110009,如夜魇般让敌人陷入梦境的不祥之刃，更具备将梦境转为真实的可怕能力,
1101200008,夜女神的微笑,3,,1,4,55,1201206,,20000,9999,装备铸造获得,4,35,15,既然世上的邪恶无法消除，那就让我统治邪恶———夜之女神尼克斯,,87,,,110009,既然世上的邪恶无法消除，那就让我统治邪恶———夜之女神尼克斯,
1101200009,暗夜之翼,3,,1,5,35,1201204,,32000,9999,装备铸造获得,4,45,15,以堕天使之翼制作的恶魔之刃，是“诸神黄昏”中的弒神武器,,87,,,110009,以堕天使之翼制作的恶魔之刃，是“诸神黄昏”中的弒神武器,
1101200010,夜魇血刀,3,,1,5,45,1201205,,50000,9999,装备铸造获得,4,45,15,如夜魇般让敌人陷入梦境的不祥之刃，更具备将梦境转为真实的可怕能力,,87,,,110009,如夜魇般让敌人陷入梦境的不祥之刃，更具备将梦境转为真实的可怕能力,
1101200011,夜女神的微笑,3,,1,5,55,1201206,,25000,9999,装备铸造获得,4,45,15,既然世上的邪恶无法消除，那就让我统治邪恶———夜之女神尼克斯,,87,,,110009,既然世上的邪恶无法消除，那就让我统治邪恶———夜之女神尼克斯,
1101200012,夜魇血刀,3,,1,6,45,1201205,,45000,9999,装备铸造获得,4,-1,15,如夜魇般让敌人陷入梦境的不祥之刃，更具备将梦境转为真实的可怕能力,,87,,,110009,如夜魇般让敌人陷入梦境的不祥之刃，更具备将梦境转为真实的可怕能力,
1101200013,夜女神的微笑,3,,1,6,55,1201206,,80000,9999,装备铸造获得,4,-1,15,既然世上的邪恶无法消除，那就让我统治邪恶———夜之女神尼克斯,,87,,,110009,既然世上的邪恶无法消除，那就让我统治邪恶———夜之女神尼克斯,
1101200014,血腥神殿,3,,1,4,65,1201207,,100000,9999,装备铸造获得,-1,35,15,能召唤血腥神殿开展黑暗杀戮的魔刀,,87,,,110009,能召唤血腥神殿开展黑暗杀戮的魔刀,
1101200015,血腥神殿,3,,1,5,65,1201207,,100000,9999,装备铸造获得,-1,45,15,能召唤血腥神殿开展黑暗杀戮的魔刀,,87,,,110009,能召唤血腥神殿开展黑暗杀戮的魔刀,
1101200016,血腥神殿,3,,1,6,65,1201207,,100000,9999,装备铸造获得,-1,-1,15,能召唤血腥神殿开展黑暗杀戮的魔刀,,87,,,110009,能召唤血腥神殿开展黑暗杀戮的魔刀,
1102200001,飘渺戒指,3,,1,3,1,1206201,,200,9999,任务获得,0,25,15,受到风之祝福的轻盈戒指,,87,,,110009,受到风之祝福的轻盈戒指,
1102200003,绝影戒指,3,,1,3,15,1206202,,2000,9999,装备铸造获得,0,25,15,没有影子的隐形戒指,,87,,,110009,没有影子的隐形戒指,
1102200004,禁忌戒指,3,,1,3,25,1206203,,5000,9999,装备铸造获得,4,25,15,深藏着复仇女神诅咒的可怕戒指,,87,,,110009,深藏着复仇女神诅咒的可怕戒指,
1102200005,禁忌戒指,3,,1,4,25,1206203,,10000,9999,装备铸造获得,4,35,15,深藏着复仇女神诅咒的可怕戒指,,87,,,110009,深藏着复仇女神诅咒的可怕戒指,
1102200006,断罪戒指,3,,1,4,35,1206204,,15000,9999,装备铸造获得,4,35,15,切断罪恶的命运女神戒指,,87,,,110009,切断罪恶的命运女神戒指,
1102200007,红月戒指,3,,1,4,45,1206205,,25000,9999,装备铸造获得,4,35,15,蕴藏着红月诡秘力量的戒指,,87,,,110009,蕴藏着红月诡秘力量的戒指,
1102200008,夜女神戒指,3,,1,4,55,1206206,,20000,9999,装备铸造获得,4,35,15,尼克斯所佩戴的夜之戒指，接近于创世神的暗黑之力,,87,,,110009,尼克斯所佩戴的夜之戒指，接近于创世神的暗黑之力,
1102200009,断罪戒指,3,,1,5,35,1206204,,32000,9999,装备铸造获得,4,45,15,切断罪恶的命运女神戒指,,87,,,110009,切断罪恶的命运女神戒指,
1102200010,红月戒指,3,,1,5,45,1206205,,50000,9999,装备铸造获得,4,45,15,蕴藏着红月诡秘力量的戒指,,87,,,110009,蕴藏着红月诡秘力量的戒指,
1102200011,夜女神戒指,3,,1,5,55,1206206,,25000,9999,装备铸造获得,4,45,15,尼克斯所佩戴的夜之戒指，接近于创世神的暗黑之力,,87,,,110009,尼克斯所佩戴的夜之戒指，接近于创世神的暗黑之力,
1102200012,红月戒指,3,,1,6,45,1206205,,45000,9999,装备铸造获得,4,-1,15,蕴藏着红月诡秘力量的戒指,,87,,,110009,蕴藏着红月诡秘力量的戒指,
1102200013,夜女神戒指,3,,1,6,55,1206206,,80000,9999,装备铸造获得,4,-1,15,尼克斯所佩戴的夜之戒指，接近于创世神的暗黑之力,,87,,,110009,尼克斯所佩戴的夜之戒指，接近于创世神的暗黑之力,
1102200014,魅风戒指,3,,1,4,65,1206207,,100000,9999,装备铸造获得,-1,35,15,拥有强大的诅咒力量，会带来死亡厄运的可怕戒指,,87,,,110009,拥有强大的诅咒力量，会带来死亡厄运的可怕戒指,
