id,todo,remark
100305,"{""AcceptableTask"":[100305]}",
100306,"{""AcceptableTask"":[100306]}",
100307,"{""AcceptableTask"":[100307]}",
100308,"{""AcceptableTask"":[100308]}",
100309,"{""AcceptableTask"":[100309]}",
100310,"{""AcceptableTask"":[100310]}",
100311,"{""AcceptableTask"":[100311]}",
100312,"{""AcceptableTask"":[100312]}",
100313,"{""AcceptableTask"":[100313]}",
100314,"{""AcceptableTask"":[100314]}",
100315,"{""AcceptableTask"":[100315]}",
100316,"{""AcceptableTask"":[100316]}",
100317,"{""AcceptableTask"":[100317]}",
100318,"{""AcceptableTask"":[100318]}",
100319,"{""AcceptableTask"":[100319]}",
100320,"{""AcceptableTask"":[100320]}",
100321,"{""AcceptableTask"":[100321]}",
100322,"{""AcceptableTask"":[100322]}",
100323,"{""AcceptableTask"":[100323]}",
100324,"{""AcceptableTask"":[100324]}",
100325,"{""AcceptableTask"":[100325]}",
100326,"{""AcceptableTask"":[100326]}",
100327,"{""AcceptableTask"":[100327]}",
100328,"{""AcceptableTask"":[100328]}",
100329,"{""AcceptableTask"":[100329]}",
100330,"{""AcceptableTask"":[100330]}",
100331,"{""AcceptableTask"":[100331]}",
100332,"{""AcceptableTask"":[100332]}",
100401,"{""AcceptableTask"":[100401]}",
100402,"{""AcceptableTask"":[100402]}",
100403,"{""AcceptableTask"":[100403]}",
100404,"{""AcceptableTask"":[100404]}",
100405,"{""AcceptableTask"":[100405]}",
100406,"{""AcceptableTask"":[100406]}",
100407,"{""AcceptableTask"":[100407]}",
100408,"{""AcceptableTask"":[100408]}",
100409,"{""AcceptableTask"":[100409]}",
100410,"{""AcceptableTask"":[100410]}",
100411,"{""AcceptableTask"":[100411]}",
100412,"{""AcceptableTask"":[100412]}",
100413,"{""AcceptableTask"":[100413]}",
100414,"{""AcceptableTask"":[100414]}",
100415,"{""AcceptableTask"":[100415]}",
100416,"{""AcceptableTask"":[100416]}",
100417,"{""AcceptableTask"":[100417]}",
100418,"{""AcceptableTask"":[100418]}",
100419,"{""AcceptableTask"":[100419]}",
100420,"{""AcceptableTask"":[100420]}",
100421,"{""AcceptableTask"":[100421]}",
100422,"{""AcceptableTask"":[100422]}",
100423,"{""AcceptableTask"":[100423]}",
100424,"{""AcceptableTask"":[100424]}",
100425,"{""AcceptableTask"":[100425]}",
100426,"{""AcceptableTask"":[100426]}",
100427,"{""AcceptableTask"":[100427]}",
100428,"{""AcceptableTask"":[100428]}",
100429,"{""AcceptableTask"":[100429]}",
100430,"{""AcceptableTask"":[100430]}",
100431,"{""AcceptableTask"":[100431]}",
100432,"{""AcceptableTask"":[100432]}",
100433,"{""AcceptableTask"":[100433]}",
100434,"{""AcceptableTask"":[100434]}",
100435,"{""AcceptableTask"":[100435]}",
100436,"{""AcceptableTask"":[100436]}",
100501,"{""AcceptableTask"":[100501]}",
100502,"{""AcceptableTask"":[100502]}",
100503,"{""AcceptableTask"":[100503]}",
100504,"{""AcceptableTask"":[100504]}",
100505,"{""AcceptableTask"":[100505]}",
100506,"{""AcceptableTask"":[100506]}",
100507,"{""AcceptableTask"":[100507]}",
100508,"{""AcceptableTask"":[100508]}",
100509,"{""AcceptableTask"":[100509]}",
100510,"{""AcceptableTask"":[100510]}",
100511,"{""AcceptableTask"":[100511]}",
100512,"{""AcceptableTask"":[100512]}",
100513,"{""AcceptableTask"":[100513]}",
100514,"{""AcceptableTask"":[100514]}",
100515,"{""AcceptableTask"":[100515]}",
100516,"{""AcceptableTask"":[100516]}",
100517,"{""AcceptableTask"":[100517]}",
100518,"{""AcceptableTask"":[100518]}",
100519,"{""AcceptableTask"":[100519]}",
100520,"{""AcceptableTask"":[100520]}",
100521,"{""AcceptableTask"":[100521]}",
100522,"{""AcceptableTask"":[100522]}",
100523,"{""AcceptableTask"":[100523]}",
100524,"{""AcceptableTask"":[100524]}",
100525,"{""AcceptableTask"":[100525]}",
100526,"{""AcceptableTask"":[100526]}",
100527,"{""AcceptableTask"":[100527]}",
100528,"{""AcceptableTask"":[100528]}",
100529,"{""AcceptableTask"":[100529]}",
100530,"{""AcceptableTask"":[100530]}",
100531,"{""AcceptableTask"":[100531]}",
100532,"{""AcceptableTask"":[100532]}",
100601,"{""AcceptableTask"":[100601]}",
100602,"{""AcceptableTask"":[100602]}",
100603,"{""AcceptableTask"":[100603]}",
100604,"{""AcceptableTask"":[100604]}",
100605,"{""AcceptableTask"":[100605]}",
100606,"{""AcceptableTask"":[100606]}",
100607,"{""AcceptableTask"":[100607]}",
100608,"{""AcceptableTask"":[100608]}",
100609,"{""AcceptableTask"":[100609]}",
100610,"{""AcceptableTask"":[100610]}",
100611,"{""AcceptableTask"":[100611]}",
100612,"{""AcceptableTask"":[100612]}",
100613,"{""AcceptableTask"":[100613]}",
100614,"{""AcceptableTask"":[100614]}",
100615,"{""AcceptableTask"":[100615]}",
100616,"{""AcceptableTask"":[100616]}",
100617,"{""AcceptableTask"":[100617]}",
100618,"{""AcceptableTask"":[100618]}",
100619,"{""AcceptableTask"":[100619]}",
100620,"{""AcceptableTask"":[100620]}",
100621,"{""AcceptableTask"":[100621]}",
100622,"{""AcceptableTask"":[100622]}",
100623,"{""AcceptableTask"":[100623]}",
100624,"{""AcceptableTask"":[100624]}",
100625,"{""AcceptableTask"":[100625]}",
100626,"{""AcceptableTask"":[100626]}",
100627,"{""AcceptableTask"":[100627]}",
100628,"{""AcceptableTask"":[100628]}",
100629,"{""AcceptableTask"":[100629]}",
100630,"{""AcceptableTask"":[100630]}",
100631,"{""AcceptableTask"":[100631]}",
100632,"{""AcceptableTask"":[100632]}",
100633,"{""AcceptableTask"":[100633]}",
100701,"{""AcceptableTask"":[100701]}",
100702,"{""AcceptableTask"":[100702]}",
100703,"{""AcceptableTask"":[100703]}",
100704,"{""AcceptableTask"":[100704]}",
100705,"{""AcceptableTask"":[100705]}",
100706,"{""AcceptableTask"":[100706]}",
100707,"{""AcceptableTask"":[100707]}",
100708,"{""AcceptableTask"":[100708]}",
100709,"{""AcceptableTask"":[100709]}",
100710,"{""AcceptableTask"":[100710]}",
100711,"{""AcceptableTask"":[100711]}",
100712,"{""AcceptableTask"":[100712]}",
100713,"{""AcceptableTask"":[100713]}",
100714,"{""AcceptableTask"":[100714]}",
100715,"{""AcceptableTask"":[100715]}",
100716,"{""AcceptableTask"":[100716]}",
100717,"{""AcceptableTask"":[100717]}",
100718,"{""AcceptableTask"":[100718]}",
100719,"{""AcceptableTask"":[100719]}",
100720,"{""AcceptableTask"":[100720]}",
100721,"{""AcceptableTask"":[100721]}",
100722,"{""AcceptableTask"":[100722]}",
100723,"{""AcceptableTask"":[100723]}",
100724,"{""AcceptableTask"":[100724]}",
100725,"{""AcceptableTask"":[100725]}",
100726,"{""AcceptableTask"":[100726]}",
100727,"{""AcceptableTask"":[100727]}",
100728,"{""AcceptableTask"":[100728]}",
100729,"{""AcceptableTask"":[100729]}",
100730,"{""AcceptableTask"":[100730]}",
100731,"{""AcceptableTask"":[100731]}",
100732,"{""AcceptableTask"":[100732]}",
100733,"{""AcceptableTask"":[100733]}",
100734,"{""AcceptableTask"":[100734]}",
100735,"{""AcceptableTask"":[100735]}",
100736,"{""AcceptableTask"":[100736]}",
100737,"{""AcceptableTask"":[100737]}",
100738,"{""AcceptableTask"":[100738]}",
100739,"{""AcceptableTask"":[100739]}",
#主界面的功能开放,,
#无双技开放 -- 副本BOSS,,
600206,"{""FullSp"":0,""OpenFunc"":206}",
#自动战斗开放 -- 100008,,
600207,"{""OpenFunc"":207}",
#技能开放 -- 100011,,
600008,"{""OpenFunc"":8}",
#剧情开放 -- 100014,,
600100,"{""OpenFunc"":100}",
#每日必做 +社交开放+英雄殿堂开放 -- 100015,,
600014,"{""OpenFunc"":14}",
600011,"{""OpenFunc"":11}",
600507,"{""OpenFunc"":507}",
# 每日签到,,
600506,"{""OpenFunc"":506}",
#神灵开放 -- 100201,,
600009,"{""OpenFunc"":9}",
#祭坛开放-炼魂开放 -- 100204,,
600010,"{""OpenFunc"":10}",
#每日目标开放->每日必做 -- 100208,,
600402,"{""OpenFunc"":402}",
600503,"{""OpenFunc"":503}",
#vip体验 -- 100211,,
610251,"{""ThinkVipTest"":0}",
600401,"{""OpenFunc"":401}",
600601,"{""OpenFunc"":601}",
601601,"{""SetFuncFalse"":601}",
#装备锻造开放 + 解封-- 100212,,
600407,"{""OpenFunc"":407}",
#开启王者之路+排位赛+百战成神 -- 100213,,
600001,"{""OpenFunc"":1}",
600015,"{""OpenFunc"":15}",
600023,"{""OpenFunc"":23}",
#开启探险 --100214,,
600602,"{""OpenFunc"":602}",
#开启解封+探险10连抽 --100215,,
600408,"{""GuideExplore"":0,""OpenFunc"":408}",
#星魂任务 --100216,,
600504,"{""OpenFunc"":504}",
#维纳斯的祝福,,
600501,"{""OpenFunc"":501}",
#VIP福利,,
#600502,"{""OpenFunc"":502}",
#开启联盟 -- 100218,,
600013,"{""OpenFunc"":13}",
#深渊巢穴 -- 100221,,
600018,"{""OpenFunc"":18}",
#炼狱 +组队大厅-- 100229,,
600016,"{""OpenFunc"":16}",
600021,"{""OpenFunc"":21}",
#镶嵌 -- 100301,,
600405,"{""OpenFunc"":405}",
#战魔神殿 -- 100302,,
600017,"{""OpenFunc"":17}",
#精炼 -- 100303,,
600409,"{""OpenFunc"":409}",
#600604,"{""OpenFunc"":604}",
#无双技 -- 100401,,
600406,"{""OpenFunc"":406}",
#诸神之战-100411,,
600026,"{""OpenFunc"":26}",
#女神系统-100412,,
600508,"{""OpenFunc"":508}",
#远古神坛 -- 100304,,
600022,"{""OpenFunc"":22}",
#守护神法宝 -- 100411,,
600410,"{""OpenFunc"":410}",
#联盟争霸开放 -- 100320,,
600025,"{""OpenFunc"":25}",
#羽翼开放+神之试炼 -- 100401,,
600412,"{""OpenFunc"":412}",
600020,"{""OpenFunc"":20}",
#新手剧情,,
200001,"{""DoNewbieGuide"":1}",
200002,"{""DoNewbieGuide"":5}",
200003,"{""DoNewbieGuide"":2}",
200004,"{""DoNewbieGuide"":6}",
200005,"{""DoNewbieGuide"":3}",
200006,"{""DoNewbieGuide"":4}",
200007,"{""DoNewbieGuide"":7}",
200008,"{""DoNewbieGuide"":8}",
200009,"{""DoNewbieGuide"":9}",
200010,"{""DoNewbieGuide"":10}",
200011,"{""DoNewbieGuide"":11}",
200012,"{""DoNewbieGuide"":12}",
#第一次进入主城,,
200100,"{""DoNewbieGuide"":100}",
200120,"{""DoNewbieGuide"":120}",
210120,"{""DoneNewbieGuide"":120}",
200112,"{""DoNewbieGuide"":112}",
210112,"{""DoneNewbieGuide"":112}",
200113,"{""DoNewbieGuide"":113}",
#挑战体力不足,,
200114,"{""DoNewbieGuide"":114}",
#快捷装备,,
200121,"{""DoNewbieGuide"":121}",
200122,"{""DoNewbieGuide"":122}",
#快捷装备 + 第一次升星 + 服务器掉落概率,,
200123,"{""DoNewbieGuide"":123}",
200130,"{""DoNewbieGuide"":130}",
200132,"{""DoNewbieGuide"":132}",
200133,"{""DoNewbieGuide"":133}",
200134,"{""DoNewbieGuide"":134}",
200135,"{""DoNewbieGuide"":135}",
#无双技开放,,
200151,"{""DoNewbieGuide"":151}",
200152,"{""DoNewbieGuide"":152}",
#第二次升星 + 快捷装备,,
200140,"{""DoNewbieGuide"":140}",
200141,"{""DoNewbieGuide"":141}",
200142,"{""DoNewbieGuide"":142}",
200144,"{""DoNewbieGuide"":144}",
200145,"{""DoNewbieGuide"":145}",
200146,"{""DoNewbieGuide"":146}",
#自动战斗开放,,
200153,"{""DoNewbieGuide"":153}",
200154,"{""DoNewbieGuide"":154}",
#引导学习的技能,,
200156,"{""DoNewbieGuide"":156}",
200157,"{""DoNewbieGuide"":157}",
200158,"{""DoNewbieGuide"":158}",
200159,"{""DoNewbieGuide"":159}",
#快捷装备 + 技能开放 + 升级技能,,
200160,"{""DoNewbieGuide"":160}",
200161,"{""DoNewbieGuide"":161}",
200162,"{""DoNewbieGuide"":162}",
200163,"{""DoNewbieGuide"":163}",
200164,"{""DoNewbieGuide"":164}",
#学习技能,,
200171,"{""DoNewbieGuide"":171}",
200172,"{""DoNewbieGuide"":172}",
200173,"{""DoNewbieGuide"":173}",
200174,"{""DoNewbieGuide"":174}",
#快捷装备+时装指引,,
200175,"{""DoNewbieGuide"":175}",
200176,"{""DoNewbieGuide"":176}",
200177,"{""DoNewbieGuide"":177}",
200178,"{""DoNewbieGuide"":178}",
200179,"{""DoNewbieGuide"":179}",
201179,"{""DoNewbieGuide"":1179}",
202179,"{""DoNewbieGuide"":2179}",
203179,"{""DoNewbieGuide"":3179}",
204179,"{""DoNewbieGuide"":4179}",
205179,"{""DoNewbieGuide"":5179}",
#剧情开放,,
200181,"{""DoNewbieGuide"":181}",
200182,"{""DoNewbieGuide"":182}",
200183,"{""DoNewbieGuide"":183}",
200184,"{""DoNewbieGuide"":184}",
200185,"{""DoNewbieGuide"":185}",
#每日签到,,
200190,"{""DoNewbieGuide"":190}",
200191,"{""DoNewbieGuide"":191}",
200192,"{""DoNewbieGuide"":192}",
200193,"{""DoNewbieGuide"":193}",
200194,"{""DoNewbieGuide"":194}",
#星魂任务,,
200195,"{""DoNewbieGuide"":195}",
200196,"{""DoNewbieGuide"":196}",
200197,"{""DoNewbieGuide"":197}",
200198,"{""DoNewbieGuide"":198}",
200199,"{""DoNewbieGuide"":199}",
200200,"{""DoNewbieGuide"":200}",
#神灵开放,,
200201,"{""DoNewbieGuide"":201}",
200202,"{""DoNewbieGuide"":202}",
200203,"{""DoNewbieGuide"":203}",
200204,"{""DoNewbieGuide"":204}",
200205,"{""DoNewbieGuide"":205}",
200206,"{""DoNewbieGuide"":206}",
200207,"{""DoNewbieGuide"":207}",
#祭坛开放-炼魂开放,,
200211,"{""DoNewbieGuide"":211}",
200212,"{""DoNewbieGuide"":212}",
200213,"{""DoNewbieGuide"":213}",
200214,"{""DoNewbieGuide"":214}",
210214,"{""OpenUI"":11}",
200215,"{""DoNewbieGuide"":215}",
200216,"{""DoNewbieGuide"":216}",
200217,"{""DoNewbieGuide"":217}",
200218,"{""DoNewbieGuide"":218}",
200219,"{""DoNewbieGuide"":219}",
#难度选择,,
200221,"{""DoNewbieGuide"":221}",
200222,"{""DoNewbieGuide"":222}",
#每日目标开放->每日必做->召唤神灵(打开祭坛界面)->神灵融合(打开神灵界面),,
200231,"{""DoNewbieGuide"":231}",
200232,"{""DoNewbieGuide"":232}",
200233,"{""DoNewbieGuide"":233}",
200234,"{""DoNewbieGuide"":234}",
200235,"{""DoNewbieGuide"":235}",
200236,"{""DoNewbieGuide"":236}",
#打开祭坛,,
230236,"{""OpenUI"":6}",
200237,"{""DoNewbieGuide"":237}",
#打开祭坛,,
230237,"{""OpenUI"":6}",
200238,"{""DoNewbieGuide"":238}",
200239,"{""DoNewbieGuide"":239}",
200240,"{""DoNewbieGuide"":240}",
200241,"{""DoNewbieGuide"":241}",
#判断是否可以打开vip体验不可以打开神灵,,
200251,"{""DoNewbieGuide"":251}",
210251,"{""DoneNewbieGuide"":251}",
#指引vip体验,,
200261,"{""DoNewbieGuide"":261}",
200262,"{""DoNewbieGuide"":262}",
200263,"{""DoNewbieGuide"":263}",
200264,"{""DoNewbieGuide"":264}",
200265,"{""DoNewbieGuide"":265}",
200266,"{""DoNewbieGuide"":266}",
#装备锻造开放,,
200271,"{""DoNewbieGuide"":271}",
200272,"{""DoNewbieGuide"":272}",
200274,"{""DoNewbieGuide"":274}",
200275,"{""DoNewbieGuide"":275}",
200276,"{""DoNewbieGuide"":276}",
200277,"{""DoNewbieGuide"":277}",
210277,"{""DoneNewbieGuide"":277}",
#提示历练+锻造武器,,
200278,"{""DoNewbieGuide"":278}",
200279,"{""DoNewbieGuide"":279}",
201279,"{""DoNewbieGuide"":1279}",
202279,"{""DoNewbieGuide"":2279}",
203279,"{""DoNewbieGuide"":3279}",
204279,"{""DoNewbieGuide"":4279}",
205279,"{""DoNewbieGuide"":5279}",
206279,"{""DoNewbieGuide"":6279}",
207279,"{""DoNewbieGuide"":7279}",
#开启王者之路+排位赛,,
200281,"{""DoNewbieGuide"":281}",
200282,"{""DoNewbieGuide"":282}",
200283,"{""DoNewbieGuide"":283}",
200284,"{""DoNewbieGuide"":284}",
200285,"{""DoNewbieGuide"":285}",
#返回到主城后提示,,
200286,"{""DoNewbieGuide"":286}",
#开启联盟,,
200291,"{""DoNewbieGuide"":291}",
200292,"{""DoNewbieGuide"":292}",
200293,"{""DoNewbieGuide"":293}",
200294,"{""DoNewbieGuide"":294}",
#探险,,
200300,"{""DoNewbieGuide"":300}",
200301,"{""DoNewbieGuide"":301}",
200302,"{""DoNewbieGuide"":302}",
200303,"{""DoNewbieGuide"":303}",
#联盟管理,,
200311,"{""DoNewbieGuide"":311}",
200312,"{""DoNewbieGuide"":312}",
200313,"{""DoNewbieGuide"":313}",
200314,"{""DoNewbieGuide"":314}",
200315,"{""DoNewbieGuide"":315}",
210315,"{""OpenUI"":16}",
200316,"{""DoNewbieGuide"":316}",
200317,"{""DoNewbieGuide"":317}",
200318,"{""DoNewbieGuide"":318}",
200319,"{""DoNewbieGuide"":319}",
#解封+10连抽100215,,
200321,"{""DoNewbieGuide"":321}",
200322,"{""DoNewbieGuide"":322}",
200323,"{""DoNewbieGuide"":323}",
200324,"{""DoNewbieGuide"":324}",
200325,"{""DoNewbieGuide"":325}",
200326,"{""DoNewbieGuide"":326}",
200327,"{""DoNewbieGuide"":327}",
200328,"{""DoNewbieGuide"":328}",
200329,"{""DoNewbieGuide"":329}",
200330,"{""DoNewbieGuide"":330}",
200331,"{""DoNewbieGuide"":331}",
200332,"{""DoNewbieGuide"":332}",
200333,"{""DoNewbieGuide"":333}",
200334,"{""DoNewbieGuide"":334}",
200335,"{""DoNewbieGuide"":335}",
#精英副本100230,,
200336,"{""DoNewbieGuide"":336}",
200337,"{""DoNewbieGuide"":337}",
200338,"{""DoNewbieGuide"":338}",
#第一次切BOSS,,
200340,"{""DoNewbieGuide"":340}",
200341,"{""DoneNewbieGuide"":340}",
#英雄殿堂指引,,
200350,"{""DoNewbieGuide"":350}",
200351,"{""DoNewbieGuide"":351}",
200352,"{""DoNewbieGuide"":352}",
200353,"{""DoNewbieGuide"":353}",
200354,"{""DoNewbieGuide"":354}",
200355,"{""DoNewbieGuide"":355}",
200356,"{""DoNewbieGuide"":356}",
#羽翼指引,,
200360,"{""DoNewbieGuide"":360}",
200361,"{""DoNewbieGuide"":361}",
200362,"{""DoNewbieGuide"":362}",
200363,"{""DoNewbieGuide"":363}",
200364,"{""DoNewbieGuide"":364}",
200365,"{""DoNewbieGuide"":365}",
200366,"{""DoNewbieGuide"":366}",
200367,"{""DoNewbieGuide"":367}",
200368,"{""DoNewbieGuide"":368}",
200369,"{""DoNewbieGuide"":369}",
#远古神坛指引,,
200370,"{""DoNewbieGuide"":370}",
200371,"{""DoNewbieGuide"":371}",
200372,"{""DoNewbieGuide"":372}",
200373,"{""DoNewbieGuide"":373}",
200374,"{""DoNewbieGuide"":374}",
200375,"{""DoNewbieGuide"":375}",
200376,"{""DoNewbieGuide"":376}",
200377,"{""DoNewbieGuide"":377}",
200378,"{""DoNewbieGuide"":378}",
200379,"{""DoNewbieGuide"":379}",
200380,"{""DoNewbieGuide"":380}",
300214,"{""AcceptableTask"":[300214]}",
300215,"{""AcceptableTask"":[300215]}",
300216,"{""AcceptableTask"":[300216]}",
300217,"{""AcceptableTask"":[300217]}",
300218,"{""AcceptableTask"":[300218]}",
300219,"{""AcceptableTask"":[300219]}",
300220,"{""AcceptableTask"":[300220]}",
300221,"{""AcceptableTask"":[300221]}",
300222,"{""AcceptableTask"":[300222]}",
300223,"{""AcceptableTask"":[300223]}",
300224,"{""AcceptableTask"":[300224]}",
300225,"{""AcceptableTask"":[300225]}",
300226,"{""AcceptableTask"":[300226]}",
300300,"{""AcceptableTask"":[300300]}",
300301,"{""AcceptableTask"":[300301]}",
300302,"{""AcceptableTask"":[300302]}",
300303,"{""AcceptableTask"":[300303]}",
300304,"{""AcceptableTask"":[300304]}",
300305,"{""AcceptableTask"":[300305]}",
300306,"{""AcceptableTask"":[300306]}",
300307,"{""AcceptableTask"":[300307]}",
300308,"{""AcceptableTask"":[300308]}",
300309,"{""AcceptableTask"":[300309]}",
300310,"{""AcceptableTask"":[300310]}",
300311,"{""AcceptableTask"":[300311]}",
300312,"{""AcceptableTask"":[300312]}",
300313,"{""AcceptableTask"":[300313]}",
300314,"{""AcceptableTask"":[300314]}",
300401,"{""AcceptableTask"":[300401]}",
300402,"{""AcceptableTask"":[300402]}",
300403,"{""AcceptableTask"":[300403]}",
300404,"{""AcceptableTask"":[300404]}",
300405,"{""AcceptableTask"":[300405]}",
300406,"{""AcceptableTask"":[300406]}",
300407,"{""AcceptableTask"":[300407]}",
300408,"{""AcceptableTask"":[300408]}",
300409,"{""AcceptableTask"":[300409]}",
300410,"{""AcceptableTask"":[300410]}",
300411,"{""AcceptableTask"":[300411]}",
300412,"{""AcceptableTask"":[300412]}",
300413,"{""AcceptableTask"":[300413]}",
300501,"{""AcceptableTask"":[300501]}",
300502,"{""AcceptableTask"":[300502]}",
300503,"{""AcceptableTask"":[300503]}",
300504,"{""AcceptableTask"":[300504]}",
300505,"{""AcceptableTask"":[300505]}",
300506,"{""AcceptableTask"":[300506]}",
300507,"{""AcceptableTask"":[300507]}",
300508,"{""AcceptableTask"":[300508]}",
300509,"{""AcceptableTask"":[300509]}",
300510,"{""AcceptableTask"":[300510]}",
300511,"{""AcceptableTask"":[300511]}",
300512,"{""AcceptableTask"":[300512]}",
300601,"{""AcceptableTask"":[300601]}",
300602,"{""AcceptableTask"":[300602]}",
300603,"{""AcceptableTask"":[300603]}",
300604,"{""AcceptableTask"":[300604]}",
300605,"{""AcceptableTask"":[300605]}",
300606,"{""AcceptableTask"":[300606]}",
300607,"{""AcceptableTask"":[300607]}",
300608,"{""AcceptableTask"":[300608]}",
300609,"{""AcceptableTask"":[300609]}",
300610,"{""AcceptableTask"":[300610]}",
300611,"{""AcceptableTask"":[300611]}",
300612,"{""AcceptableTask"":[300612]}",
300613,"{""AcceptableTask"":[300613]}",
300701,"{""AcceptableTask"":[300701]}",
300702,"{""AcceptableTask"":[300702]}",
300703,"{""AcceptableTask"":[300703]}",
300704,"{""AcceptableTask"":[300704]}",
300705,"{""AcceptableTask"":[300705]}",
300706,"{""AcceptableTask"":[300706]}",
300707,"{""AcceptableTask"":[300707]}",
300708,"{""AcceptableTask"":[300708]}",
300709,"{""AcceptableTask"":[300709]}",
300710,"{""AcceptableTask"":[300710]}",
300711,"{""AcceptableTask"":[300711]}",
300712,"{""AcceptableTask"":[300712]}",
300713,"{""AcceptableTask"":[300713]}",
900001,"{""PlayMovie"":8001}",
900002,"{""PlayMovie"":2}",
900003,"{""EnterScene"":1000}",
900004,"{""PlayMovie"":3}",
900005,"{""SpawnMonster"":1}",
900006,"{""PlayMovie"":4}",
900007,"{""PlayMovie"":5}",
900008,"{""PlayMovie"":6}",
900009,"{""ShowBattleDone"":1}",
900010,"{""ShowBattleDone"":0}",
900011,"{""ShowTips"":614}",
900012,"{""PlayMovie"":8002}",
900013,"{""PlayMovie"":8003}",
900014,"{""PlayMovie"":8004}",
900015,"{""PlayMovie"":8005}",
900016,"{""PlayMovie"":8006}",
900017,"{""PlayMovie"":8007}",
900018,"{""PlayMovie"":8012}",
900019,"{""PlayMovie"":8008}",
900020,"{""PlayMovie"":8009}",
900021,"{""DestroySceneTips"":0}",
900022,"{""PlayMovie"":8016}",
900023,"{""PlayMovie"":8011}",
900024,"{""PlayMovie"":8013}",
900025,"{""PlayMovie"":8014}",
900026,"{""PlayMovie"":8015}",
900027,"{""PlayMovie"":8017}",
900028,"{""PlayMovie"":8018}",
900029,"{""PlayMovie"":8019}",
900030,"{""PlayMovie"":8020}",
900031,"{""PlayMovie"":8021}",
900032,"{""PlayMovie"":8022}",
900033,"{""PlayMovie"":8023}",
900034,"{""PlayMovie"":8024}",
900035,"{""PlayMovie"":8025}",
900036,"{""PlayMovie"":8026}",
900037,"{""PlayMovie"":8027}",
900038,"{""PlayMovie"":8028}",
900039,"{""PlayMovie"":8029}",
900040,"{""PlayMovie"":8030}",
900041,"{""FullSp"":0}",
500001,"{""OpenUI"":30}",
500002,"{""OpenUI"":45}",
500003,"{""OpenUI"":30}",
#500004,"{""OpenUI"":30}",
#500005,"{""OpenUI"":30}",
500006,"{""OpenUI"":30}",
500007,"{""OpenUI"":45}",
500008,"{""OpenUI"":41}",
500009,"{""OpenUI"":13}",
500010,"{""OpenUI"":30}",
500011,"{""OpenUI"":45}",
500012,"{""OpenUI"":30}",
500013,"{""OpenUI"":45}",
500014,"{""OpenUI"":37}",
500015,"{""OpenUI"":37}",
500016,"{""OpenUI"":44}",
#500017,"{""OpenUI"":37}",
#500018,"{""OpenUI"":37}",
501001,"{""OpenUI"":30}",
501002,"{""OpenUI"":45}",
501003,"{""OpenUI"":30}",
501004,"{""OpenUI"":30}",
501005,"{""OpenUI"":45}",
501006,"{""OpenUI"":41}",
501007,"{""OpenUI"":30}",
501008,"{""OpenUI"":45}",
501009,"{""OpenUI"":30}",
501010,"{""OpenUI"":45}",
501011,"{""OpenUI"":13}",
501012,"{""OpenUI"":13}",
501013,"{""OpenUI"":13}",
400001,"{""AcceptTask"":[400001]}",
400002,"{""AcceptTask"":[400002]}",
