id,complete,pivot,is_drak,tips_pos,angel_is_left,cue_fx,cue_pos,cue_rot,collide_pos,collide_scal,arrows_pos,arrows_to,light_pos1,light_pos2,todo,press,recycle,tips
159,[159],,,,,,,,,,,,,,"[3,6,9,10,35]",,"[10,14,15,16]",
#100011,,,,,,,,,,,,,,,,,,
160,[160],8,1,"[-433,290,0]",1,1,"[-220,167,0]",,"[-220,167,0]","[136,68,1]",,,"[-220,230,5]",,,"[12,11]",,点击可立即换装哦
161,,5,1,"[-180,120,0]",1,1,"[-60,245,0]",,"[-60,245,0]","[90,90,1]",,,"[-60,245,2]",,[7],"[12,11]",,好像又可提升了哦
162,,0,1,"[428,167,0]",0,,,,,,"[450,240,0]",3,"[450,319,8]",,"[5,21]",[11],,获得战功可升级技能
163,"[161,162,163]",0,0,"[-254,-118,0]",0,1,"[-450,-125,0]",,"[-450,-125,0]","[75,75,1]",,,,,,"[12,11]",,点击技能升级
164,[164],0,1,"[470,290,0]",1,1,"[595,319,0]",,"[595,319,0]","[78,78,1]",,,"[595,319,2]",,,"[12,11]",,点击关闭
#技能,,,,,,,,,,,,,,,,,,
171,,5,1,"[-130,100,0]",1,1,"[-60,245,0]",,"[-60,245,0]","[90,90,1]",,,"[-60,245,2]",,[7],"[12,11]",,点击技能按钮
172,,0,1,"[-280,180,0]",0,1,"[-378,72,0]",,"[-378,72,0]","[110,110,1]",,,"[-378,72,2]",,,"[12,11]",,点击要学习的技能
173,"[171,172,173]",0,0,"[-254,-118,0]",0,1,"[-450,-125,0]",,"[-450,-125,0]","[75,75,1]",,,,,,"[12,11]",,点击学习
174,[174],0,0,"[470,290,0]",1,1,"[595,319,0]",,"[595,319,0]","[78,78,1]",,,,,"[22,37]",[12],,点击关闭
#时装,,,,,,,,,,,,,,,,,,
175,[175],8,1,"[-433,290,0]",1,1,"[-220,167,0]",,"[-220,167,0]","[136,68,1]",,,"[-220,230,5]",,[8],"[12,11]",,点击可立即换装哦
176,,5,1,"[-125,-90,0]",1,1,"[-35,0,0]",,"[-35,0,0]","[70,90,1]",,,"[-38,0,2]",,,"[7,11]",,点击菜单按钮
177,,5,1,"[-174,0,0]",1,1,"[-174,123,0]",,"[-174,123,0]","[90,90,1]",,,"[-174,123,2]",,[7],"[12,11]",,点击打开背包
178,,0,1,"[-11,190,0]",0,1,"[-203,315,0]",,"[-203,315,0]","[185,80,1]",,,"[-203,315,2]",,,"[12,11]",,凑齐一套装备即可到衣柜激活套装了
179,,0,1,"[330,-270,0]",0,,,,,,"[330,-210,0]",3,"[330,0,16]",,"[5,21]",[11],,可以切换套装或时装来预览
1179,,0,1,"[0,-326,0]",0,,,,,,"[120,-200,0]",1,"[-50,-50,16]",,"[5,21]",[11],,非时效套装或时装获得时即可叠加属性加成
2179,,0,1,"[-87,-265,0]",0,1,"[-389,-253,0]",,"[-389,-253,0]","[134,68,1]",,,"[-389,-253,2]","[-244,85,20]",,"[12,11]",,保存套装即可激活该套装外观
3179,,0,1,"[415,-206,0]",1,1,"[554,123,0]",,"[554,123,0]","[134,68,1]",,,"[546,112,2]",,,"[12,11]",,还有炫酷的时装配饰可以随意搭配
4179,"[176,177,178,179,1179,2179,3179,4179]",0,1,"[329,-145,0]",0,,,,,,"[37,-77,0]",1,"[-231,-22,20]",,"[5,21]",[11],,时装可以通过活动或钻石直接购买
5179,[5179],0,0,"[470,290,0]",1,1,"[595,319,0]",,"[595,319,0]","[78,78,1]",,,,,"[22,37]",[12],,点击关闭
#100014,,,,,,,,,,,,,,,,,,
181,,5,1,"[-245,129,0]",1,1,"[-175,0,0]",,"[-175,0,0]","[90,90,1]",,,"[-175,0,2]",,[7],"[12,11]",,点击任务按钮
182,,0,1,"[-170,190,0]",0,1,"[-378,315,0]",,"[-378,315,0]","[185,80,1]",,,"[-378,315,2]",,,"[12,11]",,点击剧情分页
183,,0,1,"[-300,-50,0]",1,,,,,,"[-170,40,0]",2,"[0,-30,25]",,"[5,21]",[11],,剧情宝物有丰厚的加成哦
184,"[181,182,183,184]",0,0,"[410,-295,0]",0,1,"[388,-200,0]",,"[388,-200,0]","[200,70,1]",,,,,,"[12,11]",,点击领取奖励
185,[185],0,0,"[470,290,0]",1,1,"[595,319,0]",,"[595,319,0]","[78,78,1]",,,,,"[22,37]",[12],,点击关闭
#签到指引,,,,,,,,,,,,,,,,,,
190,,3,1,"[-270,-170,0]",0,1,"[-277,-50,0]",,"[-277,-50,0]","[110,110,1]",,,"[-277,-50,2]",,[8],"[12,11]",,点击每日必做
191,,0,1,"[-320,-200,0]",0,1,"[-320,-35,0]",,"[-320,-35,0]","[180,220,1]",,,"[-320,-35,2]",,,"[12,11]",,每日签到可获得丰厚奖励
192,"[190,191,192]",0,1,"[-10,-185,0]",0,1,"[-100,-279,0]",,"[-100,-279,0]","[120,68,1]",,,"[-336,150,2]","[-100,-279,2]",,"[12,11]",,点击领取按钮签到就会获得奖励
193,,0,1,"[-151,14,0]",1,,,,"[-190,184,0]","[110,110,1]","[-288,151,0]",2,"[-190,184,3]",,"[5,21]",[11],,明天登陆签到就能领到288钻石，vip双倍！！！
194,"[193,194]",0,1,"[255,293,0]",1,1,"[427,297,0]",,"[427,297,0]","[78,78,1]",,,"[427,297,2]",,,"[12,11]",,点击关闭
#星魂任务,,,,,,,,,,,,,,,,,,
195,,3,1,"[-270,-170,0]",0,1,"[-277,-50,0]",,"[-277,-50,0]","[110,110,1]",,,"[-277,-50,2]",,[8],"[12,11]",,点击每日必做
196,,0,1,"[114,-200,0]",0,1,"[100,-35,0]",,"[100,-35,0]","[180,220,1]",,,"[100,-35,2]",,,"[12,11]",,星魂可用来兑换稀有物品
197,,0,1,"[340,180,0]",1,,,,,,"[280,256,0]",2,"[408,220,3]",,"[5,21]",[11],,完成星魂任务或进行钻石召唤可获得星魂值
198,,0,1,"[-320,230,0]",1,,,,,,"[-520,0,0]",2,"[-230,0,10]",,"[5,21]",[11],,星魂可兑换极品神灵哦
199,"[195,196,197,198,199]",0,1,"[0,250,0]",0,,,,,,"[-330,230,0]",1,"[-400,252,3]",,"[5,21]",[11],,兑换奖励的时限为7天，抓紧时间哦
200,[200],0,0,"[370,300,0]",1,1,"[518,300,0]",,"[518,300,0]","[78,78,1]",,,,,"[22,37]",[12],,点击关闭
#守护神开放,,,,,,,,,,,,,,,,,,
201,,5,1,"[-150,-130,0]",1,1,"[-56,0,0]",,"[-56,0,0]","[90,90,1]",,,"[-56,0,2]",,[7],"[12,11]",,点击守护神
202,,0,1,"[100,-60,0]",0,1,"[108,56,0]",,"[108,56,0]","[110,110,1]",,,"[108,56,2]",,,"[12,11]",,选个主神上阵吧
203,"[201,202,203]",0,1,"[-175,-268,0]",0,1,"[-417,-261,0]",,"[-417,-261,0]","[146,76,1]","[-590,0,0]",2,"[98,80,4]","[-400,0,16]",,"[12,11]",,就选它吧
204,,0,1,"[470,200,0]",1,1,"[554,300,0]",,"[554,300,0]","[78,78,1]",,,"[554,300,2]",,,"[12,11]",,返回守护神界面
205,,0,1,"[-40,-170,0]",0,,,,,,"[-298,-128,0]",0,"[-298,-160,2]",,"[5,21]",[11],,看，战斗力提升了吧
206,,0,1,"[470,290,0]",1,1,"[595,319,0]",,"[595,319,0]","[78,78,1]",,,"[595,319,2]",,,"[12,11]",,点击关闭
207,"[204,205,206,207]",0,1,"[-120,-200,0]",0,,,,,,"[-150,-130,0]",3,"[-150,0,18]",,"[38,5,21]",[11],,哇哦！你的身边有只调皮的精灵哟！
#神灵开放,,,,,,,,,,,,,,,,,,
211,,5,1,"[-200,-130,0]",1,1,"[-56,-127,0]",,"[-56,-127,0]","[90,90,1]",,,"[-60,-135,2]",,"[7,44]","[12,11]",,点击圣坛
212,"[211,212]",0,1,"[338,-325,0]",0,1,"[364,-249,0]",,"[364,-249,0]","[378,70,1]",,,"[364,-249,2]",,,"[12,11]",,神圣召唤能召唤出强力神灵
213,[213],0,1,"[-94,-253,0]",0,1,"[-418,-240,0]",,"[-418,-240,0]","[190,70,1]",,,"[-418,-240,2]",,,"[12,11]",,我们赶快去看看刚招出来的神灵吧
214,[213],0,1,"[100,-60,0]",0,1,"[108,56,0]",,"[108,56,0]","[110,110,1]",,,"[108,56,2]",,,"[12,11]",,点击查看新神灵
215,,0,1,"[110,-80,0]",0,1,"[98,80,0]",,"[98,80,0]","[180,180,1]",,,"[98,80,4]",,,"[12,11]",,点击查看
216,"[214,215,216]",0,1,"[-175,-268,0]",0,1,"[-417,-261,0]",,"[-417,-261,0]","[146,76,1]","[-590,0,0]",2,"[98,80,4]","[-400,0,16]",,"[12,11]",,好强，就选它了
217,,0,1,"[470,200,0]",1,1,"[554,300,0]",,"[554,300,0]","[78,78,1]",,,"[554,300,2]",,,"[12,11]",,返回守护神界面
218,,0,1,"[-40,-170,0]",0,,,,,,"[-298,-128,0]",0,"[-298,-160,2]",,"[5,21]",[11],,看，战斗力提升了吧
219,"[217,218,219]",0,1,"[470,290,0]",1,1,"[595,319,0]",,"[595,319,0]","[78,78,1]",,,"[595,319,2]",,,"[12,11]",,点击关闭
#100207进行中,,,,,,,,,,,,,,,,,,
221,,0,1,"[-450,36,0]",0,1,"[-530,-165,0]",,"[-530,-165,0]","[110,75,1]",,,"[-530,-165,2]",,,"[12,11]",,通关普通可挑战困难
222,"[221,222]",0,1,"[123,-205,0]",1,1,"[441,-268,0]",,"[441,-268,0]","[198,68,1]",,,"[441,-268,3]",,,"[12,11]",[14],点击挑战进入战斗
#每日必做指引,,,,,,,,,,,,,,,,,,
231,,3,1,"[-270,-170,0]",0,1,"[-277,-50,0]",,"[-277,-50,0]","[110,110,1]",,,"[-277,-50,2]",,[8],"[12,11]",,点击每日必做
232,,0,1,"[-110,-200,0]",0,1,"[-110,-35,0]",,"[-110,-35,0]","[180,220,1]",,,"[-110,-35,2]",,,"[12,11]",,在这里你可获得丰富经验和召唤点
233,,0,1,"[340,20,0]",0,1,"[325,162,0]",,"[325,162,0]","[138,70,1]",,,"[325,162,2]",,,"[12,11]",,领取经验和召唤点
234,"[231,232,233,234]",0,1,"[340,20,0]",0,1,"[325,162,0]",,"[325,162,0]","[138,70,1]",,,"[325,162,2]",,,"[12,11]",,还有一个可领取
235,[235],0,1,"[120,20,0]",0,1,"[120,136,0]",,"[120,136,0]","[95,50,1]",,,"[120,136,2]",,,"[12,11]",,快速去到圣坛召唤吧
236,[236],0,1,"[238,-330,0]",0,1,"[55,-254,0]",,"[55,-254,0]","[190,70,1]",,,"[55,-254,2]",,,"[12,11]",,进行多次召唤吧
237,,0,1,"[-378,170,0]",0,1,"[-378,318,0]",,"[-378,318,0]","[185,90,1]",,,"[-378,318,2]",,,"[12,11]",,用较弱的神灵来融合提升主神等级
238,,0,1,"[100,-60,0]",0,1,"[117,90,0]",,"[117,90,0]","[110,110,1]","[-366,162,0]",1,"[117,90,2]","[-300,0,10]",[39],"[12,11]",,请选择主神
239,,0,1,"[-308,-234,0]",0,1,"[-403,-57,0]",,"[-403,-57,0]","[44,48,1]",,,"[393,-13,10]","[-295,-105,5]",[39],"[12,11]",,勾选蓝色以下神灵
240,"[237,238,239,240]",0,0,"[-50,-250,0]",0,1,"[-295,-250,0]",,"[-295,-250,0]","[200,75,1]",,,,,,"[12,11]",,点击进行融合
241,[241],0,0,"[470,290,0]",1,1,"[595,319,0]",,"[595,319,0]","[78,78,1]",,,,,"[22,37]",[12],,点击关闭
#100211(体验vip-自动打开界面),,,,,,,,,,,,,,,,,,
251,[251],0,1,"[0,-160,0]",0,1,"[0,-250,0]",,"[0,-250,0]","[200,75,1]",,,"[0,-250,2]",,,"[12,11]",,立即领取体验效果
#开放vip体验功能,,,,,,,,,,,,,,,,,,
261,[251],5,1,"[-150,-130,0]",1,1,"[-56,0,0]",,"[-56,0,0]","[90,90,1]",,,"[-56,0,2]",,[7],"[12,11]",,点击守护神
262,,0,1,"[-380,170,0]",0,1,"[-380,318,0]",,"[-380,318,0]","[185,90,1]",,,"[-380,318,2]",,,"[12,11]",,点击培训分栏
263,,0,0,"[400,-180,0]",1,1,"[491,-115,0]",,"[491,-115,0]","[75,75,1]",,,,,,"[12,11]",,1个时光匙可以减少30分钟
264,,0,1,"[236,-316,0]",1,1,"[416,-229,0]",,"[416,-229,0]","[200,75,1]",,,"[416,-229,2]",,,"[12,11]",,领取双倍培训经验
265,"[261,262,263,264,265]",0,1,"[-30,-168,0]",0,1,"[-120,-65,0]",,"[-120,-65,0]","[200,75,1]",,,"[0,0,16]",,,"[12,11]",,点击确认
266,[266],0,0,"[470,290,0]",1,1,"[595,319,0]",,"[595,319,0]","[78,78,1]",,,,,"[22,37]",[12],,点击关闭
#100212,,,,,,,,,,,,,,,,,,
271,,5,1,"[-350,242,0]",1,1,"[-175,245,0]",,"[-175,245,0]","[90,90,1]",,,"[-175,245,2]",,[7],"[12,11]",,点击装备按钮
272,,0,1,"[-330,170,0]",0,1,"[-380,318,0]",,"[-380,318,0]","[185,90,1]",,,"[-380,318,2]",,,"[12,11]",,点击锻造分栏
274,,0,1,"[-207,-190,0]",0,1,"[-246,-265,0]",,"[-246,-265,0]","[205,70,1]",,,"[-241,-253,18]",,,"[12,11]",,锻造需要有对应的图纸
276,,0,1,"[-370,-260,0]",1,1,"[-396,-178,0]",,"[-396,-178,0]","[150,55,1]",,,"[-396,-178,2]",,,"[12,11]",,点击查看图纸获得途径
277,,0,1,"[26,-190,0]",1,1,"[0,50,0]",,"[0,50,0]","[380,85,1]",,,"[0,50,10]",,,"[3,2,40,20,12]",,途径还不少呢，选择第一个吧
#特殊指引历练+锻造武器--强制寻路,,,,,,,,,,,,,,,,,,
278,,0,1,"[80,-204,0]",1,1,"[172,-271,0]",,"[172,-271,0]","[205,70,1]",,,"[172,-271,10]",,"[14,1]","[12,11]",,VIP玩家可历练快速获得经验和图纸
279,"[271,272,274,276,277,278,279]",0,1,"[228,-159,0]",0,1,"[216,-18,0]",,"[216,-18,0]","[205,70,1]",,,"[216,-18,10]",,,"[12,11]",,进行历练
1279,,0,1,"[374,-171,0]",1,1,"[455,-18,0]",,,,,,"[455,-18,10]",,[21],"[31,11]",,已获得了图纸，点击空白地方关闭
2279,"[1279,2279]",0,0,"[470,290,0]",1,1,"[595,319,0]",,"[595,319,0]","[78,78,1]",,,,,"[22,37]",[12],,关闭界面
3279,"[3279,6279,7279]",0,1,"[-49,-265,0]",0,1,"[-246,-265,0]",,"[-246,-265,0]","[205,70,1]",,,"[-241,-253,18]",,,"[12,11]",,点击锻造
#此处可能断开--重新连接6279,,,,,,,,,,,,,,,,,,
4279,,0,1,"[-40,-191,0]",,,,,,,"[-233,-134,0]",3,"[-256,-43,17]",,"[5,21]",[11],,属性增强了不少啊
5279,"[4279,5279]",0,0,"[470,290,0]",1,1,"[595,319,0]",,"[595,319,0]","[78,78,1]",,,,,"[22,37]",[12],,点击关闭
6279,,5,1,"[-350,242,0]",1,1,"[-175,245,0]",,"[-175,245,0]","[90,90,1]",,,"[-175,245,2]",,[7],"[12,11]",,点击装备按钮
7279,,0,1,"[-330,170,0]",0,1,"[-380,318,0]",,"[-380,318,0]","[185,90,1]",,,"[-380,318,2]",,,"[12,11]",,点击锻造分栏
#排位赛,,,,,,,,,,,,,,,,,,
281,,3,1,"[-490,-202,0]",0,1,"[-489,-55,0]",,"[-489,-55,0]","[110,110,1]",,,"[-489,-50,2]",,[8],"[12,11]",,点击王者之路
282,,0,1,"[-99,-136,0]",0,1,"[-340,-42,0]",,"[-340,-42,0]","[215,300,1]",,,"[-340,4,5]",,,"[12,11]",,点击看看
283,,0,1,"[168,-250,0]",0,1,"[168,30,0]",,"[168,30,0]","[231,381,1]",,,"[168,30,9]",,,"[12,11]",,就选择这个作为对手吧
284,"[281,282,283,284]",0,1,"[37,-269,0]",0,1,"[1,-174,0]",,"[1,-174,0]","[200,72,1]",,,"[0,-174,16]",,,"[12,11]",,点击进行挑战
285,,0,1,"[-273,-40,0]",,,,,,,"[-416,16,0]",3,"[-416,30,3]",,"[5,21]",[11],,每次挑战需要间隔3分钟
286,"[285,286]",0,0,"[470,290,0]",1,1,"[595,319,0]",,"[595,319,0]","[78,78,1]",,,,,"[22,37]",[12],,点击关闭
#联盟,,,,,,,,,,,,,,,,,,
291,,5,1,"[-200,-245,0]",1,1,"[-56,-245,0]",,"[-56,-245,0]","[90,90,1]",,,"[-60,-245,2]",,[7],"[12,11]",,点击联盟
292,,0,1,"[-26,-100,0]",0,,,,,,"[313,118,0]",3,"[290,122,8]",,"[5,21]",[11],,选择好自己心仪的联盟在此进行申请
293,,0,1,"[238,-120,0]",0,,,,,,"[290,-240,0]",0,"[285,-209,8]",,"[5,21]",[11],,也可自己创建联盟成就霸业
294,"[291,292,293,294]",0,0,"[265,314,0]",1,1,"[425,325,0]",,"[425,325,0]","[78,78,1]",,,,,"[22,37]",[12],,点击关闭
#探险,,,,,,,,,,,,,,,,,,
300,,3,1,"[-406,-170,0]",0,1,"[-381,-50,0]",,"[-381,-50,0]","[110,110,1]",,,"[-381,-50,2]",,[8],"[12,11]",,你是否也像我一样喜欢冒险呢?
301,,0,1,"[-315,146,0]",0,,,,,,"[-370,30,0]",0,"[-200,-100,16]",,"[5,21]",[11],,丰富的宝藏等待您探寻，此处可展开
302,"[300,301,302]",0,1,"[-206,-343,0]",0,1,"[-416,-242,0]",,"[-416,-242,0]","[200,70,1]",,,"[-416,-242,5]",,,"[12,11]",,每日可免费探险5次，每次需要10分钟每次间隔
303,[303],0,0,"[426,314,0]",1,1,"[572,325,0]",,"[572,325,0]","[78,78,1]",,,,,"[22,37]",[12],,点击关闭
#首次加入或创建联盟,,,,,,,,,,,,,,,,,,
311,,0,1,"[-333,-105,0]",0,,,,,,"[-256,-11,0]",1,"[-333,76,10]",,"[5,21]",[11],,捐献可以直接获得贡献和增加联盟资金
312,"[311,312]",0,1,"[-99,-310,0]",0,1,"[-362,-310,0]",,"[-362,-310,0]","[200,70,1]",,,"[-362,-310,5]",,,"[12,11]",,查看下帮会的福利吧
313,,0,1,"[300,180,0]",0,,,,,,"[20,276,0]",0,"[0,0,25]",,"[5,21]",[11],,副盟主以上可提升建筑等级
314,,0,1,"[-310,-200,0]",0,1,"[-310,-50,0]",,"[-310,-50,0]","[200,200,1]",,,"[-310,-50,5]",,,"[12,11]",,建筑等级越高福利越多，进去看看吧
315,,0,1,"[-256,-110,0]",0,1,"[-412,40,0]",,"[-412,40,0]","[110,110,1]",,,"[-412,40,3]",,,"[12,11]",,联盟成员可在营寨共同完成任务，下滑还有任务哦
316,,0,1,"[-340,-239,0]",0,1,"[-412,-118,0]",,"[-412,-118,0]","[110,110,1]",,,"[-412,-118,3]",,,"[12,11]",,去祭坛祈祷能获得时效BUFF和贡献
317,"[313,314,315,316,317]",0,1,"[-18,-300,0]",1,1,"[392,-308,0]",,"[392,-308,0]","[200,70,1]",,,"[392,-308,5]","[150,-120,12]",,"[12,11]",,祈祷能获得贡献，还能获得时效buff
318,,0,1,"[-380,-248,0]",0,1,"[-412,-124,0]",,"[-412,-124,0]","[110,110,1]",,,"[-412,-124,5]",,,"[12,11]",,荣誉殿堂可提升联盟技能等级
319,"[318,319]",0,1,"[-150,-74,0]",0,,,,,,"[-75,12,0]",1,"[0,-30,25]",,"[5,21]",[11],,联盟技能升级需要消耗联盟贡献
#解封+10连抽100215,,,,,,,,,,,,,,,,,,
321,,5,1,"[-373,242,0]",1,1,"[-175,245,0]",,"[-175,245,0]","[90,90,1]",,,"[-175,245,2]",,[7],"[12,11]",,解封开启了，进去看看
322,,0,1,"[-190,170,0]",0,1,"[-205,318,0]",,"[-205,318,0]","[185,90,1]",,,"[-205,318,2]",,,"[12,11]",,点击进入解封
323,,0,1,"[-370,-288,0]",1,1,"[-396,-178,0]",,"[-396,-178,0]","[150,55,1]",,,"[-396,-178,2]",,,"[12,11]",,点击材料进入追踪界面
324,,0,1,"[26,-89,0]",1,1,"[0,50,0]",,"[0,50,0]","[380,85,1]",,,"[0,50,10]",,,"[41,12,11]",,点击直接进入神址探险
325,,0,1,"[-128,-341,0]",0,1,"[-183,-242,0]",,"[-183,-242,0]","[200,70,1]",,,"[-183,-242,5]",,,"[12,11]",,连续探险10次更容易获得好东西
326,"[321,322,323,324,325,326]",0,1,"[-30,-168,0]",0,1,"[-120,-65,0]",,"[-120,-65,0]","[200,75,1]",,,"[0,0,16]",,,"[12,11]",,此次探险10次免费哦！
327,,0,1,"[5,-1,0]",1,,,,,,"[191,28,0]",2,"[358,-55,12]",,"[5,21]",[11],,获得了解封珍贵道具
328,"[327,328]",0,0,"[403,293,0]",1,1,"[573,319,0]",,"[573,319,0]","[78,78,1]",,,,,"[22,37]",[12],,关闭返回解封界面
329,,0,1,"[-49,-265,0]",0,1,"[-246,-265,0]",,"[-246,-265,0]","[205,70,1]",,,"[-241,-253,18]",,,"[12,11]",,解封武器
330,"[329,330,334,335]",0,1,"[-30,-168,0]",0,1,"[-119,-43,0]",,"[-119,-43,0]","[200,75,1]",,,"[0,0,16]",,,"[12,11]",,点击确认
331,,0,1,"[-40,-191,0]",,,,,,,"[-233,-134,0]",3,"[-256,-43,17]",,"[5,21]",[11],,看属性强了很多
332,,0,0,"[470,290,0]",1,1,"[595,319,0]",,"[595,319,0]","[78,78,1]",,,,,"[22,37]",[12],,关闭界面
