id,thinkGap,skillGap,thinkHit,skillHit,walkRange,guardRange,escapeRange,followRange,holdRange,usual,byHit,byHp,byDist,enemyWeight,friendWeight,$desc,
402,2,3,0,0,12,30,30,11,10,"[0,1,2,3,4,5]",,,,"{""dist"":-10}","{""pdef"":-10,""hp"":-1,""hpmax"":-1}","小怪远程攻击AI，敌人选择物防低，HP少的,技能冷却时会逃跑",
403,2,3.5,0,0,12,30,30,11,10,"[0,1,2,3,4,5]",,,,"{""dist"":-10}","{""pdef"":-10,""hp"":-1,""hpmax"":-1}","小怪远程攻击AI，敌人选择物防低，HP少的,技能冷却时会逃跑",
404,2,3.5,0,-0.5,12,30,30,11,10,"[0,1,2,3,4,5]",,,,"{""dist"":-10}","{""pdef"":-10,""hp"":-1,""hpmax"":-1}","精英怪远程攻击AI，敌人选择物防低，HP少的,技能冷却时会逃跑",
405,0.3,3.5,0,0,12,60,60,11,10,"[0,1,2,3,4,5]",,,,"{""dist"":-10}","{""hp"":-1,""hpmax"":-1,""pdef"":-10}","远程奶妈AI，敌人选择物防低，HP少的,技能冷却时会逃跑",
406,0.3,3.5,0,0,0,60,60,7,1,[0],"{""6"":1}",,,"{""dist"":-10}","{""hp"":-1,""hpmax"":-1,""pdef"":-10}","远程辅助AI，敌人选择物防低，HP少的,技能冷却时会逃跑",
407,0.3,3.5,0,0,0,60,60,7,1,[0],,,,"{""dist"":-10}","{""hp"":-1,""hpmax"":10,""pdef"":10}","远程辅助AI，敌人选择物防低，HP少的,技能冷却时会逃跑",
408,0.1,3.5,0,0,0,60,60,7,1,[1],,,"{""-10"":0}","{""dist"":-10}","{""hp"":-1,""hpmax"":-1,""pdef"":-10}","远程辅助AI，敌人选择物防低，HP少的,技能冷却时会逃跑",
409,0.1,3,0,0,0,60,60,11,10,"[0,1]","{""6"":2}",,"{""5"":3}","{""dist"":-10}","{""pdef"":-10,""hp"":-1}",司琳娜公主辅助AI,
410,0.1,3,0,0,8,60,60,11,10,"[0,1]","{""6"":2}",,"{""5"":3}","{""dist"":-10}","{""pdef"":-10,""hp"":-1}",司琳娜公主辅助AI,
1001,0.1,4.5,0,0,6,30,30,5,1,"[0,2]","{""7"":1}","{""-0.6"":4}","{""5"":3,""-1"":0}","{""dist"":-10}","{""pdef"":-10,""hp"":-1}",Boss狼人AI,
1002,0.1,3.5,0,0,6,30,30,5,1,"[0,1]",,,"{""-5"":2}","{""hpmax"":1}","{""pdef"":-10,""hp"":-1}",Boss狼人魔化AI,
1003,0.1,1,0,0,6,30,30,15,0.5,"[0,1]",,,,"{""matk"":-10}","{""pdef"":-10,""hp"":-1}",魔龙的AI,
1004,0.1,5,0,-0.5,4,30,30,5,1,"[0,1,2,3]",,,,"{""dist"":-10}","{""pdef"":-10,""hp"":-1}",阿喀琉斯,
1005,2,5,0,0,4,30,30,5,1,"[0,2,3]","{""6"":1}",,,"{""dist"":-10}","{""pdef"":-10,""hp"":-1}",邪恶亡灵,
1006,0.1,4.5,0,0,6,30,30,5,1,[1],"{""6"":0}","{""-0.7"":2}",,"{""dist"":-10}","{""pdef"":-10,""hp"":-1}",司琳娜公主,
1007,0.1,4.5,0,-0.5,6,30,30,5,1,[0],"{""6"":1}","{""-0.5"":2}",,"{""dist"":-10}","{""pdef"":-10,""hp"":-1}",丧尸英雄王,
1008,0.1,5,0,0,6,30,30,5,1,[0],"{""6"":2}","{""-0.4"":1}",,"{""dist"":-10}","{""pdef"":-10,""hp"":-1}",黑巫族长,
1009,0.1,5,0,0,6,30,30,5,1,"[0,1]",,,"{""5"":2}","{""dist"":-10}","{""pdef"":-10,""hp"":-1}",帕特罗克罗斯,
1010,0.1,5,0,0,6,30,30,5,1,"[0,1]","{""6"":2}","{""-0.6"":3}",,"{""dist"":-10}","{""pdef"":-10,""hp"":-1}",阿伽门农,
1011,0.1,3,0,-0.5,6,30,30,5,1,"[0,1]","{""6"":2}",,,"{""dist"":-10}","{""pdef"":-10,""hp"":-1}",魔化丧尸英雄王,
1012,0.1,5,0,0,6,30,30,5,1,"[0,1]","{""6"":3}","{""-0.5"":2}",,"{""dist"":-10}","{""pdef"":-10,""hp"":-1}",魔蛛,
1013,0.1,3,0,0,6,30,30,5,1,"[0,1]","{""6"":2}",,,"{""dist"":-10}","{""pdef"":-10,""hp"":-1}",魔化魔蛛,
1014,0.1,3,0,0,6,30,30,5,1,"[0,1]","{""6"":2}",,,"{""dist"":-10}","{""pdef"":-10,""hp"":-1}",魔化阿伽门农,
1015,0.1,4,0,0,0,30,30,5,1,"[2,1]","{""8"":0}",,,"{""dist"":-10}","{""pdef"":-10,""hp"":-1}",沙虫专用AI，不能移动,
1016,0.1,5,0,-0.35,6,30,30,5,1,[1],"{""6"":0}","{""-0.5"":2}",,"{""dist"":-10}","{""pdef"":-10,""hp"":-1}",将军,
1017,0.1,4.5,0,0,6,30,30,5,1,"[0,1]","{""6"":2}","{""-0.6"":3}",,"{""dist"":-10}","{""pdef"":-10,""hp"":-1}",美狄亚,
1018,0.1,5,0,-0.25,6,30,30,5,1,"[0,1]","{""6"":2}",,,"{""dist"":-10}","{""pdef"":-10,""hp"":-1}",魔化美狄亚,
1019,0.1,4.5,0,0,6,30,30,5,1,"[0,1]","{""6"":2}","{""-0.6"":3}",,"{""dist"":-10}","{""pdef"":-10,""hp"":-1}",海伦,
1020,0.1,5,0,-0.25,6,30,30,5,1,"[0,1]","{""6"":2}",,,"{""dist"":-10}","{""pdef"":-10,""hp"":-1}",魔化海伦,
2001,0.1,4,0,0,12,50,50,11,10,"[0,1]","{""6"":2}",,,"{""dist"":-10}","{""pdef"":-10,""hp"":-1}",邪恶亡灵（试炼）,
2002,0.1,4,0,0,12,50,50,11,10,"[0,1]","{""6"":2}",,,"{""dist"":-10}","{""pdef"":-10,""hp"":-1}",魔化邪恶亡灵（试炼）,
2003,1,4,0,0,6,50,50,5,1,"[0,2]","{""7"":1}","{""-0.7"":4}","{""5"":3}","{""dist"":-10}","{""pdef"":-10,""hp"":-1}",芬里尔狼（试炼）,
2004,0.1,2.5,0,0,6,50,50,5,1,"[0,1]","{""7"":3}",,"{""5"":2}","{""hpmax"":1}","{""pdef"":-10,""hp"":-1}",魔化芬里尔狼（试炼）,
2005,0.1,6,0,-0.5,4,30,30,5,1,"[0,1]","{""7"":2}","{""-0.7"":3}",,"{""dist"":-10}","{""pdef"":-10,""hp"":-1}",阿喀琉斯,
2006,0.1,2.5,0,0,4,30,30,5,1,"[0,1]","{""7"":2}",,,"{""dist"":-10}","{""pdef"":-10,""hp"":-1}",阿喀琉斯,
2007,0.1,4,0,0,12,60,60,11,10,"[0,1]","{""6"":2}","{""-0.7"":3}",,"{""dist"":-10}","{""pdef"":-10,""hp"":-1}",司琳娜公主,
2008,0.1,3,0,0,12,60,60,11,10,"[0,1]","{""6"":2}",,"{""5"":3}","{""dist"":-10}","{""pdef"":-10,""hp"":-1}",司琳娜公主,
2009,0.1,6,0,-0.5,4,30,30,5,1,"[0,1]","{""7"":2}","{""-0.7"":3}",,"{""dist"":-10}","{""pdef"":-10,""hp"":-1}",阿喀琉斯,
2010,0.1,2.5,0,0,4,30,30,5,1,"[0,1]","{""7"":2}",,,"{""dist"":-10}","{""pdef"":-10,""hp"":-1}",阿喀琉斯,
2011,0.1,5,0,-0.25,6,30,30,5,1,"[0,1,2]","{""6"":2}",,"{""5"":2}","{""dist"":-10}","{""pdef"":-10,""hp"":-1}",希腊勇士,
1021,0.1,5,0,0,6,30,30,5,1,"[0,1]","{""6"":1}","{""-0.6"":2}",,"{""dist"":-10}","{""pdef"":-10,""hp"":-1}",美杜莎,
1022,0.1,4,0,-0.15,6,30,30,5,1,"[2,0]","{""6"":1}",,,"{""dist"":-10}","{""pdef"":-10,""hp"":-1}",魔化美杜莎,
