id,story1,type1,obj1,story2,type2,obj2,story3,type3,obj3,story4,type4,obj4,story5,type5,obj5,story6,type6,obj6,story7,type7,obj7,story8,type8,obj8,story9,type9,obj9,story10,type10,obj10,story11,type11,obj11,story12,type12,obj12,endRow
600011,这一招之后结束我们欢乐玩耍的时间吧，别怪我没有给你留下遗言的机会！,1,1501002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600012,不可能……你怎么还拥有混沌之神的究极力量！我……请饶恕我的不敬，卡俄斯大人！,1,1501002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200001,漆黑的夜幕降临，天火坠落在小镇外，墓地里回荡死灵的序曲，这一切，才真正开始。,2,100005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200002,总有一天你会全部明白，我的孩子。,2,100005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200003,擅闯城外森林时，先确保你的膝盖不会中箭。,2,100006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200004,在小时候，每次有怪声在敲打窗户时，母亲总捂住了我的眼睛。,2,100006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200005,这是一个好天气呢。,2,100007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200006,你身上弥漫着异世界神圣的气息，会是我们世界的人吗？,2,100007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200007,我们行走在黑夜里，邪恶，就是永恒追求的方向！,2,100008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200008,哈哈哈哈！你，害怕了吗？,2,100008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200009,嗨，今天不来喝一杯吗？,2,100009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200010,活着的人，才有创造奇迹的希望！,2,100009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200011,总觉得村里的阿卡玛斯是个奇怪的人呢，你时常和他一起吗？,2,100010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200012,莉莉娅昨晚向星夜女神许愿了，好像……不太灵验呢……,2,100010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200013,难道你要空手而归吗？,2,100011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200014,我能提供一切你想要的。,2,100011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200015,不要轻易暴露你的愚昧！,2,100012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200016,要回到昔日的辉煌，就得握紧手中的剑。,2,100012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200017,你的鲜血，就像玫瑰一样美丽。,2,100013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200018,我的刀刃在夜里快如闪光。,2,100013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200019,胜利女神的光环将伴你左右。,2,100014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200020,战场上首先死去的，往往是胆小的懦夫。,2,100014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200021,我的圣光为你照耀前方，我的主人。,2,100015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200022,嗯？需要我为你做点什么吗？,2,100015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#100000,第一章剧情对话,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100001,年轻人，你的面色可不太好。,2,100005,那个梦境……又侵袭到了我的梦里……,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100002,星辰的占卜果然没错，三年以来，神灵从没有停止对你的召唤。,2,100005,你身上所隐藏的秘密恐怕与梦境关联，谁也无法看到，星空的彼岸有什么等待着你。,2,100005,三年？,3,,没错，我的孩子，你来到阿里德尔小镇已三年了。,2,100005,,,,,,,,,,,,,,,,,,,,,,,,,
100003,风精灵告诉我，镇子外的祭坛遗迹三年来一直传达着特殊波动，与你散发的极为相似。,2,100005,也许它能揭开你身世，可惜，浓密的黑雾悄然卷进镇外，阻隔了道路，迫切需要你来调查。,2,100005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100004,按你的所见，躁动的狼群应是受某种邪恶力量所影响，与黑雾脱不开关系。,2,100005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#100005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100006,如果任由黑雾蔓延的话，镇子很快就会被狂暴的魔物围攻。,2,100005,为什么黑雾对我毫无影响，请你告知我的过去。,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100007,我对你了解的并不多，孩子，三年前风雨肆虐的夜晚，你奄奄一息地躺在镇外的森林里。,2,100005,那时，是莉莉娅将脏乱不堪的你带回了阿里德尔。,2,100005,我的妹妹莉莉娅？她不是……？,3,,她一家死于希腊人的战争中，感谢神灵，是你为她带来了生存下来的希望。,2,100005,,,,,,,,,,,,,,,,,,,,,,,,,
#100008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100009,我现在应该怎么做？,3,,特殊的魔法阵可以探测邪恶力量的源头。,2,100005,为了保护莉莉娅与镇子，你可以从乱石荒野的哥布林手里，抢回完成阵法的材料水晶之痕。,2,100005,荒野的哥布林蛮横凶悍，查尔为你准备了一件礼物，出发前去拜访这位有名的铁匠。,2,100005,,,,,,,,,,,,,,,,,,,,,,,,,
100010,你终于来了，我等候已久，锋锐的武器往往是决定胜负的关键。,2,100006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100011,收下它，这是我送给你的礼物。,2,100006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100012,用它对付荒野里的亡灵可是绰绰有余，哼，把属于我们的东西都夺回来。,2,100006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100013,我比任何人都要深爱这个小镇。,2,100005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100014,镇外的暗黑力量让我想到一个古老的故事。遥远的神话时代，诸神眷顾着人类的同时操纵人类命运。,2,100005,众神之主宙斯，为了控制世界的野心，利用潘多拉将邪恶的原罪带给了人类，令世界陷入了灾难。,2,100005,邪恶侵蚀人类的心灵，染满鲜血的劫难揭开，黑雾弥漫在奥林匹斯山，神祗也互相杀戮。,2,100005,世界将要终结时，天空迎来七色圣光。混沌之神将罪恶封印入圣杯，世界恢复了短暂的和平。,2,100005,短暂？,3,,是的，我十分忧心，镇子外袭来的恐怕是暗黑圣杯的力量。,2,100005,,,,,,,,,,,,,,,,,,,
100015,黑魔法的探测术只有斯拉通晓，那个女人脾气暴躁无常，我可不愿意应付她。,2,100005,你去找她吧，恐怕你是她唯一在世界上和善对待的人。,2,100005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100016,这是水晶之痕？我早已预料到你会有来找我的一天。,2,100007,我希望借助你的黑魔法知道镇外邪恶力量的源头。,3,,嗯，请稍等……嘿……果然这样。,2,100007,暗黑圣杯是否出现了？,3,,是的，它已经从封印中觉醒，流落到大陆各地，引发新的劫难。,2,100007,众神之主宙斯不阻止它？,3,,,,,,,,,,,,,,,,,,,,
100017,宙斯，对于信仰黑夜的我们是个愚昧的神祗，他创造的潘多拉引发了人类的邪恶欲望，爆发暗黑末世。,2,100007,阿卡玛斯说过制作暗黑圣杯的不知名神祗呢……？,3,,它是个伟大的神祗，暗黑圣杯的主人，承担了世间所有的罪恶……不过，现在圣杯的封印已被破除。,2,100007,可以听到吗？血色之夜的序曲已经奏响。,2,100007,,,,,,,,,,,,,,,,,,,,,,,,,
#100018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100019,镇子外邪恶力量的首领是谁？,3,,沉睡神祗的暗黑幻影，拥有超绝的智慧与力量，不容易对付。,2,100007,即使你有查尔送的武器，也必须凝聚它的星纹来发挥最大威力。,2,100007,星纹？,3,,在装备上镌刻星纹，可以精巧地改变装备的构造，从而更加强大，为了嘉许你的勇气，我可以送你一个。,2,100007,,,,,,,,,,,,,,,,,,,,,,
100020,如果已有不畏死亡的决心，那就出发吧！,2,100007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100021,很高兴你安然无恙地归来，可是，事情超乎我们的想象。,2,100007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#100022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100023,星盘上揭示，黑雾不但没有消散，还宛若海水般袭来，刚才我们杀的是只是一个幻影。,2,100007,我知道你的真正身份，不过，你现在不足以对付它，村外古老祭坛中沉睡的神祗，它可以帮助我们。,2,100007,镇外的沉睡神祗？,3,,它是第一次暗黑末世时沉睡在大地的诸神。祈求命运符合我的猜想，否则谁都无法逃避死亡的降临。,2,100007,怎样将她唤醒？,3,,维纳斯之心与它产生感应，忘记了吗，那是你的东西，在你妹妹莉莉娅身上，交给希娜询问办法。,2,100007,,,,,,,,,,,,,,,,,,,
100024,你回家了呢。小镇里的人最近都焦躁不安，外面的世界发生什么了吗？,2,100010,最近镇子外很危险，你一定不要外出。,3,,嘻嘻，知道啦。你这么早回家是为什么呢？我一个人在家里，也没有干坏事哦。,2,100010,那个……你有一个奇怪的蓝宝石吗？,3,,有呢，我一直带在身上，它本来是属于你的。,2,100010,,,,,,,,,,,,,,,,,,,,,,
100025,属于我的？,3,,嗯！三年前莉莉娅认识你的时候，你佩戴着它，阿卡玛斯说，这是神之凭证。,2,100010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100026,虽然很喜欢，但莉莉娅还给回你吧，可别弄丢了哦，这是我们相遇的纪念，希娜姐姐在等你呢。,2,100010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100027,这是维纳斯眼泪凝结的宝石？,2,100013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100028,它的美丽让人痴迷。,2,100013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#100029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100030,唤醒沉睡的主神来对付暗黑圣杯？斯拉这个疯女人，也许沉睡的是恶魔呢？,2,100013,啊哈哈，不过我很有兴趣。你需要在埋骨遗迹的邪恶巫师身上强行夺取召唤符文，适当加一点血腥作为余兴。,2,100013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100031,希望可以找到一头沉睡的恶魔。,2,100013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100032,干得不错。,2,100005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#100033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100034,受控制的黑狼群在镇外蠢蠢欲动，接下来，我们将前往上古祭坛进行召唤仪式。,2,100005,尽可能保护我的安全，我的生命悬挂在你舞动的刀刃上。,2,100005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100035,现在宝石的魔力还有点残缺，落叶之原的阳光可以让它暂时恢复部分魔力。,2,100013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100036,它恢复部分光泽了。,2,100013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100037,只要再往寂静古路汲取魔力，宝石就几乎可以与昔日媲美了。,2,100013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100038,可以了呢，不过，斯拉希望你利用它来做什么？,2,100013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100039,你到茂密丛林再次调查一趟，在这期间，我会尽力完成阵法。,2,100005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100040,可以了，只要凭借黑魔法，就可以追踪到奇怪力量的下落。,2,100005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600035,我感受到了一股黑暗的力量笼罩而来……小心！,1,5000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600036,沉睡的诸神……祈求……拯救你在危难中的子民……,1,5000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600037,阿卡玛斯！！！,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600038,久违的声音……混沌之神卡俄斯……我的主人……,1,5000003,你是谁？！,3,,一万年的遥远时光，已让你忘记了我的名字吗……我是……雅典娜……,1,5000003,奥林匹斯的智慧与战争女神，雅典娜？,3,,同时，我一直都是属于你的剑，我的主人……用你高贵的血统与我立下契约，以后，我将永远陪伴你左右。,1,5000003,,,,,,,,,,,,,,,,,,,,,,
600039,我将开始召唤仪式，请保护我免受魔物的侵扰。,1,5000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600040,可恶……这就是黑暗的力量吗？如果任由它扩散下去，镇子以及莉莉娅……大家都会……,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#600041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600042,你是圣杯的主人，曾为了结束暗黑末世，与圣杯共同封印在混沌中失去自由，沉睡了一万年。,1,5000003,既然这样，为什么暗黑圣杯会重新降临人间？,3,,宙斯违背了他和你的诺言，惹起了夜之女王尼克斯的怒火，她解封了圣杯，并让邪恶的劫火烧尽人间。,1,5000003,我和宙斯的诺言是？,3,,诸神不允许随意操纵人类的命运……宙斯违背了它，并付出极大的代价，对他的惩罚可以延缓，最重要的是……,1,5000003,找回圣杯碎片，太迟的话，世界会陷入无尽的黑夜。带来黎明是你的使命，我会作为守护你的圣剑，踏上征程。,1,5000003,,,,,,,,,,,,,,,,,,,
100043,别让那位大姐姐久等了呢。,2,100010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100044,你应该回去告别了，我会在镇子里等你，我的主人。,2,100015,不对！你现在的外貌进镇子会……,3,,呵……你在担心我吗？普通人是无法看到我的呢。,2,100015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100045,你要去哪儿吗？意思是……留下我一个人？你要和那位大姐姐离开吗？,2,100010,我可能会离开小镇一段时间，以后你或许要一个人生活了。,3,,你能看见……雅典娜？,3,,是呢，我看到了，那一位漂亮的大姐姐……嗯，如果你有非做不可的事，那就去完成吧。,2,100010,从我们相遇的第一天开始，我知道你是为了重要的事降临到这个世上的……以后，请为了莉莉娅回来……,2,100010,等一切结束之后，我会回来的。,3,,,,,,,,,,,,,,,,,,,,
100046,嗯！我等着你回来！,2,100010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100047,我们将踏上征程，去和重要的人告别吧。,2,100015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100048,普通人竟然可以感知我的存在，可真让人惊讶。,2,100015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100049,下一个暗黑圣杯的碎片在佩达斯，特洛伊战争与它的关系恐怕非比寻常。,2,100015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100050,启程吧，主人。,2,100015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#100051,开场剧情对话,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100052,这是盖亚所创造的黎明之门吗？雅典娜。,3,,是的，诸神通往人界的通道之一，第一次暗黑圣杯的劫难，使它暂时封闭起来。,2,100015,可惜呢，圣杯吞噬掉我的大部分力量，现在的我，恐怕只能勉强迈过黎明之门前往人界了。,3,,嗯……对于虚弱的你，作为代价，黎明之门会夺走你一切的记忆，真的要这样吗？卡俄斯主人。,2,100015,没有考虑的机会了，尼克斯很快就会让暗黑的力量遍布人间，黑夜永恒笼罩……我，是唯一可以带来黎明的希望。,3,,虽然我力量已经枯竭，依然会保护你到最后。,2,100015,,,,,,,,,,,,,,,,,,,
100053,主人，黎明之门已经到了。,2,100015,你的力量也耗尽了吧，雅典娜。,3,,想不到这些不起眼的魔物，对于虚弱的我们，成了最大的考验。,3,,没有关系，这扇门将通往名为阿里德尔的小镇，是你创造了大地之神盖亚，夜之女神尼克斯……她们的故乡。,2,100015,你回到人界后，应该会彻底忘记一切了，我……会在离你最近的地方沉睡，等待那么一天，你将一切记起。,2,100015,那个时候，我会继续成为你无坚不摧的圣剑。,2,100015,,,,,,,,,,,,,,,,,,,
100054,这是盖亚所创造的黎明之门吗？雅典娜。,3,,是的，诸神通往人界的通道之一，第一次暗黑圣杯的劫难，使它暂时封闭起来。,2,900015,可惜呢，圣杯吞噬掉我的大部分力量，现在的我，恐怕只能勉强迈过黎明之门前往人界了。,3,,嗯……对于虚弱的你，作为代价，黎明之门会夺走你一切的记忆，真的要这样吗？卡俄斯主人。,2,900015,没有考虑的机会了，尼克斯很快就会让暗黑的力量遍布人间，黑夜永恒笼罩……我，是唯一可以带来黎明的希望。,3,,虽然我力量已经枯竭，依然会保护你到最后。,2,900015,,,,,,,,,,,,,,,,,,,
100055,主人，黎明之门已经到了。,2,900016,你的力量也耗尽了吧，雅典娜。,3,,想不到这些不起眼的魔物，对于虚弱的我们，成了最大的考验。,3,,没有关系，这扇门将通往名为阿里德尔的小镇，是你创造了大地之神盖亚，夜之女神尼克斯……她们的故乡。,2,900016,你回到人界后，应该会彻底忘记一切了，我……会在离你最近的地方沉睡，等待那么一天，你将一切记起。,2,900016,那个时候，我会继续成为你无坚不摧的圣剑。,2,900016,,,,,,,,,,,,,,,,,,,
#100055, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100201,听见了吗？深夜时海上的人鱼在歌唱。,2,100201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100202,宁静的夜晚，海浪声时常伴随我入眠。,2,100201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100203,战争，对任何人来说，都是一场灾难。,2,100202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100204,你能猜到我在想什么吗？,2,100202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100205,愿幸运之神眷顾着你。,2,100203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100206,幸运之神在夜里变为流星，守护看到它的人。,2,100203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100207,发现了吗？这是一个特别的城邦，海上的暴雨很少降临这里。,2,100204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100208,即使居住了多年，还是难以习惯海边沙漠的气候。,2,100204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100209,我的孩子，你在为什么迷茫？,2,100205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100210,血红的月亮升起在夜色半空，亡灵从坟墓爬出，死寂的气息弥漫大地……,2,100205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100211,我们曾经也是特洛伊城的民族，是战争分离了我们。,2,100206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100212,当我还是个孩子的时候，首先学会了从战争中忍受悲伤。,2,100206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100213,你的双眼蕴含着睿智与果断。,2,100207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100214,欢迎来到古老的佩达斯城，尊敬的客人。,2,100207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100215,需要我为你提供什么吗？,2,100208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100216,华克罗那里有不错的东西，大陆的漂泊者，你可以去看看。,2,100208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100217,请你一定要相信，我所见都是真的，天啊，我可没疯。,2,100209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100218,我曾经误入城外漆黑的雾色里，看见英雄王法里同统御着他的死灵大军，但大家都认为我是一个疯子。,2,100209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100219,如果你希望得到更多，先保证你努力在正确的道路上。,2,100210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100220,贫穷、落后笼罩着这个城镇。,2,100210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100221,特洛伊城比我想象中的还要坚固，他们拥有高大的骏马和精良的武器。,2,100211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100222,每天我都会在祈祷正义与智慧的女神雅典娜，把愚昧的特洛伊人赶出去。,2,100211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100223,我曾经看神话记载，在遥远的过去，世界曾经被邪恶所覆盖。,2,100212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100224,当人类互相杀戮，神祗反叛的时候，混沌之神卡俄斯的出现拯救了世界。,2,100212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100225,小心你的脖子，它很快就不属于你。,2,100213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100226,一切为了希腊人的荣誉！,2,100213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100227,罪恶的镇魂曲已经奏响，你……还在迷茫？,2,100214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100228,世界所有罪恶的根源不是圣杯，而是人类的内心。,2,100214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100229,地下的世界，远比你想象中要复杂。,2,100215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100230,愿意跟我回去吗？可爱的孩子。,2,100215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100231,可以清晰的感觉到，曾经湮灭的力量，又降临到这片大地上。,2,100215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100232,天空黑暗的火球如同流星，纷纷坠落在神庙里，全部都消失吧……,2,100215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100233,智慧与战争女神雅典娜，是我的毕生信仰。,2,100216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100234,黎明破晓时，特洛伊将遍布希腊人的影子。,2,100216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100235,我的剑，为你染血，我的主人。,2,100217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100236,嗯？需要我为你做点什么吗？,2,100217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100237,可怜的欧罗巴，我原谅你犯下的错误，那是诸神所操纵的命运，我只希望你回来腓尼基。,2,100219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100238,我曾经看神话记载，在遥远的过去，世界曾经被邪恶所覆盖。,2,100424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#100239,第二章剧情对话,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100240,欢迎来到佩达斯城。,2,100217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100241,我闻到了久违的鲜血味道，死亡的阴影在笼罩在这座城镇，没有预想中的安宁呢。,2,100217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100243,特洛伊小王子帕里斯抢夺了斯巴达王后海伦，希腊人准备用锋利的剑来清洗他们的耻辱。,2,100217,历经了漫长的岁月，我对凡人的战争失去了兴趣，可是，黑暗中似乎有眼睛在窥视我们。,2,100217,它蠢蠢欲动，恐怕与暗黑圣杯脱不了关系，我们需要分开调查，在卫兵身上应该可以打听到什么。,2,100217,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100244,我们刚刚攻占这个城市，除了满嘴的风沙，根本掠夺不到任何好处！,2,100211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100245,你的气质不像佩达斯里的乡巴佬，不过，劝你尽早离开，战争的号角即将吹响。,2,100211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#100246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
