id,formulas,equip,feedback,res_type,res_value,m_count,m1,m_value1,m2,m_value2,m3,m_value3,m4,m_value4,
20004,,,,1,66000,1,1400100002,5,,,,,,,
20005,,,,1,68000,1,1400100002,5,,,,,,,
20006,,,,1,70000,1,1400100002,6,,,,,,,
20007,,,,1,72000,1,1400100002,6,,,,,,,
20008,,,,1,74000,1,1400100002,6,,,,,,,
20009,,,,1,76000,1,1400100002,6,,,,,,,
20010,,,,1,78000,1,1400100002,6,,,,,,,
20011,,,,1,80000,1,1400100002,7,,,,,,,
20012,,,,1,82000,1,1400100002,7,,,,,,,
20013,,,,1,84000,1,1400100002,7,,,,,,,
20014,,,,1,86000,1,1400100002,7,,,,,,,
20015,,,,1,88000,1,1400100002,7,,,,,,,
20016,,,,1,90000,1,1400100002,8,,,,,,,
20017,,,,1,92000,1,1400100002,8,,,,,,,
20018,,,,1,94000,1,1400100002,8,,,,,,,
20019,,,,1,96000,1,1400100002,8,,,,,,,
20020,,,,1,98000,1,1400100002,8,,,,,,,
20021,,,,1,100000,1,1400100002,9,,,,,,,
20022,,,,1,102000,1,1400100002,9,,,,,,,
20023,,,,1,104000,1,1400100002,9,,,,,,,
20024,,,,1,106000,1,1400100002,9,,,,,,,
20025,,,,1,108000,1,1400100002,9,,,,,,,
20026,,,,1,110000,1,1400100002,10,,,,,,,
20027,,,,1,112000,1,1400100002,10,,,,,,,
20028,,,,1,114000,1,1400100002,10,,,,,,,
20029,,,,1,116000,1,1400100002,10,,,,,,,
20030,,,,1,118000,1,1400100002,10,,,,,,,
20031,,,,1,120000,1,1400100002,11,,,,,,,
20032,,,,1,122000,1,1400100002,11,,,,,,,
20033,,,,1,124000,1,1400100002,11,,,,,,,
20034,,,,1,126000,1,1400100002,11,,,,,,,
20035,,,,1,128000,1,1400100002,11,,,,,,,
20036,,,,1,140000,1,1400100003,3,,,,,,,
20037,,,,1,142000,1,1400100003,3,,,,,,,
20038,,,,1,144000,1,1400100003,3,,,,,,,
20039,,,,1,146000,1,1400100003,3,,,,,,,
20040,,,,1,148000,1,1400100003,3,,,,,,,
20041,,,,1,180000,1,1400100003,4,,,,,,,
20042,,,,1,184000,1,1400100003,4,,,,,,,
20043,,,,1,188000,1,1400100003,4,,,,,,,
20044,,,,1,192000,1,1400100003,4,,,,,,,
20045,,,,1,196000,1,1400100003,4,,,,,,,
20046,,,,1,220000,1,1400100003,5,,,,,,,
20047,,,,1,230000,1,1400100003,5,,,,,,,
20048,,,,1,240000,1,1400100003,5,,,,,,,
20049,,,,1,250000,1,1400100003,5,,,,,,,
20050,,,,1,260000,1,1400100003,5,,,,,,,
20051,,,,1,280000,1,1400100003,6,,,,,,,
20052,,,,1,290000,1,1400100003,6,,,,,,,
20053,,,,1,300000,1,1400100003,6,,,,,,,
20054,,,,1,310000,1,1400100003,6,,,,,,,
20055,,,,1,320000,1,1400100003,6,,,,,,,
20056,,,,1,330000,1,1400100003,7,,,,,,,
20057,,,,1,340000,1,1400100003,7,,,,,,,
20058,,,,1,350000,1,1400100003,7,,,,,,,
20059,,,,1,360000,1,1400100003,7,,,,,,,
20060,,,,1,370000,1,1400100003,7,,,,,,,
20061,,,,1,380000,1,1400100003,9,,,,,,,
20062,,,,1,390000,1,1400100003,9,,,,,,,
20063,,,,1,400000,1,1400100003,9,,,,,,,
20064,,,,1,410000,1,1400100003,9,,,,,,,
20065,,,,1,420000,1,1400100003,9,,,,,,,
20066,,,,1,430000,1,1400100003,10,,,,,,,
20067,,,,1,440000,1,1400100003,10,,,,,,,
20068,,,,1,450000,1,1400100003,10,,,,,,,
20069,,,,1,460000,1,1400100003,10,,,,,,,
20070,,,,1,470000,1,1400100003,10,,,,,,,
40001,,,,1,2500,,,,,,,,,,
40002,,,,1,5000,,,,,,,,,,
40003,,,,1,10000,,,,,,,,,,
40004,,,,1,20000,,,,,,,,,,
40005,,,,1,40000,,,,,,,,,,
40006,,,,1,80000,,,,,,,,,,
1210200002,,,,1,5000,1,1210200001,4,,,,,,,
1210200003,,,,1,20000,1,1210200002,4,,,,,,,
1210200004,,,,1,50000,1,1210200003,4,,,,,,,
1210200005,,,,1,100000,1,1210200004,4,,,,,,,
1210200006,,,,1,200000,1,1210200005,4,,,,,,,
1210300002,,,,1,5000,1,1210300001,4,,,,,,,
1210300003,,,,1,20000,1,1210300002,4,,,,,,,
1210300004,,,,1,50000,1,1210300003,4,,,,,,,
1210300005,,,,1,100000,1,1210300004,4,,,,,,,
1210300006,,,,1,200000,1,1210300005,4,,,,,,,
1210500002,,,,1,5000,1,1210500001,4,,,,,,,
1210500003,,,,1,20000,1,1210500002,4,,,,,,,
1210500004,,,,1,50000,1,1210500003,4,,,,,,,
1210500005,,,,1,100000,1,1210500004,4,,,,,,,
1210500006,,,,1,200000,1,1210500005,4,,,,,,,
1210700002,,,,1,5000,1,1210700001,4,,,,,,,
1210700003,,,,1,20000,1,1210700002,4,,,,,,,
1210700004,,,,1,50000,1,1210700003,4,,,,,,,
1210700005,,,,1,100000,1,1210700004,4,,,,,,,
1210700006,,,,1,200000,1,1210700005,4,,,,,,,
1210900002,,,,1,5000,1,1210900001,4,,,,,,,
1210900003,,,,1,20000,1,1210900002,4,,,,,,,
1210900004,,,,1,50000,1,1210900003,4,,,,,,,
1210900005,,,,1,100000,1,1210900004,4,,,,,,,
1210900006,,,,1,200000,1,1210900005,4,,,,,,,
1220100002,,,,1,5000,1,1220100001,4,,,,,,,
1220100003,,,,1,20000,1,1220100002,4,,,,,,,
1220100004,,,,1,50000,1,1220100003,4,,,,,,,
1220100005,,,,1,100000,1,1220100004,4,,,,,,,
1220100006,,,,1,200000,1,1220100005,4,,,,,,,
1220400002,,,,1,5000,1,1220400001,4,,,,,,,
1220400003,,,,1,20000,1,1220400002,4,,,,,,,
1220400004,,,,1,50000,1,1220400003,4,,,,,,,
1220400005,,,,1,100000,1,1220400004,4,,,,,,,
1220400006,,,,1,200000,1,1220400005,4,,,,,,,
1220600002,,,,1,5000,1,1220600001,4,,,,,,,
1220600003,,,,1,20000,1,1220600002,4,,,,,,,
1220600004,,,,1,50000,1,1220600003,4,,,,,,,
1220600005,,,,1,100000,1,1220600004,4,,,,,,,
1220600006,,,,1,200000,1,1220600005,4,,,,,,,
1220800002,,,,1,5000,1,1220800001,4,,,,,,,
1220800003,,,,1,20000,1,1220800002,4,,,,,,,
1220800004,,,,1,50000,1,1220800003,4,,,,,,,
1220800005,,,,1,100000,1,1220800004,4,,,,,,,
1220800006,,,,1,200000,1,1220800005,4,,,,,,,
1221000002,,,,1,5000,1,1221000001,4,,,,,,,
1221000003,,,,1,20000,1,1221000002,4,,,,,,,
1221000004,,,,1,50000,1,1221000003,4,,,,,,,
1221000005,,,,1,100000,1,1221000004,4,,,,,,,
1221000006,,,,1,200000,1,1221000005,4,,,,,,,
1400100002,,,,1,2000,1,1400100001,4,,,,,,,
1400100003,,,,1,10000,1,1400100002,4,,,,,,,
1400200001,,,,1,1000,1,1400200000,4,,,,,,,
1400200002,,,,1,5000,1,1400200001,4,,,,,,,
1400200003,,,,1,20000,1,1400200002,4,,,,,,,
1400300001,,,,1,1000,1,1400300000,4,,,,,,,
1400300002,,,,1,5000,1,1400300001,4,,,,,,,
1400300003,,,,1,20000,1,1400300002,4,,,,,,,
1400500001,,,,1,2000,1,1400500000,4,,,,,,,
1400500002,,,,1,10000,1,1400500001,4,,,,,,,
1400500003,,,,1,40000,1,1400500002,4,,,,,,,
1401100001,,,,1,4000,1,1401100000,4,,,,,,,
1401100002,,,,1,20000,1,1401100001,4,,,,,,,
1401100003,,,,1,80000,1,1401100002,4,,,,,,,
1401200001,,,,1,4000,1,1401200000,4,,,,,,,
1401200002,,,,1,20000,1,1401200001,4,,,,,,,
1401200003,,,,1,80000,1,1401200002,4,,,,,,,
1403100002,,,,1,5000,1,1403100001,4,,,,,,,
1403100003,,,,1,20000,1,1403100002,4,,,,,,,
1403200002,,,,1,8000,1,1403200001,4,,,,,,,
1403200003,,,,1,30000,1,1403200002,4,,,,,,,
1403300002,,,,1,5000,1,1403300001,4,,,,,,,
1403300003,,,,1,20000,1,1403300002,4,,,,,,,
1403300004,,,,1,80000,1,1403300003,4,,,,,,,
60101,,,,1,10000,1,1403100001,1,,,,,,,
60102,,,,1,20000,2,1403100001,3,1403200001,1,,,,,
60103,,,,1,30000,2,1403100001,6,1403200001,3,,,,,
60104,,,,1,40000,2,1403100002,2,1403200001,6,,,,,
60105,,,,1,50000,2,1403100002,4,1403200002,3,,,,,
60106,,,,1,60000,2,1403100002,6,1403200002,5,,,,,
60107,,,,1,70000,2,1403100003,2,1403200002,8,,,,,
60108,,,,1,85000,2,1403100003,4,1403200003,4,,,,,
60109,,,,1,100000,2,1403100003,6,1403200003,8,,,,,
60201,,,,1,20000,1,1403100001,2,,,,,,,
60202,,,,1,40000,2,1403100001,6,1403200001,2,,,,,
60203,,,,1,60000,2,1403100001,12,1403200001,4,,,,,
60204,,,,1,80000,2,1403100002,4,1403200001,8,,,,,
60205,,,,1,100000,2,1403100002,8,1403200002,4,,,,,
60206,,,,1,120000,2,1403100002,12,1403200002,7,,,,,
60207,,,,1,140000,2,1403100003,4,1403200002,12,,,,,
60208,,,,1,170000,2,1403100003,8,1403200003,6,,,,,
60209,,,,1,200000,2,1403100003,12,1403200003,12,,,,,
60301,,,,1,30000,1,1403100001,3,,,,,,,
60302,,,,1,60000,2,1403100001,9,1403200001,2,,,,,
60303,,,,1,90000,2,1403100001,18,1403200001,5,,,,,
60304,,,,1,120000,2,1403100002,6,1403200001,10,,,,,
60305,,,,1,150000,2,1403100002,12,1403200002,5,,,,,
60306,,,,1,180000,2,1403100002,18,1403200002,9,,,,,
60307,,,,1,210000,2,1403100003,6,1403200002,16,,,,,
60308,,,,1,255000,2,1403100003,12,1403200003,8,,,,,
60309,,,,1,300000,2,1403100003,18,1403200003,16,,,,,
60401,,,,1,40000,1,1403100001,4,,,,,,,
60402,,,,1,80000,2,1403100001,12,1403200001,3,,,,,
60403,,,,1,120000,2,1403100001,24,1403200001,6,,,,,
60404,,,,1,160000,2,1403100002,8,1403200001,12,,,,,
60405,,,,1,200000,2,1403100002,16,1403200002,6,,,,,
60406,,,,1,240000,2,1403100002,24,1403200002,11,,,,,
60407,,,,1,280000,2,1403100003,8,1403200002,20,,,,,
60408,,,,1,340000,2,1403100003,16,1403200003,10,,,,,
60409,,,,1,400000,2,1403100003,24,1403200003,20,,,,,
60501,,,,1,50000,1,1403100001,5,,,,,,,
60502,,,,1,100000,2,1403100001,15,1403200001,3,,,,,
60503,,,,1,150000,2,1403100001,30,1403200001,7,,,,,
60504,,,,1,200000,2,1403100002,10,1403200001,14,,,,,
60505,,,,1,250000,2,1403100002,20,1403200002,7,,,,,
60506,,,,1,300000,2,1403100002,30,1403200002,13,,,,,
60507,,,,1,350000,2,1403100003,10,1403200002,24,,,,,
60508,,,,1,425000,2,1403100003,20,1403200003,12,,,,,
60509,,,,1,500000,2,1403100003,30,1403200003,24,,,,,
1601100001,,1101100003,,1,2000,2,1400400101,5,1400300001,1,,,,,
1602100001,,1102100003,,1,2000,2,1400400201,5,1400300001,1,,,,,
1603100001,,1103100003,,1,2000,2,1400400301,5,1400300001,1,,,,,
1604100001,,1104100003,,1,2000,2,1400400401,5,1400200001,1,,,,,
1605100001,,1105100003,,1,2000,2,1400400501,5,1400200001,1,,,,,
1606100001,,1106100003,,1,2000,2,1400400601,5,1400200001,1,,,,,
1601200001,,1101200003,,1,2000,2,1400400101,5,1400300001,1,,,,,
1602200001,,1102200003,,1,2000,2,1400400201,5,1400300001,1,,,,,
1603200001,,1103200003,,1,2000,2,1400400301,5,1400300001,1,,,,,
1604200001,,1104200003,,1,2000,2,1400400401,5,1400200001,1,,,,,
1605200001,,1105200003,,1,2000,2,1400400501,5,1400200001,1,,,,,
1606200001,,1106200003,,1,2000,2,1400400601,5,1400200001,1,,,,,
1601400001,,1101400003,,1,2000,2,1400400101,5,1400300001,1,,,,,
1602400001,,1102400003,,1,2000,2,1400400201,5,1400300001,1,,,,,
1603400001,,1103400003,,1,2000,2,1400400301,5,1400300001,1,,,,,
1604400001,,1104400003,,1,2000,2,1400400401,5,1400200001,1,,,,,
1605400001,,1105400003,,1,2000,2,1400400501,5,1400200001,1,,,,,
1606400001,,1106400003,,1,2000,2,1400400601,5,1400200001,1,,,,,
1601100003,,1101100004,,1,20000,2,1400300001,20,1400400102,10,,,,,
1602100003,,1102100004,,1,20000,2,1400300001,20,1400400202,10,,,,,
1603100003,,1103100004,,1,20000,2,1400300001,20,1400400302,10,,,,,
1604100003,,1104100004,,1,20000,2,1400200001,20,1400400402,10,,,,,
1605100003,,1105100004,,1,20000,2,1400200001,20,1400400502,10,,,,,
1606100003,,1106100004,,1,20000,2,1400200001,20,1400400602,10,,,,,
1601200003,,1101200004,,1,20000,2,1400300001,20,1400400102,10,,,,,
1602200003,,1102200004,,1,20000,2,1400300001,20,1400400202,10,,,,,
1603200003,,1103200004,,1,20000,2,1400300001,20,1400400302,10,,,,,
1604200003,,1104200004,,1,20000,2,1400200001,20,1400400402,10,,,,,
1605200003,,1105200004,,1,20000,2,1400200001,20,1400400502,10,,,,,
1606200003,,1106200004,,1,20000,2,1400200001,20,1400400602,10,,,,,
1601400003,,1101400004,,1,20000,2,1400300001,20,1400400102,10,,,,,
1602400003,,1102400004,,1,20000,2,1400300001,20,1400400202,10,,,,,
1603400003,,1103400004,,1,20000,2,1400300001,20,1400400302,10,,,,,
1604400003,,1104400004,,1,20000,2,1400200001,20,1400400402,10,,,,,
1605400003,,1105400004,,1,20000,2,1400200001,20,1400400502,10,,,,,
1606400003,,1106400004,,1,20000,2,1400200001,20,1400400602,10,,,,,
1601100005,,1101100006,,1,100000,2,1400300002,10,1400400103,15,,,,,
1602100005,,1102100006,,1,100000,2,1400300002,10,1400400203,15,,,,,
1603100005,,1103100006,,1,100000,2,1400300002,10,1400400303,15,,,,,
1604100005,,1104100006,,1,100000,2,1400200002,10,1400400403,15,,,,,
1605100005,,1105100006,,1,100000,2,1400200002,10,1400400503,15,,,,,
1606100005,,1106100006,,1,100000,2,1400200002,10,1400400603,15,,,,,
1601200005,,1101200006,,1,100000,2,1400300002,10,1400400103,15,,,,,
1602200005,,1102200006,,1,100000,2,1400300002,10,1400400203,15,,,,,
1603200005,,1103200006,,1,100000,2,1400300002,10,1400400303,15,,,,,
1604200005,,1104200006,,1,100000,2,1400200002,10,1400400403,15,,,,,
1605200005,,1105200006,,1,100000,2,1400200002,10,1400400503,15,,,,,
1606200005,,1106200006,,1,100000,2,1400200002,10,1400400603,15,,,,,
1601400005,,1101400006,,1,100000,2,1400300002,10,1400400103,15,,,,,
1602400005,,1102400006,,1,100000,2,1400300002,10,1400400203,15,,,,,
1603400005,,1103400006,,1,100000,2,1400300002,10,1400400303,15,,,,,
1604400005,,1104400006,,1,100000,2,1400200002,10,1400400403,15,,,,,
1605400005,,1105400006,,1,100000,2,1400200002,10,1400400503,15,,,,,
1606400005,,1106400006,,1,100000,2,1400200002,10,1400400603,15,,,,,
1601100006,,1101100007,,1,250000,2,1400300002,20,1400400104,20,,,,,
1602100006,,1102100007,,1,250000,2,1400300002,20,1400400204,20,,,,,
1603100006,,1103100007,,1,250000,2,1400300002,20,1400400304,20,,,,,
1604100006,,1104100007,,1,250000,2,1400200002,20,1400400404,20,,,,,
1605100006,,1105100007,,1,250000,2,1400200002,20,1400400504,20,,,,,
1606100006,,1106100007,,1,250000,2,1400200002,20,1400400604,20,,,,,
1601200006,,1101200007,,1,250000,2,1400300002,20,1400400104,20,,,,,
1602200006,,1102200007,,1,250000,2,1400300002,20,1400400204,20,,,,,
1603200006,,1103200007,,1,250000,2,1400300002,20,1400400304,20,,,,,
1604200006,,1104200007,,1,250000,2,1400200002,20,1400400404,20,,,,,
1605200006,,1105200007,,1,250000,2,1400200002,20,1400400504,20,,,,,
1606200006,,1106200007,,1,250000,2,1400200002,20,1400400604,20,,,,,
1601400006,,1101400007,,1,250000,2,1400300002,20,1400400104,20,,,,,
1602400006,,1102400007,,1,250000,2,1400300002,20,1400400204,20,,,,,
1603400006,,1103400007,,1,250000,2,1400300002,20,1400400304,20,,,,,
1604400006,,1104400007,,1,250000,2,1400200002,20,1400400404,20,,,,,
1605400006,,1105400007,,1,250000,2,1400200002,20,1400400504,20,,,,,
1606400006,,1106400007,,1,250000,2,1400200002,20,1400400604,20,,,,,
1601100007,,1101100008,,1,500000,2,1400300003,10,1400400105,25,,,,,
1602100007,,1102100008,,1,500000,2,1400300003,10,1400400205,25,,,,,
1603100007,,1103100008,,1,500000,2,1400300003,10,1400400305,25,,,,,
1604100007,,1104100008,,1,500000,2,1400200003,10,1400400405,25,,,,,
1605100007,,1105100008,,1,500000,2,1400200003,10,1400400505,25,,,,,
1606100007,,1106100008,,1,500000,2,1400200003,10,1400400605,25,,,,,
1601200007,,1101200008,,1,500000,2,1400300003,10,1400400105,25,,,,,
1602200007,,1102200008,,1,500000,2,1400300003,10,1400400205,25,,,,,
1603200007,,1103200008,,1,500000,2,1400300003,10,1400400305,25,,,,,
1604200007,,1104200008,,1,500000,2,1400200003,10,1400400405,25,,,,,
1605200007,,1105200008,,1,500000,2,1400200003,10,1400400505,25,,,,,
1606200007,,1106200008,,1,500000,2,1400200003,10,1400400605,25,,,,,
1601400007,,1101400008,,1,500000,2,1400300003,10,1400400105,25,,,,,
1602400007,,1102400008,,1,500000,2,1400300003,10,1400400205,25,,,,,
1603400007,,1103400008,,1,500000,2,1400300003,10,1400400305,25,,,,,
1604400007,,1104400008,,1,500000,2,1400200003,10,1400400405,25,,,,,
1605400007,,1105400008,,1,500000,2,1400200003,10,1400400505,25,,,,,
1606400007,,1106400008,,1,500000,2,1400200003,10,1400400605,25,,,,,
1601100008,,1101100014,,1,800000,2,1400300003,25,1400400106,30,,,,,
1602100008,,1102100014,,1,800000,2,1400300003,25,1400400206,30,,,,,
1603100008,,1103100014,,1,800000,2,1400300003,25,1400400306,30,,,,,
1604100008,,1104100014,,1,800000,2,1400200003,25,1400400406,30,,,,,
1605100008,,1105100014,,1,800000,2,1400200003,25,1400400506,30,,,,,
1606100008,,1106100014,,1,800000,2,1400200003,25,1400400606,30,,,,,
1601200008,,1101200014,,1,800000,2,1400300003,25,1400400106,30,,,,,
1602200008,,1102200014,,1,800000,2,1400300003,25,1400400206,30,,,,,
1603200008,,1103200014,,1,800000,2,1400300003,25,1400400306,30,,,,,
1604200008,,1104200014,,1,800000,2,1400200003,25,1400400406,30,,,,,
1605200008,,1105200014,,1,800000,2,1400200003,25,1400400506,30,,,,,
1606200008,,1106200014,,1,800000,2,1400200003,25,1400400606,30,,,,,
1601400008,,1101400014,,1,800000,2,1400300003,25,1400400106,30,,,,,
1602400008,,1102400014,,1,800000,2,1400300003,25,1400400206,30,,,,,
1603400008,,1103400014,,1,800000,2,1400300003,25,1400400306,30,,,,,
1604400008,,1104400014,,1,800000,2,1400200003,25,1400400406,30,,,,,
1605400008,,1105400014,,1,800000,2,1400200003,25,1400400506,30,,,,,
1606400008,,1106400014,,1,800000,2,1400200003,25,1400400606,30,,,,,
1601100009,,1101100010,,1,500000,2,1400300002,20,1400400104,20,,,,,
1602100009,,1102100010,,1,500000,2,1400300002,20,1400400204,20,,,,,
1603100009,,1103100010,,1,500000,2,1400300002,20,1400400304,20,,,,,
1604100009,,1104100010,,1,500000,2,1400200002,20,1400400404,20,,,,,
1605100009,,1105100010,,1,500000,2,1400200002,20,1400400504,20,,,,,
1606100009,,1106100010,,1,500000,2,1400200002,20,1400400604,20,,,,,
1601200009,,1101200010,,1,500000,2,1400300002,20,1400400104,20,,,,,
1602200009,,1102200010,,1,500000,2,1400300002,20,1400400204,20,,,,,
1603200009,,1103200010,,1,500000,2,1400300002,20,1400400304,20,,,,,
1604200009,,1104200010,,1,500000,2,1400200002,20,1400400404,20,,,,,
1605200009,,1105200010,,1,500000,2,1400200002,20,1400400504,20,,,,,
1606200009,,1106200010,,1,500000,2,1400200002,20,1400400604,20,,,,,
1601400009,,1101400010,,1,500000,2,1400300002,20,1400400104,20,,,,,
1602400009,,1102400010,,1,500000,2,1400300002,20,1400400204,20,,,,,
1603400009,,1103400010,,1,500000,2,1400300002,20,1400400304,20,,,,,
1604400009,,1104400010,,1,500000,2,1400200002,20,1400400404,20,,,,,
1605400009,,1105400010,,1,500000,2,1400200002,20,1400400504,20,,,,,
1606400009,,1106400010,,1,500000,2,1400200002,20,1400400604,20,,,,,
1601100010,,1101100011,,1,800000,2,1400300003,10,1400400105,25,,,,,
1602100010,,1102100011,,1,800000,2,1400300003,10,1400400205,25,,,,,
1603100010,,1103100011,,1,800000,2,1400300003,10,1400400305,25,,,,,
1604100010,,1104100011,,1,800000,2,1400200003,10,1400400405,25,,,,,
1605100010,,1105100011,,1,800000,2,1400200003,10,1400400505,25,,,,,
1606100010,,1106100011,,1,800000,2,1400200003,10,1400400605,25,,,,,
1601200010,,1101200011,,1,800000,2,1400300003,10,1400400105,25,,,,,
1602200010,,1102200011,,1,800000,2,1400300003,10,1400400205,25,,,,,
1603200010,,1103200011,,1,800000,2,1400300003,10,1400400305,25,,,,,
1604200010,,1104200011,,1,800000,2,1400200003,10,1400400405,25,,,,,
1605200010,,1105200011,,1,800000,2,1400200003,10,1400400505,25,,,,,
1606200010,,1106200011,,1,800000,2,1400200003,10,1400400605,25,,,,,
1601400010,,1101400011,,1,800000,2,1400300003,10,1400400105,25,,,,,
1602400010,,1102400011,,1,800000,2,1400300003,10,1400400205,25,,,,,
1603400010,,1103400011,,1,800000,2,1400300003,10,1400400305,25,,,,,
1604400010,,1104400011,,1,800000,2,1400200003,10,1400400405,25,,,,,
1605400010,,1105400011,,1,800000,2,1400200003,10,1400400505,25,,,,,
1606400010,,1106400011,,1,800000,2,1400200003,10,1400400605,25,,,,,
1601100011,,1101100015,,1,1200000,2,1400300003,25,1400400106,30,,,,,
1602100011,,1102100015,,1,1200000,2,1400300003,25,1400400206,30,,,,,
1603100011,,1103100015,,1,1200000,2,1400300003,25,1400400306,30,,,,,
1604100011,,1104100015,,1,1200000,2,1400200003,25,1400400406,30,,,,,
1605100011,,1105100015,,1,1200000,2,1400200003,25,1400400506,30,,,,,
1606100011,,1106100015,,1,1200000,2,1400200003,25,1400400606,30,,,,,
1601200011,,1101200015,,1,1200000,2,1400300003,25,1400400106,30,,,,,
1602200011,,1102200015,,1,1200000,2,1400300003,25,1400400206,30,,,,,
1603200011,,1103200015,,1,1200000,2,1400300003,25,1400400306,30,,,,,
1604200011,,1104200015,,1,1200000,2,1400200003,25,1400400406,30,,,,,
1605200011,,1105200015,,1,1200000,2,1400200003,25,1400400506,30,,,,,
1606200011,,1106200015,,1,1200000,2,1400200003,25,1400400606,30,,,,,
1601400011,,1101400015,,1,1200000,2,1400300003,25,1400400106,30,,,,,
1602400011,,1102400015,,1,1200000,2,1400300003,25,1400400206,30,,,,,
1603400011,,1103400015,,1,1200000,2,1400300003,25,1400400306,30,,,,,
1604400011,,1104400015,,1,1200000,2,1400200003,25,1400400406,30,,,,,
1605400011,,1105400015,,1,1200000,2,1400200003,25,1400400506,30,,,,,
1606400011,,1106400015,,1,1200000,2,1400200003,25,1400400606,30,,,,,
1601100012,,1101100013,,1,1200000,2,1400300003,10,1400400105,25,,,,,
1602100012,,1102100013,,1,1200000,2,1400300003,10,1400400205,25,,,,,
1603100012,,1103100013,,1,1200000,2,1400300003,10,1400400305,25,,,,,
