id,monster,reward_time,born_center,drop_id_com,pro_com,drop_id_elite,pro_elite,drop_id_boss,pro_boss,end
5000202,"[50002001,50002001,50002001,50002002,50002002,50002002,50002002,50002002,50002002,50002002,50002005]",0,"[{""x"":8.5,""z"":32.7,""r"":4},{""x"":17,""z"":26.9,""r"":4},{""x"":11.7,""z"":8.1,""r"":4},{""x"":10.9,""z"":16.4,""r"":4}]",[2110001],3000,[2120002],10000,[2130003],10000,
5000203,"[50002001,50002001,50002001,50002002,50002002,50002002,50002002,50002003,50002003,50002003,50002006]",0,"[{""x"":8.5,""z"":32.7,""r"":4},{""x"":17,""z"":26.9,""r"":4},{""x"":11.7,""z"":8.1,""r"":4},{""x"":10.9,""z"":16.4,""r"":4}]",[2110001],3000,[2120002],10000,[2130003],10000,
5000204,"[50002001,50002001,50002001,50002002,50002002,50002002,50002002,50002003,50002003,50002003,50002007]",0,"[{""x"":8.5,""z"":32.7,""r"":4},{""x"":17,""z"":26.9,""r"":4},{""x"":11.7,""z"":8.1,""r"":4},{""x"":10.9,""z"":16.4,""r"":4}]",[2110001],3000,[2120002],10000,[2130003],10000,
5000205,"[50002001,50002001,50002001,50002002,50002002,50002002,50002002,50002003,50002003,50002003,50002008]",0,"[{""x"":8.5,""z"":32.7,""r"":4},{""x"":17,""z"":26.9,""r"":4},{""x"":11.7,""z"":8.1,""r"":4},{""x"":10.9,""z"":16.4,""r"":4}]",[2110001],3000,[2120002],10000,[2130003],10000,
5000301,"[50003001,50003001,50003001,50003001,50003001,50003001,50003001,50003002,50003002,50003002,50003005]",0,"[{""x"":89.5,""z"":44.5,""r"":4},{""x"":90.5,""z"":32.5,""r"":4},{""x"":86.5,""z"":39.5,""r"":4},{""x"":84.5,""z"":31.5,""r"":4}]",[2110001],3000,[2120002],10000,[2130003],10000,
5000302,"[50003001,50003001,50003001,50003001,50003001,50003001,50003001,50003002,50003002,50003002,50003006]",0,"[{""x"":89.5,""z"":44.5,""r"":4},{""x"":90.5,""z"":32.5,""r"":4},{""x"":86.5,""z"":39.5,""r"":4},{""x"":84.5,""z"":31.5,""r"":4}]",[2110001],3000,[2120002],10000,[2130003],10000,
5000303,"[50003001,50003001,50003001,50003001,50003001,50003001,50003001,50003002,50003002,50003002,50003007]",0,"[{""x"":89.5,""z"":44.5,""r"":4},{""x"":90.5,""z"":32.5,""r"":4},{""x"":86.5,""z"":39.5,""r"":4},{""x"":84.5,""z"":31.5,""r"":4}]",[2110001],3000,[2120002],10000,[2130003],10000,
5000304,"[50003003,50003003,50003003,50003003,50003003,50003003,50003003,50003004,50003004,50003004,50003008]",0,"[{""x"":89.5,""z"":44.5,""r"":4},{""x"":90.5,""z"":32.5,""r"":4},{""x"":86.5,""z"":39.5,""r"":4},{""x"":84.5,""z"":31.5,""r"":4}]",[2110001],3000,[2120002],10000,[2130003],10000,
5000305,"[50003003,50003003,50003003,50003003,50003003,50003003,50003003,50003004,50003004,50003004,50003009]",0,"[{""x"":89.5,""z"":44.5,""r"":4},{""x"":90.5,""z"":32.5,""r"":4},{""x"":86.5,""z"":39.5,""r"":4},{""x"":84.5,""z"":31.5,""r"":4}]",[2110001],3000,[2120002],10000,[2130003],10000,
5000401,"[50004001,50004001,50004001,50004001,50004001,50004001,50004003,50004003,50004003,50004004]",0,"[{""x"":78,""z"":86,""r"":4},{""x"":84,""z"":93.4,""r"":4},{""x"":72.5,""z"":80.3,""r"":4},{""x"":85,""z"":80.4,""r"":4}]",[2210001],3000,[2220002],10000,[2230003],10000,
5000402,"[50004001,50004001,50004001,50004001,50004001,50004001,50004003,50004003,50004003,50004005]",0,"[{""x"":78,""z"":86,""r"":4},{""x"":84,""z"":93.4,""r"":4},{""x"":72.5,""z"":80.3,""r"":4},{""x"":85,""z"":80.4,""r"":4}]",[2210001],3000,[2220002],10000,[2230003],10000,
5000403,"[50004002,50004002,50004002,50004002,50004002,50004002,50004003,50004003,50004002,50004006]",0,"[{""x"":78,""z"":86,""r"":4},{""x"":84,""z"":93.4,""r"":4},{""x"":72.5,""z"":80.3,""r"":4},{""x"":85,""z"":80.4,""r"":4}]",[2210001],3000,[2220002],10000,[2230003],10000,
5000404,"[50004002,50004002,50004002,50004002,50004002,50004002,50004003,50004003,50004003,50004007]",0,"[{""x"":78,""z"":86,""r"":4},{""x"":84,""z"":93.4,""r"":4},{""x"":72.5,""z"":80.3,""r"":4},{""x"":85,""z"":80.4,""r"":4}]",[2210001],3000,[2220002],10000,[2230003],10000,
5000405,"[50004001,50004001,50004001,50004001,50004001,50004001,50004003,50004003,50004003,50004003,50004008]",0,"[{""x"":78,""z"":86,""r"":4},{""x"":84,""z"":93.4,""r"":4},{""x"":72.5,""z"":80.3,""r"":4},{""x"":85,""z"":80.4,""r"":4}]",[2210001],3000,[2220002],10000,[2230003],10000,
5000501,"[50005001,50005001,50005001,50005001,50005001,50005001,50005001,50005002,50005002,50005002,50005005]",0,"[{""x"":69.8,""z"":11.7,""r"":4},{""x"":61.3,""z"":21.8,""r"":4},{""x"":61,""z"":6,""r"":4}]",[2310001],3000,[2320002],10000,[2330003],10000,
5000502,"[50005001,50005001,50005001,50005001,50005001,50005001,50005001,50005002,50005002,50005002,50005006]",0,"[{""x"":69.8,""z"":11.7,""r"":4},{""x"":61.3,""z"":21.8,""r"":4},{""x"":61,""z"":6,""r"":4}]",[2310001],3000,[2320002],10000,[2330003],10000,
5000503,"[50005001,50005001,50005001,50005001,50005001,50005001,50005001,50005002,50005002,50005002,50005007]",0,"[{""x"":69.8,""z"":11.7,""r"":4},{""x"":61.3,""z"":21.8,""r"":4},{""x"":61,""z"":6,""r"":4}]",[2310001],3000,[2320002],10000,[2330003],10000,
5000504,"[50005003,50005003,50005003,50005003,50005003,50005003,50005003,50005004,50005004,50005004,50005008]",0,"[{""x"":69.8,""z"":11.7,""r"":4},{""x"":61.3,""z"":21.8,""r"":4},{""x"":61,""z"":6,""r"":4}]",[2310001],3000,[2320002],10000,[2330003],10000,
5000505,"[50005003,50005003,50005003,50005003,50005003,50005003,50005003,50005004,50005004,50005004,50005009]",0,"[{""x"":69.8,""z"":11.7,""r"":4},{""x"":61.3,""z"":21.8,""r"":4},{""x"":61,""z"":6,""r"":4}]",[2310001],3000,[2320002],10000,[2330003],10000,
5000601,"[50006001,50006001,50006001,50006001,50006001,50006001,50006001,50006002,50006002,50006002,50006005]",0,"[{""x"":64.4,""z"":75.8,""r"":3},{""x"":69,""z"":84.6,""r"":3},{""x"":82,""z"":82,""r"":3},{""x"":85.6,""z"":70.8,""r"":3}]",[2410001],3000,[2420002],10000,[2430003],10000,
5000602,"[50006001,50006001,50006001,50006001,50006001,50006001,50006001,50006002,50006002,50006002,50006006]",0,"[{""x"":64.4,""z"":75.8,""r"":3},{""x"":69,""z"":84.6,""r"":3},{""x"":82,""z"":82,""r"":3},{""x"":85.6,""z"":70.8,""r"":3}]",[2410001],3000,[2420002],10000,[2430003],10000,
5000603,"[50006001,50006001,50006001,50006001,50006001,50006001,50006001,50006002,50006002,50006002,50006007]",0,"[{""x"":64.4,""z"":75.8,""r"":3},{""x"":69,""z"":84.6,""r"":3},{""x"":82,""z"":82,""r"":3},{""x"":85.6,""z"":70.8,""r"":3}]",[2410001],3000,[2420002],10000,[2430003],10000,
5000604,"[50006003,50006003,50006003,50006003,50006003,50006003,50006003,50006004,50006004,50006004,50006008]",0,"[{""x"":64.4,""z"":75.8,""r"":3},{""x"":69,""z"":84.6,""r"":3},{""x"":82,""z"":82,""r"":3},{""x"":85.6,""z"":70.8,""r"":3}]",[2410001],3000,[2420002],10000,[2430003],10000,
5000605,"[50006003,50006003,50006003,50006003,50006003,50006003,50006003,50006004,50006004,50006004,50006009]",0,"[{""x"":64.4,""z"":75.8,""r"":3},{""x"":69,""z"":84.6,""r"":3},{""x"":82,""z"":82,""r"":3},{""x"":85.6,""z"":70.8,""r"":3}]",[2410001],3000,[2420002],10000,[2430003],10000,
5000701,"[50007001,50007001,50007001,50007001,50007001,50007001,50007001,50007002,50007002,50007002,50007005]",0,"[{""x"":30.5,""z"":94.5,""r"":3},{""x"":18.5,""z"":93.5,""r"":3},{""x"":16.5,""z"":81.5,""r"":3}]",[2510001],3000,[2520002],10000,[2530003],10000,
5000702,"[50007001,50007001,50007001,50007001,50007001,50007001,50007001,50007002,50007002,50007002,50007006]",0,"[{""x"":30.5,""z"":94.5,""r"":3},{""x"":18.5,""z"":93.5,""r"":3},{""x"":16.5,""z"":81.5,""r"":3}]",[2510001],3000,[2520002],10000,[2530003],10000,
5000703,"[50007001,50007001,50007001,50007001,50007001,50007001,50007001,50007002,50007002,50007002,50007007]",0,"[{""x"":30.5,""z"":94.5,""r"":3},{""x"":18.5,""z"":93.5,""r"":3},{""x"":16.5,""z"":81.5,""r"":3}]",[2510001],3000,[2520002],10000,[2530003],10000,
5000704,"[50007003,50007003,50007003,50007003,50007003,50007003,50007003,50007004,50007004,50007004,50007008]",0,"[{""x"":30.5,""z"":94.5,""r"":3},{""x"":18.5,""z"":93.5,""r"":3},{""x"":16.5,""z"":81.5,""r"":3}]",[2510001],3000,[2520002],10000,[2530003],10000,
5000705,"[50007003,50007003,50007003,50007003,50007003,50007003,50007003,50007004,50007004,50007004,50007009]",0,"[{""x"":30.5,""z"":94.5,""r"":3},{""x"":18.5,""z"":93.5,""r"":3},{""x"":16.5,""z"":81.5,""r"":3}]",[2510001],3000,[2520002],10000,[2530003],10000,
8000100,"[80001001,80001001,80001001,80001001,80001001,80001001,80001001,80001001,80001001,80001002]",0,"[{""x"":78,""z"":37.6,""r"":4},{""x"":89.6,""z"":34.5,""r"":4},{""x"":84.9,""z"":22.9,""r"":4}]",[800011],3000,[800012],10000,,,
8000200,"[80002001,80002001,80002001,80002001,80002001,80002001,80002001,80002001,80002001,80002002]",0,"[{""x"":8.5,""z"":32.7,""r"":4},{""x"":17,""z"":26.9,""r"":4},{""x"":11.7,""z"":8.1,""r"":4},{""x"":10.9,""z"":16.4,""r"":4}]",[800021],3000,[800022],10000,,,
8000300,"[80003001,80003001,80003001,80003001,80003001,80003001,80003001,80003001,80003001,80003002]",0,"[{""x"":78,""z"":86,""r"":4},{""x"":84,""z"":93.4,""r"":4},{""x"":72.5,""z"":80.3,""r"":4},{""x"":85,""z"":80.4,""r"":4}]",[800031],3000,[800032],10000,,,
8000400,"[80004001,80004001,80004001,80004001,80004001,80004001,80004001,80004001,80004001,80004002]",0,"[{""x"":69.8,""z"":11.7,""r"":4},{""x"":61.3,""z"":21.8,""r"":4},{""x"":61,""z"":6,""r"":4}]",[800041],3000,[800042],10000,,,
8001100,"[80011001,80011001,80011001,80011001,80011001,80011001,80011001,80011001,80011001,80011002]",0,"[{""x"":78,""z"":37.6,""r"":4},{""x"":89.6,""z"":34.5,""r"":4},{""x"":84.9,""z"":22.9,""r"":4}]",[800111],3500,[800112],10000,,,
8001200,"[80012001,80012001,80012001,80012001,80012001,80012001,80012001,80012001,80012001,80012002]",0,"[{""x"":8.5,""z"":32.7,""r"":4},{""x"":17,""z"":26.9,""r"":4},{""x"":11.7,""z"":8.1,""r"":4},{""x"":10.9,""z"":16.4,""r"":4}]",[800121],3500,[800122],10000,,,
8001300,"[80013001,80013001,80013001,80013001,80013001,80013001,80013001,80013001,80013001,80013002]",0,"[{""x"":78,""z"":86,""r"":4},{""x"":84,""z"":93.4,""r"":4},{""x"":72.5,""z"":80.3,""r"":4},{""x"":85,""z"":80.4,""r"":4}]",[800131],3500,[800132],10000,,,
8001400,"[80014001,80014001,80014001,80014001,80014001,80014001,80014001,80014001,80014001,80014002]",0,"[{""x"":69.8,""z"":11.7,""r"":4},{""x"":61.3,""z"":21.8,""r"":4},{""x"":61,""z"":6,""r"":4}]",[800141],3500,[800142],10000,,,
8002100,"[80021001,80021001,80021001,80021001,80021001,80021001,80021001,80021001,80021001,80021002]",0,"[{""x"":78,""z"":37.6,""r"":4},{""x"":89.6,""z"":34.5,""r"":4},{""x"":84.9,""z"":22.9,""r"":4}]",[800211],4000,[800212],10000,,,
8002200,"[80022001,80022001,80022001,80022001,80022001,80022001,80022001,80022001,80022001,80022002]",0,"[{""x"":8.5,""z"":32.7,""r"":4},{""x"":17,""z"":26.9,""r"":4},{""x"":11.7,""z"":8.1,""r"":4},{""x"":10.9,""z"":16.4,""r"":4}]",[800221],4000,[800222],10000,,,
8002300,"[80023001,80023001,80023001,80023001,80023001,80023001,80023001,80023001,80023001,80023002]",0,"[{""x"":78,""z"":86,""r"":4},{""x"":84,""z"":93.4,""r"":4},{""x"":72.5,""z"":80.3,""r"":4},{""x"":85,""z"":80.4,""r"":4}]",[800231],4000,[800232],10000,,,
8002400,"[80024001,80024001,80024001,80024001,80024001,80024001,80024001,80024001,80024001,80024002]",0,"[{""x"":69.8,""z"":11.7,""r"":4},{""x"":61.3,""z"":21.8,""r"":4},{""x"":61,""z"":6,""r"":4}]",[800241],4000,[800242],10000,,,
8003100,"[80031001,80031001,80031001,80031001,80031001,80031001,80031001,80031001,80031001,80031002]",0,"[{""x"":78,""z"":37.6,""r"":4},{""x"":89.6,""z"":34.5,""r"":4},{""x"":84.9,""z"":22.9,""r"":4}]",[800311],4000,[800312],10000,,,
8003200,"[80032001,80032001,80032001,80032001,80032001,80032001,80032001,80032001,80032001,80032002]",0,"[{""x"":8.5,""z"":32.7,""r"":4},{""x"":17,""z"":26.9,""r"":4},{""x"":11.7,""z"":8.1,""r"":4},{""x"":10.9,""z"":16.4,""r"":4}]",[800321],4000,[800322],10000,,,
8003300,"[80033001,80033001,80033001,80033001,80033001,80033001,80033001,80033001,80033001,80033002]",0,"[{""x"":78,""z"":86,""r"":4},{""x"":84,""z"":93.4,""r"":4},{""x"":72.5,""z"":80.3,""r"":4},{""x"":85,""z"":80.4,""r"":4}]",[800331],4000,[800332],10000,,,
8003400,"[80034001,80034001,80034001,80034001,80034001,80034001,80034001,80034001,80034001,80034002]",0,"[{""x"":69.8,""z"":11.7,""r"":4},{""x"":61.3,""z"":21.8,""r"":4},{""x"":61,""z"":6,""r"":4}]",[800341],4000,[800342],10000,,,
8004100,"[80041001,80041001,80041001,80041001,80041001,80041001,80041001,80041001,80041001,80041002]",0,"[{""x"":78,""z"":37.6,""r"":4},{""x"":89.6,""z"":34.5,""r"":4},{""x"":84.9,""z"":22.9,""r"":4}]",[800411],4000,[800412],10000,,,
8004200,"[80042001,80042001,80042001,80042001,80042001,80042001,80042001,80042001,80042001,80042002]",0,"[{""x"":8.5,""z"":32.7,""r"":4},{""x"":17,""z"":26.9,""r"":4},{""x"":11.7,""z"":8.1,""r"":4},{""x"":10.9,""z"":16.4,""r"":4}]",[800421],4000,[800422],10000,,,
8004300,"[80043001,80043001,80043001,80043001,80043001,80043001,80043001,80043001,80043001,80043002]",0,"[{""x"":78,""z"":86,""r"":4},{""x"":84,""z"":93.4,""r"":4},{""x"":72.5,""z"":80.3,""r"":4},{""x"":85,""z"":80.4,""r"":4}]",[800431],4000,[800432],10000,,,
8004400,"[80044001,80044001,80044001,80044001,80044001,80044001,80044001,80044001,80044001,80044002]",0,"[{""x"":69.8,""z"":11.7,""r"":4},{""x"":61.3,""z"":21.8,""r"":4},{""x"":61,""z"":6,""r"":4}]",[800441],4000,[800442],10000,,,
8005100,"[80051001,80051001,80051001,80051001,80051001,80051001,80051001,80051001,80051001,80051002]",0,"[{""x"":78,""z"":37.6,""r"":4},{""x"":89.6,""z"":34.5,""r"":4},{""x"":84.9,""z"":22.9,""r"":4}]",[800511],4000,[800512],10000,,,
8005200,"[80052001,80052001,80052001,80052001,80052001,80052001,80052001,80052001,80052001,80052002]",0,"[{""x"":8.5,""z"":32.7,""r"":4},{""x"":17,""z"":26.9,""r"":4},{""x"":11.7,""z"":8.1,""r"":4},{""x"":10.9,""z"":16.4,""r"":4}]",[800521],4000,[800522],10000,,,
8005300,"[80053001,80053001,80053001,80053001,80053001,80053001,80053001,80053001,80053001,80053002]",0,"[{""x"":78,""z"":86,""r"":4},{""x"":84,""z"":93.4,""r"":4},{""x"":72.5,""z"":80.3,""r"":4},{""x"":85,""z"":80.4,""r"":4}]",[800531],4000,[800532],10000,,,
8005400,"[80054001,80054001,80054001,80054001,80054001,80054001,80054001,80054001,80054001,80054002]",0,"[{""x"":69.8,""z"":11.7,""r"":4},{""x"":61.3,""z"":21.8,""r"":4},{""x"":61,""z"":6,""r"":4}]",[800541],4000,[800542],10000,,,
7000100,[70001001],0,"[{""x"":19,""z"":85,""r"":4}]",,,,,,,
7000200,[70002001],0,"[{""x"":8.8,""z"":82.1,""r"":4}]",,,,,,,
7000300,[70003001],0,"[{""x"":16.3,""z"":77,""r"":4}]",,,,,,,
7000400,[70004001],0,"[{""x"":19,""z"":85,""r"":4}]",,,,,,,
7000500,[70005001],0,"[{""x"":8.8,""z"":82.1,""r"":4}]",,,,,,,
7000600,[70006001],0,"[{""x"":16.3,""z"":77,""r"":4}]",,,,,,,
7000700,[70007001],0,"[{""x"":19,""z"":85,""r"":4}]",,,,,,,
7000800,[70008001],0,"[{""x"":8.8,""z"":82.1,""r"":4}]",,,,,,,
7000900,[70009001],0,"[{""x"":16.3,""z"":77,""r"":4}]",,,,,,,
7001000,[70010001],0,"[{""x"":19,""z"":85,""r"":4}]",,,,,,,
7001100,[70011001],0,"[{""x"":8.8,""z"":82.1,""r"":4}]",,,,,,,
7001200,[70012001],0,"[{""x"":16.3,""z"":77,""r"":4}]",,,,,,,
7001300,[70013001],0,"[{""x"":19,""z"":85,""r"":4}]",,,,,,,
7001400,[70014001],0,"[{""x"":8.8,""z"":82.1,""r"":4}]",,,,,,,
7001500,[70015001],0,"[{""x"":16.3,""z"":77,""r"":4}]",,,,,,,
1001001,"[1001001,1001001,1001001,1001001,1001001]",0,"[{""x"":15.9,""z"":23.3,""r"":3},{""x"":21.5,""z"":19.5,""r"":3}]",[1000010],3000,[1000030],10000,,,
1001002,"[1001001,1001001,1001001,1001001,1001001]",0,"[{""x"":15.9,""z"":23.3,""r"":3},{""x"":21.5,""z"":19.5,""r"":3}]",[1000010],3000,[1000030],10000,,,
1001003,"[1001001,1001001,1001001,1001001,1001001]",0,"[{""x"":18.5,""z"":54.5,""r"":3},{""x"":14.5,""z"":49.5,""r"":3}]",[1000010],3000,[1000030],10000,,,
1001004,"[1001001,1001001,1001001,1001001,1001001]",0,"[{""x"":18.5,""z"":54.5,""r"":3},{""x"":14.5,""z"":49.5,""r"":3}]",[1000010],3000,[1000030],10000,,,
1001005,"[1001001,1001001,1001001,1001001,1001001,1001001]",0,"[{""x"":18.5,""z"":54.5,""r"":3},{""x"":14.5,""z"":49.5,""r"":3}]",[1000010],3000,[1000030],10000,,,
1002001,"[1002001,1002002,1002001,1002001,1002002]",0,"[{""x"":21.5,""z"":88.5,""r"":3},{""x"":27.5,""z"":84.5,""r"":4}]",[1000010],3000,"[1000030,1000031]",10000,,,
1002002,"[1002001,1002002,1002001,1002001,1002002,1002002]",0,"[{""x"":6.5,""z"":82.5,""r"":4},{""x"":7.5,""z"":77.5,""r"":4}]",[1000010],3000,"[1000030,1000031]",10000,,,
1002003,"[1002001,1002002,1002001,1002001,1002001]",0,"[{""x"":29.5,""z"":91.5,""r"":4},{""x"":32.5,""z"":86.5,""r"":4}]",[1000010],3000,"[1000030,1000031]",10000,,,
1002004,"[1002001,1002002,1002001,1002001,1002002,1002002]",0,"[{""x"":32.5,""z"":68.5,""r"":3},{""x"":33.5,""z"":66,""r"":3}]",[1000010],3000,"[1000030,1000031]",10000,,,
1002005,"[1002002,1002001,1002002,1002001,1002002,1002003]",0,"[{""x"":49,""z"":61.5,""r"":4},{""x"":51,""z"":65,""r"":4}]",[1000010],3000,"[1000030,1000031]",10000,,,
1003001,"[1003001,1003001,1003001,1003001,1003001]",0,"[{""x"":58.5,""z"":40.5,""r"":3},{""x"":52.5,""z"":40.5,""r"":3}]",[1000010],3000,"[1000030,1000031]",10000,,,
1003002,"[1003001,1003001,1003001,1003001,1003001]",0,"[{""x"":60.5,""z"":50.5,""r"":3},{""x"":58.5,""z"":44.5,""r"":3}]",[1000010],3000,"[1000030,1000031]",10000,,,
1003003,"[1003001,1003001,1003001,1003001,1003001]",0,"[{""x"":20.5,""z"":53.5,""r"":3},{""x"":14.5,""z"":53.5,""r"":3}]",[1000010],3000,"[1000030,1000031]",10000,,,
1003004,"[1003001,1003001,1003001,1003001,1003001]",0,"[{""x"":22.5,""z"":36.5,""r"":3},{""x"":24.5,""z"":41.5,""r"":3}]",[1000010],3000,"[1000030,1000031]",10000,,,
1003005,"[1003001,1003001,1003001,1003001,1003001,1003002]",0,"[{""x"":22.5,""z"":36.5,""r"":3},{""x"":24.5,""z"":41.5,""r"":3}]",[1000010],3000,"[1000030,1000031]",10000,,,
1004001,"[1004001,1004001,1004002,1004002,1004002]",0,"[{""x"":13.5,""z"":53.5,""r"":3},{""x"":18.5,""z"":54.5,""r"":3},{""x"":17.5,""z"":50.5,""r"":3}]",[1000010],3000,"[1000030,1000031]",10000,,,
1004002,"[1004001,1004001,1004002,1004002,1004002]",0,"[{""x"":23.5,""z"":40.5,""r"":3},{""x"":25.5,""z"":42.5,""r"":3}]",[1000010],3000,"[1000030,1000031]",10000,,,
1004003,"[1004001,1004001,1004001,1004002,1004002]",0,"[{""x"":60.5,""z"":42.5,""r"":3},{""x"":60.5,""z"":38.5,""r"":3}]",[1000010],3000,"[1000030,1000031]",10000,,,
1004004,"[1004001,1004001,1004001,1004002,1004002]",0,"[{""x"":62.5,""z"":52.5,""r"":3},{""x"":61.5,""z"":46.5,""r"":3},{""x"":57.5,""z"":50.5,""r"":3}]",[1000010],3000,"[1000030,1000031]",10000,,,
1004005,"[1004001,1004001,1004002,1004002,1004002,1004003]",0,"[{""x"":87.5,""z"":79.5,""r"":3},{""x"":82.5,""z"":87.5,""r"":3},{""x"":78.5,""z"":88.5,""r"":3}]",[1000010],3000,"[1000030,1000031]",10000,,,
1005001,"[1005001,1005002,1005002,1005002,1005002]",0,"[{""x"":73.5,""z"":77.5,""r"":4},{""x"":75.5,""z"":80.5,""r"":4}]",[1000020],3000,"[1000030,1000031]",10000,,,
1005002,"[1005001,1005002,1005002,1005002,1005002]",0,"[{""x"":85,""z"":87.5,""r"":4},{""x"":83.5,""z"":84.5,""r"":4}]",[1000020],3000,"[1000030,1000031]",10000,,,
1005003,"[1005001,1005002,1005001,1005002,1005002]",0,"[{""x"":15.5,""z"":85.5,""r"":4},{""x"":15.5,""z"":79.5,""r"":4}]",[1000020],3000,"[1000030,1000031]",10000,,,
1005004,"[1005001,1005002,1005002,1005002,1005002]",0,"[{""x"":38.5,""z"":95.5,""r"":4},{""x"":34.5,""z"":89.5,""r"":4},{""x"":32.5,""z"":95.5,""r"":4}]",[1000020],3000,"[1000030,1000031]",10000,,,
1005005,"[1005001,1005002,1005002,1005002,1005002,1005003]",0,"[{""x"":40.5,""z"":60.5,""r"":4},{""x"":35.5,""z"":62.5,""r"":4},{""x"":39.5,""z"":63.5,""r"":4}]",[1000020],3000,"[1000030,1000031]",10000,,,
1006001,"[1006001,1006001,1006001,1006001,1006002]",0,"[{""x"":16.5,""z"":50.5,""r"":3},{""x"":18.5,""z"":53.5,""r"":3},{""x"":13.5,""z"":52.5,""r"":3}]",[1000020],3000,"[1000030,1000031]",10000,,,
1006002,"[1006001,1006001,1006001,1006001,1006001,1006002]",0,"[{""x"":22.5,""z"":40.5,""r"":3},{""x"":22.5,""z"":36.5,""r"":3},{""x"":19.5,""z"":41.5,""r"":3}]",[1000020],3000,"[1000030,1000031]",10000,,,
1006003,"[1006001,1006001,1006001,1006001,1006002]",0,"[{""x"":15.5,""z"":85.5,""r"":4},{""x"":20.5,""z"":84.5,""r"":4},{""x"":20.5,""z"":82.5,""r"":4}]",[1000020],3000,"[1000030,1000031]",10000,,,
1006004,"[1006001,1006001,1006001,1006001,1006001,1006002]",0,"[{""x"":38.5,""z"":94.5,""r"":4},{""x"":35.5,""z"":88.5,""r"":4},{""x"":29.5,""z"":90.5,""r"":4}]",[1000020],3000,"[1000030,1000031]",10000,,,
1006005,"[1006001,1006001,1006001,1006001,1006002,1006003]",0,"[{""x"":88.5,""z"":72.5,""r"":4},{""x"":83.5,""z"":67.5,""r"":4},{""x"":78.5,""z"":67.5,""r"":4}]",[1000020],3000,"[1000030,1000031]",10000,,,
1007001,"[1007001,1007001,1007002,1007001,1007001,1007001]",0,"[{""x"":38.5,""z"":74.5,""r"":3},{""x"":42.5,""z"":71.5,""r"":3}]",[1000020],3000,"[1000030,1000031]",10000,,,
1007002,"[1007002,1007001,1007001,1007002,1007001,1007001]",0,"[{""x"":14.5,""z"":81.5,""r"":4},{""x"":21.5,""z"":81.5,""r"":4},{""x"":19.5,""z"":86.5,""r"":4}]",[1000020],3000,"[1000030,1000031]",10000,,,
1007003,"[1007001,1007001,1007001,1007001,1007001,1007001]",0,"[{""x"":37.5,""z"":94.5,""r"":4},{""x"":32.5,""z"":91.5,""r"":4}]",[1000020],3000,"[1000030,1000031]",10000,,,
1007004,"[1007001,1007002,1007001,1007001,1007001,1007001]",0,"[{""x"":78.5,""z"":72.5,""r"":3},{""x"":83.5,""z"":68.5,""r"":3},{""x"":87.5,""z"":73.5,""r"":3}]",[1000020],3000,"[1000030,1000031]",10000,,,
