id,init_open_ids,tigger_enter_id,enter_close_ids,finish_open_ids,ready_time,spawn_interval,pos,spawn_ids,story_spawn_ids,next_zone,movieTriger,end,
2009001,"[""M6"",""M101"",""T6""]","[""P4""]","[""T5""]","[""T5""]",1,1,"[89.1,0,28.3]","[2009001,2009002]",,2009002,0,,
2009002,,"[""P6""]","[""T6""]",,1,1,"[34,0,37]","[2009003,2009004,2009005]",,0,0,,
2009101,"[""M6"",""M101"",""T6""]","[""P4""]","[""T5""]","[""T5""]",1,1,"[89.1,0,28.3]","[2009101,2009102]",,2009102,0,,
2009102,,"[""P6""]","[""T6""]",,1,1,"[34,0,37]","[2009103,2009104,2009105]",,0,0,,
2009201,"[""M6"",""M101"",""T6""]","[""P4""]","[""T5""]","[""T5""]",1,1,"[89.1,0,28.3]","[2009201,2009202]",,2009202,0,,
2009202,,"[""P6""]","[""T6""]",,1,1,"[34,0,37]","[2009203,2009204,2009205]",,0,0,,
2010001,"[""M17"",""M18"",""M101"",""M102""]","[""P4""]","[""T17""]","[""T17""]",1,1,"[89.1,0,28.3]","[2010001,2010002]",,2010002,0,,
2010002,,"[""P18""]","[""T18""]",,1,1,"[49.1,0,14.1]","[2010003,2010004,2010005]",,0,0,,
2010101,"[""M17"",""M18"",""M101"",""M102""]","[""P4""]","[""T17""]","[""T17""]",1,1,"[89.1,0,28.3]","[2010101,2010102]",,2010102,0,,
2010102,,"[""P18""]","[""T18""]",,1,1,"[49.1,0,14.1]","[2010103,2010104,2010105]",,0,0,,
2010201,"[""M17"",""M18"",""M101"",""M102""]","[""P4""]","[""T17""]","[""T17""]",1,1,"[89.1,0,28.3]","[2010201,2010202]",,2010202,0,,
2010202,,"[""P18""]","[""T18""]",,1,1,"[49.1,0,14.1]","[2010203,2010204,2010205]",,0,0,,
2011001,"[""M7"",""M8"",""M9"",""M102""]","[""P14""]","[""T7""]","[""T7""]",1,1,"[34,0,37]","[2011001,2011002]",,2011002,0,,
2011002,,"[""P8""]","[""T8"",""T9""]","[""T9""]",1,1,"[61.5,0,20.5]","[2011003,2011004]",,2011003,0,,
2011003,,"[""P10""]","[""T9""]",,1,1,"[16.9,0,12]",[2011005],,0,0,,
2011101,"[""M7"",""M8"",""M9"",""M102""]","[""P14""]","[""T7""]","[""T7""]",1,1,"[34,0,37]","[2011101,2011102]",,2011102,0,,
2011102,,"[""P8""]","[""T8"",""T9""]","[""T9""]",1,1,"[61.5,0,20.5]","[2011103,2011104]",,2011103,0,,
2011103,,"[""P10""]","[""T9""]",,1,1,"[16.9,0,12]",[2011105],,0,0,,
2011201,"[""M7"",""M8"",""M9"",""M102""]","[""P14""]","[""T7""]","[""T7""]",1,1,"[34,0,37]","[2011201,2011202]",,2011202,0,,
2011202,,"[""P8""]","[""T8"",""T9""]","[""T9""]",1,1,"[61.5,0,20.5]","[2011203,2011204]",,2011203,0,,
2011203,,"[""P10""]","[""T9""]",,1,1,"[16.9,0,12]",[2011205],,0,0,,
2012001,"[""M101"",""M2"",""M7"",""M9"",""M102""]","[""P2""]","[""T8""]","[""T8""]",1,1,"[56,0,79]","[2012001,2012002]",,2012002,0,,
2012002,,"[""P7""]","[""T7"",""T10""]","[""T10""]",1,1,"[45,0,34]","[2012003,2012004]",,2012003,0,,
2012003,,"[""P10""]","[""T9""]",,1,1,"[11,0,16]",[2012005],,0,0,,
2012101,"[""M101"",""M2"",""M7"",""M9"",""M102""]","[""P2""]","[""T8""]","[""T8""]",1,1,"[56,0,79]","[2012101,2012102]",,2012102,0,,
2012102,,"[""P7""]","[""T7"",""T10""]","[""T10""]",1,1,"[45,0,34]","[2012103,2012104]",,2012103,0,,
2012103,,"[""P10""]","[""T9""]",,1,1,"[11,0,16]",[2012105],,0,0,,
2012201,"[""M101"",""M2"",""M7"",""M9"",""M102""]","[""P2""]","[""T8""]","[""T8""]",1,1,"[56,0,79]","[2012201,2012202]",,2012202,0,,
2012202,,"[""P7""]","[""T7"",""T10""]","[""T10""]",1,1,"[45,0,34]","[2012203,2012204]",,2012203,0,,
2012203,,"[""P10""]","[""T9""]",,1,1,"[11,0,16]",[2012205],,0,0,,
1009001,"[""M1"",""M2"",""M3"",""M4""]","[""P0""]","[""T1""]","[""T1""]",1,1,"[15,12,12.5]","[1009001,1009002]",,1009002,0,,
1009002,,"[""P2""]","[""T2"",""T3""]","[""T3""]",1,1,"[21,13,43]","[1009003,1009004]",,1009003,0,,
1009003,,"[""P4""]","[""T4""]",,1,1,"[10,17,76]",[1009005],,0,0,,
1009101,"[""M1"",""M2"",""M3"",""M4""]","[""P0""]","[""T1""]","[""T1""]",1,1,"[15,12,12.5]","[1009101,1009102]",,1009102,0,,
1009102,,"[""P2""]","[""T2"",""T3""]","[""T3""]",1,1,"[21,13,43]","[1009103,1009104]",,1009103,0,,
1009103,,"[""P4""]","[""T4""]",,1,1,"[10,17,76]",[1009105],,0,0,,
1009201,"[""M1"",""M2"",""M3"",""M4""]","[""P0""]","[""T1""]","[""T1""]",1,1,"[15,12,12.5]","[1009201,1009202]",,1009202,0,,
1009202,,"[""P2""]","[""T2"",""T3""]","[""T3""]",1,1,"[21,13,43]","[1009203,1009204]",,1009203,0,,
1009203,,"[""P4""]","[""T4""]",,1,1,"[10,17,76]",[1009205],,0,0,,
1010001,"[""M6"",""M101"",""T6""]","[""P4""]","[""T5""]","[""T5""]",1,1,"[89.1,0,28.3]","[1010001,1010002]",,1010002,0,,
1010002,,"[""P6""]","[""T6""]",,1,1,"[34,0,37]","[1010003,1010004,1010005]",,0,0,,
1010101,"[""M6"",""M101"",""T6""]","[""P4""]","[""T5""]","[""T5""]",1,1,"[89.1,0,28.3]","[1010101,1010102]",,1010102,0,,
1010102,,"[""P6""]","[""T6""]",,1,1,"[34,0,37]","[1010103,1010104,1010105]",,0,0,,
1010201,"[""M6"",""M101"",""T6""]","[""P4""]","[""T5""]","[""T5""]",1,1,"[89.1,0,28.3]","[1010201,1010202]",,1010202,0,,
1010202,,"[""P6""]","[""T6""]",,1,1,"[34,0,37]","[1010203,1010204,1010205]",,0,0,,
1011001,"[""M6"",""T5"",""M101""]","[""P14""]","[""T6""]","[""T6""]",1,1,"[34,0,37]","[1011001,1011002]",,1011002,0,,
1011002,,"[""P5""]","[""T5""]",,1,1,"[89.1,0,28.3]","[1011003,1011004,1011005]",,0,0,,
1011101,"[""M6"",""T5"",""M101""]","[""P14""]","[""T6""]","[""T6""]",1,1,"[34,0,37]","[1011101,1011102]",,1011102,0,,
1011102,,"[""P5""]","[""T5""]",,1,1,"[89.1,0,28.3]","[1011103,1011104,1011105]",,0,0,,
1011201,"[""M6"",""T5"",""M101""]","[""P14""]","[""T6""]","[""T6""]",1,1,"[34,0,37]","[1011201,1011202]",,1011202,0,,
1011202,,"[""P5""]","[""T5""]",,1,1,"[89.1,0,28.3]","[1011203,1011204,1011205]",,0,0,,
1012001,"[""M15"",""M16"",""M10"",""M9""]","[""P2""]","[""T2"",""T15""]","[""T15""]",1,1,"[21,13,43]","[1012001,1012002]",,1012002,0,,
1012002,,"[""P16""]","[""T16"",""T10""]","[""T10""]",1,1,"[55,15,43]","[1012003,1012004]",,1012003,0,,
1012003,,"[""P9""]","[""T9""]",,1,1,"[77,16,86]",[1012005],,0,0,,
1012101,"[""M15"",""M16"",""M10"",""M9""]","[""P2""]","[""T2"",""T15""]","[""T15""]",1,1,"[21,13,43]","[1012101,1012102]",,1012102,0,,
1012102,,"[""P16""]","[""T16"",""T10""]","[""T10""]",1,1,"[55,15,43]","[1012103,1012104]",,1012103,0,,
1012103,,"[""P9""]","[""T9""]",,1,1,"[77,16,86]",[1012105],,0,0,,
1012201,"[""M15"",""M16"",""M10"",""M9""]","[""P2""]","[""T2"",""T15""]","[""T15""]",1,1,"[21,13,43]","[1012201,1012202]",,1012202,0,,
1012202,,"[""P16""]","[""T16"",""T10""]","[""T10""]",1,1,"[55,15,43]","[1012203,1012204]",,1012203,0,,
1012203,,"[""P9""]","[""T9""]",,1,1,"[77,16,86]",[1012205],,0,0,,
1013001,"[""M11"",""M12"",""M101"",""M102""]","[""P14""]","[""T12""]","[""T12""]",1,1,"[34,0,37]","[1013001,1013002]",,1013002,0,,
1013002,,"[""P11""]","[""T11""]",,1,1,"[71,0,76]","[1013003,1013004,1013005]",,0,0,,
1013101,"[""M11"",""M12"",""M101"",""M102""]","[""P14""]","[""T12""]","[""T12""]",1,1,"[34,0,37]","[1013101,1013102]",,1013102,0,,
1013102,,"[""P11""]","[""T11""]",,1,1,"[71,0,76]","[1013103,1013104,1013105]",,0,0,,
1013201,"[""M11"",""M12"",""M101"",""M102""]","[""P14""]","[""T12""]","[""T12""]",1,1,"[34,0,37]","[1013201,1013202]",,1013202,0,,
1013202,,"[""P11""]","[""T11""]",,1,1,"[71,0,76]","[1013203,1013204,1013205]",,0,0,,
1014001,"[""M5"",""M6""]","[""P4""]","[""T5""]","[""T5""]",1,1,"[10,17,76]","[1014001,1014002,1014003]",,1014002,0,,
1014002,,"[""P6""]","[""T6""]",,1,1,"[40,13,65.6]","[1014004,1014005]",,0,0,,
1014101,"[""M5"",""M6""]","[""P4""]","[""T5""]","[""T5""]",1,1,"[10,17,76]","[1014101,1014102,1014103]",,1014102,0,,
1014102,,"[""P6""]","[""T6""]",,1,1,"[40,13,65.6]","[1014104,1014105]",,0,0,,
1014201,"[""M5"",""M6""]","[""P4""]","[""T5""]","[""T5""]",1,1,"[10,17,76]","[1014201,1014202,1014203]",,1014202,0,,
1014202,,"[""P6""]","[""T6""]",,1,1,"[40,13,65.6]","[1014204,1014205]",,0,0,,
1015001,"[""M5"",""M6"",""M7"",""M8""]","[""P18""]","[""T6"",""T7""]","[""T6""]",1,1,"[43.5,13,72]",[1015001],,1015002,0,,
1015002,,"[""P5""]","[""T5""]","[""T7""]",1,1,"[27.1,17,89.5]","[1015002,1015003]",,1015003,0,,
1015003,,"[""P8""]","[""T8""]",,1,1,"[80,16,71]","[1015004,1015005]",,0,0,,
1015101,"[""M5"",""M6"",""M7"",""M8""]","[""P18""]","[""T6"",""T7""]","[""T6""]",1,1,"[43.5,13,72]",[1015101],,1015102,0,,
1015102,,"[""P5""]","[""T5""]","[""T7""]",1,1,"[27.1,17,89.5]","[1015102,1015103]",,1015103,0,,
1015103,,"[""P8""]","[""T8""]",,1,1,"[80,16,71]","[1015104,1015105]",,0,0,,
1015201,"[""M5"",""M6"",""M7"",""M8""]","[""P18""]","[""T6"",""T7""]","[""T6""]",1,1,"[43.5,13,72]",[1015201],,1015202,0,,
1015202,,"[""P5""]","[""T5""]","[""T7""]",1,1,"[27.1,17,89.5]","[1015202,1015203]",,1015203,0,,
1015203,,"[""P8""]","[""T8""]",,1,1,"[80,16,71]","[1015204,1015205]",,0,0,,
1016001,"[""M17"",""M18"",""M101"",""M102""]","[""P9""]","[""T18""]","[""T18""]",1,1,"[49.1,0,14.1]","[1016001,1016002]",,1016002,0,,
1016002,,"[""P17""]","[""T17""]",,1,1,"[89.1,0,28.3]","[1016003,1016004,1016005]",,0,0,,
1016101,"[""M17"",""M18"",""M101"",""M102""]","[""P9""]","[""T18""]","[""T18""]",1,1,"[49.1,0,14.1]","[1016101,1016102]",,1016102,0,,
1016102,,"[""P17""]","[""T17""]",,1,1,"[89.1,0,28.3]","[1016103,1016104,1016105]",,0,0,,
1016201,"[""M17"",""M18"",""M101"",""M102""]","[""P9""]","[""T18""]","[""T18""]",1,1,"[49.1,0,14.1]","[1016201,1016202]",,1016202,0,,
1016202,,"[""P17""]","[""T17""]",,1,1,"[89.1,0,28.3]","[1016203,1016204,1016205]",,0,0,,
1017001,"[""M3"",""T4"",""M9"",""T9"",""M102""]","[""P0""]","[""T3""]","[""T3""]",1,1,"[24,0,83]","[1017001,1017002]",,1017002,0,,
1017002,,"[""P4""]","[""T4"",""T10""]","[""T10""]",1,1,"[11,0,18]","[1017003,1017004]",,1017003,0,,
1017003,,"[""P9""]","[""T9""]",,1,1,"[40,0,19]",[1017005],,0,0,,
1017101,"[""M3"",""T4"",""M9"",""T9"",""M102""]","[""P0""]","[""T3""]","[""T3""]",1,1,"[24,0,83]","[1017101,1017102]",,1017102,0,,
1017102,,"[""P4""]","[""T4"",""T10""]","[""T10""]",1,1,"[11,0,18]","[1017103,1017104]",,1017103,0,,
1017103,,"[""P9""]","[""T9""]",,1,1,"[40,0,19]",[1017105],,0,0,,
1017201,"[""M3"",""T4"",""M9"",""T9"",""M102""]","[""P0""]","[""T3""]","[""T3""]",1,1,"[24,0,83]","[1017201,1017202]",,1017202,0,,
1017202,,"[""P4""]","[""T4"",""T10""]","[""T10""]",1,1,"[11,0,18]","[1017203,1017204]",,1017203,0,,
1017203,,"[""P9""]","[""T9""]",,1,1,"[40,0,19]",[1017205],,0,0,,
1018001,"[""M17"",""M18"",""M101"",""T13"",""T16""]","[""P6""]","[""T14""]","[""T14""]",1,1,"[45,0,34]","[1018001,1018002]",,1018002,0,,
1018002,,"[""P13""]","[""T13"",""T15""]","[""T15""]",1,1,"[73,0,7]","[1018003,1018004]",,1018003,0,,
1018003,,"[""P16""]","[""T16""]",,1,1,"[95,0,52]",[1018005],,0,0,,
1018101,"[""M17"",""M18"",""M101"",""T13"",""T16""]","[""P6""]","[""T14""]","[""T14""]",1,1,"[45,0,34]","[1018101,1018102]",,1018102,0,,
1018102,,"[""P13""]","[""T13"",""T15""]","[""T15""]",1,1,"[73,0,7]","[1018103,1018104]",,1018103,0,,
1018103,,"[""P16""]","[""T16""]",,1,1,"[95,0,52]",[1018105],,0,0,,
1018201,"[""M17"",""M18"",""M101"",""T13"",""T16""]","[""P6""]","[""T14""]","[""T14""]",1,1,"[45,0,34]","[1018201,1018202]",,1018202,0,,
1018202,,"[""P13""]","[""T13"",""T15""]","[""T15""]",1,1,"[73,0,7]","[1018203,1018204]",,1018203,0,,
1018203,,"[""P16""]","[""T16""]",,1,1,"[95,0,52]",[1018205],,0,0,,
1019001,"[""M1"",""M2"",""M13"",""M14""]","[""P3""]","[""T2""]","[""T2""]",1,1,"[15.7,0,43.7]","[1019001,1019002]",,1019002,0,,
1019002,,"[""P1""]","[""T1"",""T13""]","[""T13""]",1,1,"[13.7,0,10.8]","[1019003,1019004]",,1019003,0,,
1019003,,"[""P14""]","[""T14""]",,1,1,"[87,0,27.3]",[1019005],,0,0,,
1019101,"[""M1"",""M2"",""M13"",""M14""]","[""P3""]","[""T2""]","[""T2""]",1,1,"[15.7,0,43.7]","[1019101,1019102]",,1019102,0,,
1019102,,"[""P1""]","[""T1"",""T13""]","[""T13""]",1,1,"[13.7,0,10.8]","[1019103,1019104]",,1019103,0,,
1019103,,"[""P14""]","[""T14""]",,1,1,"[87,0,27.3]",[1019105],,0,0,,
1019201,"[""M1"",""M2"",""M13"",""M14""]","[""P3""]","[""T2""]","[""T2""]",1,1,"[15.7,0,43.7]","[1019201,1019202]",,1019202,0,,
1019202,,"[""P1""]","[""T1"",""T13""]","[""T13""]",1,1,"[13.7,0,10.8]","[1019203,1019204]",,1019203,0,,
1019203,,"[""P14""]","[""T14""]",,1,1,"[87,0,27.3]",[1019205],,0,0,,
1020001,"[""M1"",""M2"",""M103"",""T12""]","[""P0""]","[""T1""]","[""T1""]",1,1,"[11,0,77]","[1020001,1020002]",,1020002,0,,
1020002,,"[""P2""]","[""T2"",""T11""]","[""T11""]",1,1,"[56,0,79]","[1020003,1020004]",,1020003,0,,
1020003,,"[""P12""]","[""T12""]",,1,1,"[97,0,58]",[1020005],,0,0,,
