id,Desc,Sound1,Ratio1,Sound2,Ratio2,Sound3,Ratio3,downloadLevel,Delay,Volume,PlayType,SoundType,PriorityLevel,IsMusicDown,endRow
210041,魔剑无双技能第三段的释放音效,Skill/Cast/Cast_Runner_Combo03,100,,,,,,,60,1,2,16,,
210042,魔剑无双技能第四段的释放音效,Skill/Cast/Cast_Runner_Combo04,100,,,,,,,40,1,2,16,,
210043,魔剑无双技能第五段的释放音效,Skill/Cast/Cast_Runner_Combo04,100,,,,,,,40,1,2,16,,
210044,魔剑无双技能第六段的释放音效,Skill/Cast/Cast_Runner_Combo06,100,,,,,,,60,1,2,16,,
210045,魔剑冲锋技能的释放音效,Skill/Cast/Cast_Runner_Dash01,100,,,,,,0.315,60,1,2,16,,
210046,魔剑攻击回退的释放音效,Skill/Cast/Cast_Runner_Escape01,100,,,,,,0.311,60,1,2,16,,
210060,圣骑演武动作的释放音效,Skill/Cast/Cast_Knight_Appear01,100,,,,,,,100,1,2,16,,
210061,圣骑普攻01的挥枪的音效,Skill/Cast/Cast_BigWeapon_Light01,50,Skill/Cast/Cast_BigWeapon_Light02,50,,,,0.2,60,1,2,6,,
210062,圣骑普攻02的挥枪的音效,Skill/Cast/Cast_BigWeapon_Light01,50,Skill/Cast/Cast_BigWeapon_Light02,50,,,,0.16,60,1,2,6,,
210063,圣骑普攻03的挥枪的音效,Skill/Cast/Cast_Knight_Attack03,100,,,,,,,60,1,2,6,,
210064,圣骑普攻04的挥枪的音效,Skill/Cast/Cast_BigWeapon_Heavy01,50,Skill/Cast/Cast_BigWeapon_Heavy02,50,,,,0.65,60,1,2,6,,
210065,圣骑翻滚的释放音效,Skill/Cast/Cast_Runner_Roll01,100,,,,,,,40,1,2,16,,
210066,圣骑普攻加强技能的释放音效,Skill/Cast/Cast_Knight_Often01,100,,,,,,0.31,60,1,2,16,,
210067,圣骑群体拉人技能的释放音效1,Skill/Cast/Cast_Knight_Pull01,100,,,,,,,60,1,2,16,,
210068,圣骑群体拉人技能的释放音效2,Skill/Cast/Cast_Knight_Pull02,100,,,,,,,60,1,2,16,,
210069,圣骑无双技能第一段的释放音效,Skill/Cast/Cast_Knight_Combo01,100,,,,,,0.342,60,1,2,16,,
210070,圣骑无双技能第二段的释放音效,Skill/Cast/Cast_Knight_Combo02,100,,,,,,,60,1,2,16,,
210071,圣骑无双技能第三段的释放音效,Skill/Cast/Cast_Knight_Combo03,100,,,,,,,60,1,2,16,,
210072,圣骑无双技能第四段的释放音效,Skill/Cast/Cast_Knight_Combo04,100,,,,,,0.25,60,1,2,16,,
210073,圣骑无双技能第五段的释放音效,Skill/Cast/Cast_Knight_Combo05,100,,,,,,,40,1,2,16,,
210074,圣骑无双技能第六段的释放音效,Skill/Cast/Cast_Knight_Combo06,100,,,,,,,60,1,2,16,,
210075,圣骑圣光沐浴技能的释放音效,Skill/Cast/Cast_Knight_HolyLight01,100,,,,,,0.5,60,1,2,16,,
210076,圣骑冲刺技能的释放音效,Skill/Cast/Cast_Knight_HolyDash01,100,,,,,,0.356,60,1,2,16,,
210077,圣骑蓄力一击技能的释放音效,Skill/Cast/Cast_Knight_HolyAttack01,100,,,,,,0.073,60,1,2,16,,
220001,雅典娜普攻01的挥剑的音效,Skill/Cast/Cast_LightSword_Heavy01,100,,,,,,0.313,60,1,2,4,,
220002,雅典娜普攻02的挥剑的音效,Skill/Cast/Cast_LightSword_Heavy02,100,,,,,,0.217,60,1,2,4,,
220003,雅典娜圣疗术的音效,Skill/Cast/Cast_Athena_Heal01,100,,,,,,,60,1,2,16,,
220004,雅典娜圣盾术的蓄力的音效,Skill/Cast/Cast_Athena_HolyDefense01,100,,,,,,,60,1,2,16,,
220005,雅典娜圣盾术的释放的音效,Skill/Cast/Cast_Athena_HolyDefense02,100,,,,,,,60,1,2,16,,
220006,雅典娜圣光审判的蓄力的音效,Skill/Cast/Cast_Athena_HolyBlast01,100,,,,,,,60,1,2,16,,
220007,雅典娜圣光审判的释放的音效,Skill/Cast/Cast_Athena_HolyBlast02,100,,,,,,,60,1,2,16,,
220008,暗黑雅典娜射出魔剑的音效,Skill/Cast/Cast_Lucifer_Attack01,100,,,,,,,60,1,2,16,,
220009,暗黑雅典娜魔剑爆破的音效,Skill/Hit/Hit_Blast_Normal01,100,,,,,,,80,1,2,16,,
220011,路西法普攻的音效,Skill/Cast/Cast_Lucifer_Attack01,100,,,,,,0.217,60,1,2,4,,
220013,路西法落球时的音效,Skill/Cast/Cast_Lucifer_BallDown01,100,,,,,,,60,1,2,16,,
220015,路西法魔爪群现的释放的音效,Skill/Cast/Cast_Devil_DevilHand02,100,,,,,,,60,1,2,16,,
220017,路西法激光炮的释放的音效,Skill/Cast/Cast_Athena_HolyBlast02,100,,,,,,,60,1,2,16,,
220021,哥布林挥剑普攻1的音效,Skill/Cast/Cast_LightSword_Light01,50,Skill/Cast/Cast_LightSword_Light02,50,,,,0.536,60,1,2,4,,
220022,哥布林挥剑普攻2的音效,Skill/Cast/Cast_LightSword_Light01,50,Skill/Cast/Cast_LightSword_Light02,50,,,,0.809,60,1,2,4,,
220023,哥布林扔炸弹的音效,Skill/Cast/Cast_Boom_Normal01,100,,,,,,0,60,1,2,16,,
220031,狼人挥爪普攻1的音效,Skill/Cast/Cast_Warrior_Combo02,50,Skill/Cast/Cast_Knight_HolyLight01,50,,,,0.606,60,1,2,4,,
220032,狼人挥爪普攻2的音效,Skill/Cast/Cast_Warrior_Combo02,50,Skill/Cast/Cast_Knight_HolyLight01,50,,,,0.809,60,1,2,4,,
220033,狼人冲锋的音效,Skill/Cast/Cast_Warrior_Roll01,100,,,,,,,60,1,2,16,,
220034,狼人冲锋后吼叫的音效,Character/Monster/Character_Wolf_Cry01,100,,,,,,1.069,60,1,2,16,,
220035,狼人双爪击的音效,Skill/Cast/Cast_Knight_HolyLight01,100,,,,,,0.787,60,1,2,16,,
220036,狼人跳跃双爪击的音效,Skill/Cast/Cast_Knight_HolyLight01,100,,,,,,0.58,60,1,2,16,,
220037,狼人反击后吼叫的音效,Character/Monster/Character_Wolf_Cry01,100,,,,,,,60,1,2,16,,
220051,巫师普攻的音效,Skill/Cast/Cast_Lucifer_Attack01,100,,,,,,0.4,60,1,2,4,,
220061,阿喀琉斯普攻阶段1的音效,Skill/Cast/Cast_BigWeapon_Light01,50,Skill/Cast/Cast_BigWeapon_Light02,50,,,,0.456,60,1,2,4,,
220062,阿喀琉斯普攻阶段2的音效,Skill/Cast/Cast_BigWeapon_Light01,50,Skill/Cast/Cast_BigWeapon_Light02,50,,,,0.866,60,1,2,4,,
220063,阿喀琉斯普攻2阶段1的音效,Skill/Cast/Cast_FireBall_Normal01,100,,,,,,0.4,60,1,2,4,,
220064,阿喀琉斯冲刺跳斩的音效,Skill/Cast/Cast_ZombieKing_Combo04,100,,,,,,0.6,60,1,2,16,,
220065,阿喀琉斯剑气炸裂的音效,Skill/Cast/Cast_Knight_Combo04,100,,,,,,0.4,60,1,2,16,,
220067,阿喀琉斯剑盾合一的音效,Skill/Cast/Cast_Knight_HolyLight01,100,,,,,,0.744,60,1,2,16,,
220071,邪恶的英灵普攻的音效,Skill/Cast/Cast_Lucifer_Attack01,100,,,,,,0.217,60,1,2,4,,
220073,邪恶的英灵落球时的音效,Skill/Cast/Cast_Lucifer_BallDown01,100,,,,,,,60,1,2,16,,
220075,邪恶的英灵魔爪群现的释放的音效,Skill/Cast/Cast_Devil_DevilHand02,100,,,,,,,60,1,2,16,,
220081,游侠普攻阶段1的音效,Skill/Cast/Cast_BigWeapon_Light02,100,,,,,,0.392,60,1,2,4,,
220082,游侠普攻阶段2的音效,Skill/Cast/Cast_BigWeapon_Light02,100,,,,,,0.082,60,1,2,4,,
220083,游侠普攻阶段3的音效,Skill/Cast/Cast_LightSword_Heavy01,100,,,,,,0.155,60,1,2,4,,
220084,游侠普攻2阶段1的音效,Skill/Cast/Cast_LightSword_Light01,50,Skill/Cast/Cast_LightSword_Light02,50,,,,0.203,60,1,2,4,,
220085,游侠普攻2阶段2的音效,Skill/Cast/Cast_LightSword_Light01,50,Skill/Cast/Cast_LightSword_Light02,50,,,,0.105,60,1,2,4,,
220086,游侠冲锋的音效,Skill/Cast/Cast_Lucifer_Attack01,100,,,,,,0,60,1,2,16,,
220087,游侠冲锋刺剑的音效,Skill/Cast/Cast_Devil_DevilHand02,100,,,,,,0.123,60,1,2,16,,
220088,游侠射出魔剑的音效,Skill/Cast/Cast_Lucifer_Attack01,100,,,,,,0.325,60,1,2,16,,
220090,游侠落魔剑时的音效,Skill/Cast/Cast_Lucifer_BallDown01,100,,,,,,,60,1,2,16,,
220091,宙斯普通攻击时的音效,Skill/Cast/Cast_Zeus_Attack01,100,,,,,,,60,1,2,16,,
220092,宙斯放闪电柱时的音效,Skill/Cast/Cast_Zeus_Thunder01,100,,,,,,,60,1,2,16,,
260001,受击-斩在肉上的音效,Skill/Hit/Hit_Flesh_Normal01,34,Skill/Hit/Hit_Flesh_Normal02,33,Skill/Hit/Hit_Flesh_Normal03,33,,0,55,1,2,16,,
260002,受击-较重的斩在肉上的音效,Skill/Hit/Hit_Flesh_Heavy01,50,Skill/Hit/Hit_Flesh_Heavy02,50,,,,0,80,1,2,16,,
260003,受击-较重的斩在肉上的音效2,Skill/Hit/Hit_Flesh_Heavy03,50,Skill/Hit/Hit_Flesh_Heavy04,50,,,,0,80,1,2,16,,
260004,受击-较轻的斩在肉上的音效,Skill/Hit/Hit_Flesh_Light01,50,Skill/Hit/Hit_Flesh_Light02,50,,,,0,55,1,2,16,,
260005,受击-划Boss时通用的划肉体的音效,Skill/Hit/Hit_Flesh_Heavy01,50,Skill/Hit/Hit_Flesh_Heavy02,50,,,,0,80,1,2,16,,
260006,受击-将怪物斩碎时播的受击音效斩在肉上的音效2,Skill/Hit/Hit_Flesh_Heavy03,50,Skill/Hit/Hit_Flesh_Heavy04,50,,,,0,80,1,2,16,,
260011,受击-一般的在肉体上爆开的音效,Skill/Hit/Hit_Blast_Normal01,100,,,,,,0,80,1,2,16,,
260021,受击-一般的中毒的音效,Skill/Hit/Hit_Poison_Normal01,100,,,,,,0,80,1,2,16,,
260031,受击-将怪物灼烧时播的受击音效,Skill/Hit/Hit_Fire_Normal01,50,Skill/Hit/Hit_Fire_Normal02,50,,,,0,55,1,2,16,,
260041,受击-怪物被电时播的受击音效,Skill/Hit/Hit_Electric_Normal01,50,Skill/Hit/Hit_Electric_Normal02,50,,,,0,55,1,2,16,,
260051,受击-圣骑群拉技能第一段的受击音效,Skill/Hit/Hit_Knight_Pull01,100,,,,,,0,55,1,2,16,,
270001,受击-怪物斩在肉上的音效,Skill/Hit/Hit_Flesh_Normal01,34,Skill/Hit/Hit_Flesh_Normal02,33,Skill/Hit/Hit_Flesh_Normal03,33,,0,55,1,2,15,,
270002,受击-怪物较重的斩在肉上的音效,Skill/Hit/Hit_Flesh_Heavy01,50,Skill/Hit/Hit_Flesh_Heavy02,50,,,,0,80,1,2,15,,
270003,受击-怪物较重的斩在肉上的音效2,Skill/Hit/Hit_Flesh_Heavy03,50,Skill/Hit/Hit_Flesh_Heavy04,50,,,,0,80,1,2,15,,
270004,受击-怪物较轻的斩在肉上的音效,Skill/Hit/Hit_Flesh_Light01,50,Skill/Hit/Hit_Flesh_Light02,50,,,,0,55,1,2,15,,
270011,受击-怪物一般的在肉体上爆开的音效,Skill/Hit/Hit_Blast_Normal01,100,,,,,,0,80,1,2,15,,
270021,受击-怪物一般的中毒的音效,Skill/Hit/Hit_Poison_Normal01,100,,,,,,0,80,1,2,16,,
270031,受击-怪物灼烧时播的受击音效,Skill/Hit/Hit_Fire_Normal01,50,Skill/Hit/Hit_Fire_Normal02,50,,,,0,55,1,2,16,,
270041,受击-怪物被电时播的受击音效,Skill/Hit/Hit_Electric_Normal01,50,Skill/Hit/Hit_Electric_Normal02,50,,,,0,55,1,2,16,,
400101,魔剑登录场景台词,Character/Female/Character_Runner_Speak01,50,Character/Female/Character_Runner_Speak02,50,,,,0,100,1,1,6,1,
400102,魔剑登录场景台词2,Character/Female/Character_Runner_Speak03,50,Character/Female/Character_Runner_Speak04,50,,,,0,100,1,1,6,1,
400103,魔剑重伤叫声,Character/Female/Character_Runner_Die01,50,Character/Female/Character_Runner_Die02,50,,,,0,100,1,1,6,,
400104,魔剑受击叫声,Character/Female/Character_Runner_Hit01,25,Character/Female/Character_Runner_Hit02,25,UI/System_ForRandom_Empty01,50,,0,100,1,1,6,,
400105,魔剑普通攻击叫声01,Character/Female/Character_Runner_Cast01,15,Character/Female/Character_Runner_Cast02,15,UI/System_ForRandom_Empty01,70,,0,80,1,1,6,,
400106,魔剑普通攻击叫声02,Character/Female/Character_Runner_Cast02,15,Character/Female/Character_Runner_Cast03,15,UI/System_ForRandom_Empty01,70,,0,80,1,1,6,,
400107,魔剑普通攻击叫声03,Character/Female/Character_Runner_Cast01,15,Character/Female/Character_Runner_Cast03,15,UI/System_ForRandom_Empty01,70,,0,80,1,1,6,,
400108,魔剑技能攻击叫声01,Character/Female/Character_Runner_Cast01,100,,,,,,0,100,1,1,6,,
400109,魔剑技能攻击叫声02,Character/Female/Character_Runner_Cast02,100,,,,,,0,100,1,1,6,,
400110,魔剑技能攻击叫声03,Character/Female/Character_Runner_Cast03,100,,,,,,0,100,1,1,6,,
400201,圣骑登录场景台词,Character/Female/Character_Knight_Speak01,50,Character/Female/Character_Knight_Speak02,50,,,,0,100,1,1,6,1,
400202,圣骑登录场景台词2,Character/Female/Character_Knight_Speak03,50,Character/Female/Character_Knight_Speak04,50,,,,0,100,1,1,6,1,
400203,圣骑重伤叫声,Character/Female/Character_Knight_Die01,50,Character/Female/Character_Knight_Die02,50,,,,0,100,1,1,6,,
400204,圣骑受击叫声,Character/Female/Character_Knight_Hit01,25,Character/Female/Character_Knight_Hit02,25,UI/System_ForRandom_Empty01,50,,0,100,1,1,6,,
400205,圣骑普通攻击叫声01,Character/Female/Character_Knight_Cast01,15,Character/Female/Character_Knight_Cast02,15,UI/System_ForRandom_Empty01,70,,0,80,1,1,6,,
400206,圣骑普通攻击叫声02,Character/Female/Character_Knight_Cast02,15,Character/Female/Character_Knight_Cast03,15,UI/System_ForRandom_Empty01,70,,0,80,1,1,6,,
400207,圣骑普通攻击叫声03,Character/Female/Character_Knight_Cast01,15,Character/Female/Character_Knight_Cast03,15,UI/System_ForRandom_Empty01,70,,0,80,1,1,6,,
400208,圣骑技能攻击叫声01,Character/Female/Character_Knight_Cast01,100,,,,,,0,100,1,1,6,,
400209,圣骑技能攻击叫声02,Character/Female/Character_Knight_Cast02,100,,,,,,0,100,1,1,6,,
400210,圣骑技能攻击叫声03,Character/Female/Character_Knight_Cast03,100,,,,,,0,100,1,1,6,,
400301,狂战登录场景台词,Character/Male/Character_Warrior_Speak01,50,Character/Male/Character_Warrior_Speak02,50,,,,0,100,1,1,6,1,
400302,狂战登录场景台词2,Character/Male/Character_Warrior_Speak03,50,Character/Male/Character_Warrior_Speak04,50,,,,0,100,1,1,6,1,
400303,狂战重伤叫声,Character/Male/Character_Warrior_Die01,50,Character/Male/Character_Warrior_Die02,50,,,,0,100,1,1,6,,
400304,狂战受击叫声,Character/Male/Character_Warrior_Hit01,25,Character/Male/Character_Warrior_Hit02,25,UI/System_ForRandom_Empty01,50,,0,100,1,1,6,,
400305,狂战普通攻击叫声01,Character/Male/Character_Warrior_Cast01,15,Character/Male/Character_Warrior_Cast02,15,UI/System_ForRandom_Empty01,70,,0,80,1,1,6,,
400306,狂战普通攻击叫声02,Character/Male/Character_Warrior_Cast02,15,Character/Male/Character_Warrior_Cast03,15,UI/System_ForRandom_Empty01,70,,0,80,1,1,6,,
400307,狂战普通攻击叫声03,Character/Male/Character_Warrior_Cast01,15,Character/Male/Character_Warrior_Cast03,15,UI/System_ForRandom_Empty01,70,,0,80,1,1,6,,
400308,狂战技能攻击叫声01,Character/Male/Character_Warrior_Cast01,100,,,,,,0,100,1,1,6,,
400309,狂战技能攻击叫声02,Character/Male/Character_Warrior_Cast02,100,,,,,,0,100,1,1,6,,
400310,狂战技能攻击叫声03,Character/Male/Character_Warrior_Cast03,100,,,,,,0,100,1,1,6,,
420001,雅典娜受击叫声,Character/Female/Character_Athena_Hit01,25,Character/Female/Character_Athena_Hit02,25,UI/System_ForRandom_Empty01,50,,0,100,1,1,1,,
420002,雅典娜重伤叫声,Character/Female/Character_Athena_Die01,50,Character/Female/Character_Athena_Die02,50,,,,0,100,1,1,1,,
420003,雅典娜普通攻击出招叫声,Character/Female/Character_Athena_Cast01,25,Character/Female/Character_Athena_Cast02,25,UI/System_ForRandom_Empty01,50,,0,100,1,1,1,,
420004,雅典娜圣盾术出招叫声,Character/Female/Character_Athena_Cast02,100,,,,,,0.346,100,1,1,2,,
420005,雅典娜圣光审判蓄力叫声,Character/Female/Character_Athena_Cast03,100,,,,,,0,100,1,1,2,,
420006,雅典娜圣光审判出招叫声,Character/Female/Character_Athena_Cast01,100,,,,,,0.213,100,1,1,2,,
420011,路西法受击叫声,Character/Monster/Character_Lucifer_Hit01,25,Character/Monster/Character_Lucifer_Hit02,25,UI/System_ForRandom_Empty01,50,0,0,100,1,1,1,,
420012,路西法重伤叫声,Character/Monster/Character_Lucifer_Die01,50,Character/Monster/Character_Lucifer_Die02,50,,,0,0,100,1,1,1,,
420013,路西法普通攻击出招叫声,Character/Monster/Character_Lucifer_Cast01,25,Character/Monster/Character_Lucifer_Cast02,25,UI/System_ForRandom_Empty01,50,0,0,100,1,1,1,,
420014,路西法落球出招叫声,Character/Monster/Character_Lucifer_Cast02,100,,,,,0,0,100,1,1,2,,
420015,路西法魔爪群现出招叫声,Character/Monster/Character_Lucifer_Cast01,100,,,,,0,0.3,100,1,1,2,,
