id,title,level,stageMax,aiCastType,aiCastDist,cost,cd,subCd,stack,needLv,needSpirit,needSkillId,needSkillLv,needItemId,needItemNum,desc,endRow
121202,灼烧之痕,3,1,,,,,0,1,24,3600,1112,3,,,在冲刺路径留下圣焰，每秒造成51%灼烧伤害,
121203,灼烧之痕,4,1,,,,,0,1,29,4800,1112,4,,,在冲刺路径留下圣焰，每秒造成58%灼烧伤害,
121204,灼烧之痕,5,1,,,,,0,1,34,6000,1112,5,,,在冲刺路径留下圣焰，每秒造成65%灼烧伤害,
121205,灼烧之痕,6,1,,,,,0,1,39,8000,1112,6,,,在冲刺路径留下圣焰，每秒造成72%灼烧伤害,
121206,灼烧之痕,7,1,,,,,0,1,44,10000,1112,7,,,在冲刺路径留下圣焰，每秒造成79%灼烧伤害,
121207,灼烧之痕,8,1,,,,,0,1,49,12000,1112,8,,,在冲刺路径留下圣焰，每秒造成86%灼烧伤害,
121208,灼烧之痕,9,1,,,,,0,1,54,14000,1112,9,,,在冲刺路径留下圣焰，每秒造成93%灼烧伤害,
121209,灼烧之痕,10,1,,,,,0,1,59,16000,1112,10,,,在冲刺路径留下圣焰，每秒造成100%灼烧伤害,
131200,圣焰之盾,1,1,,,,,0,1,29,2000,1212,4,,,生成火焰盾环绕，对周围敌方单位造成每秒造成35%技能伤害,
131201,圣焰之盾,2,1,,,,,0,1,34,4000,1212,4,,,生成火焰盾环绕，对周围敌方单位造成每秒造成40%技能伤害,
131202,圣焰之盾,3,1,,,,,0,1,39,6000,1212,4,,,生成火焰盾环绕，对周围敌方单位造成每秒造成45%技能伤害,
131203,圣焰之盾,4,1,,,,,0,1,44,8000,1212,4,,,生成火焰盾环绕，对周围敌方单位造成每秒造成50%技能伤害,
131204,圣焰之盾,5,1,,,,,0,1,49,10000,1212,5,,,生成火焰盾环绕，对周围敌方单位造成每秒造成55%技能伤害,
131205,圣焰之盾,6,1,,,,,0,1,54,13000,1212,6,,,生成火焰盾环绕，对周围敌方单位造成每秒造成60%技能伤害,
131206,圣焰之盾,7,1,,,,,0,1,59,16000,1212,7,,,生成火焰盾环绕，对周围敌方单位造成每秒造成65%技能伤害,
131207,圣焰之盾,8,1,,,,,0,1,64,19000,1212,8,,,生成火焰盾环绕，对周围敌方单位造成每秒造成70%技能伤害,
131208,圣焰之盾,9,1,,,,,0,1,69,22000,1212,9,,,生成火焰盾环绕，对周围敌方单位造成每秒造成75%技能伤害,
131209,圣焰之盾,10,1,,,,,0,1,73,25000,1212,10,,,生成火焰盾环绕，对周围敌方单位造成每秒造成80%技能伤害,
111300,千丝束缚,1,1,0,4,"{""mp"":[55,0]}",30,0,1,12,800,1111,1,,,将周围敌人牵引到面前，并产生210%技能伤害,
111301,千丝束缚,2,1,0,4,"{""mp"":[60,0]}",30,0,1,15,1600,1111,2,,,将周围敌人牵引到面前，并产生220%技能伤害,
111302,千丝束缚,3,1,0,4,"{""mp"":[65,0]}",30,0,1,19,2400,1111,3,,,将周围敌人牵引到面前，并产生230%技能伤害,
111303,千丝束缚,4,1,0,4,"{""mp"":[70,0]}",30,0,1,23,3200,1111,4,,,将周围敌人牵引到面前，并产生240%技能伤害,
111304,千丝束缚,5,1,0,4,"{""mp"":[75,0]}",30,0,1,28,4000,1111,5,,,将周围敌人牵引到面前，并产生250%技能伤害,
111305,千丝束缚,6,1,0,4,"{""mp"":[80,0]}",30,0,1,33,5500,1111,6,,,将周围敌人牵引到面前，并产生260%技能伤害,
111306,千丝束缚,7,1,0,4,"{""mp"":[85,0]}",30,0,1,38,7000,1111,7,,,将周围敌人牵引到面前，并产生270%技能伤害,
111307,千丝束缚,8,1,0,4,"{""mp"":[90,0]}",30,0,1,43,8500,1111,8,,,将周围敌人牵引到面前，并产生280%技能伤害,
111308,千丝束缚,9,1,0,4,"{""mp"":[95,0]}",30,0,1,48,10000,1111,9,,,将周围敌人牵引到面前，并产生290%技能伤害,
111309,千丝束缚,10,1,0,4,"{""mp"":[100,0]}",30,0,1,53,12000,1111,10,,,将周围敌人牵引到面前，并产生300%技能伤害,
121300,万象封印,1,1,,,,,0,1,23,1600,1113,3,,,念动骑士咒语，对被牵引的敌人造成15%伤害加成，并降低对方33%技防,
121301,万象封印,2,1,,,,,0,1,28,3200,1113,3,,,念动骑士咒语，对被牵引的敌人造成30%伤害加成，并降低对方36%技防,
121302,万象封印,3,1,,,,,0,1,33,4800,1113,3,,,念动骑士咒语，对被牵引的敌人造成45%伤害加成，并降低对方39%技防,
121303,万象封印,4,1,,,,,0,1,38,6400,1113,4,,,念动骑士咒语，对被牵引的敌人造成60%伤害加成，并降低对方42%技防,
121304,万象封印,5,1,,,,,0,1,43,8000,1113,5,,,念动骑士咒语，对被牵引的敌人造成75%伤害加成，并降低对方45%技防,
121305,万象封印,6,1,,,,,0,1,48,11000,1113,6,,,念动骑士咒语，对被牵引的敌人造成90%伤害加成，并降低对方48%技防,
121306,万象封印,7,1,,,,,0,1,53,14000,1113,7,,,念动骑士咒语，对被牵引的敌人造成105%伤害加成，并降低对方51%技防,
121307,万象封印,8,1,,,,,0,1,58,17000,1113,8,,,念动骑士咒语，对被牵引的敌人造成120%伤害加成，并降低对方54%技防,
121308,万象封印,9,1,,,,,0,1,63,20000,1113,9,,,念动骑士咒语，对被牵引的敌人造成135%伤害加成，并降低对方57%技防,
121309,万象封印,10,1,,,,,0,1,68,24000,1113,10,,,念动骑士咒语，对被牵引的敌人造成150%伤害加成，并降低对方60%技防,
131300,雷神之锤,1,1,,3.5,,,0,1,38,3000,1213,4,,,发动雷神之力，对被牵引的敌人追加一次锤击，造成120%技能伤害,
131301,雷神之锤,2,1,,3.5,,,0,1,43,6000,1213,4,,,发动雷神之力，对被牵引的敌人追加一次锤击，造成140%技能伤害,
131302,雷神之锤,3,1,,3.5,,,0,1,48,9000,1213,4,,,发动雷神之力，对被牵引的敌人追加一次锤击，造成160%技能伤害,
131303,雷神之锤,4,1,,3.5,,,0,1,53,12000,1213,4,,,发动雷神之力，对被牵引的敌人追加一次锤击，造成180%技能伤害,
131304,雷神之锤,5,1,,3.5,,,0,1,58,15000,1213,5,,,发动雷神之力，对被牵引的敌人追加一次锤击，造成200%技能伤害,
131305,雷神之锤,6,1,,3.5,,,0,1,63,20000,1213,6,,,发动雷神之力，对被牵引的敌人追加一次锤击，造成220%技能伤害,
131306,雷神之锤,7,1,,3.5,,,0,1,68,25000,1213,7,,,发动雷神之力，对被牵引的敌人追加一次锤击，造成240%技能伤害,
131307,雷神之锤,8,1,,3.5,,,0,1,72,30000,1213,8,,,发动雷神之力，对被牵引的敌人追加一次锤击，造成260%技能伤害,
131308,雷神之锤,9,1,,3.5,,,0,1,76,35000,1213,9,,,发动雷神之力，对被牵引的敌人追加一次锤击，造成280%技能伤害,
131309,雷神之锤,10,1,,3.5,,,0,1,79,40000,1213,10,,,发动雷神之力，对被牵引的敌人追加一次锤击，造成300%技能伤害,
111400,审判之光,1,2,0,5,"{""mp"":[77,0]}",40,0,1,18,500,1111,1,,,对周围5米内敌人造成44%圣光伤害，持续5秒,
111401,审判之光,2,2,0,5,"{""mp"":[84,0]}",40,0,1,22,1000,1111,2,,,对周围5米内敌人造成48%圣光伤害，持续5秒,
111402,审判之光,3,2,0,5,"{""mp"":[91,0]}",40,0,1,27,1500,1111,3,,,对周围5米内敌人造成52%圣光伤害，持续5秒,
111403,审判之光,4,2,0,5,"{""mp"":[98,0]}",40,0,1,32,2000,1111,4,,,对周围5米内敌人造成56%圣光伤害，持续5秒,
111404,审判之光,5,2,0,5,"{""mp"":[105,0]}",40,0,1,37,2500,1111,5,,,对周围5米内敌人造成60%圣光伤害，持续5秒,
111405,审判之光,6,2,0,5,"{""mp"":[112,0]}",40,0,1,42,3000,1111,6,,,对周围5米内敌人造成64%圣光伤害，持续5秒,
111406,审判之光,7,2,0,5,"{""mp"":[119,0]}",40,0,1,47,3500,1111,7,,,对周围5米内敌人造成68%圣光伤害，持续5秒,
111407,审判之光,8,2,0,5,"{""mp"":[126,0]}",40,0,1,52,4000,1111,8,,,对周围5米内敌人造成72%圣光伤害，持续5秒,
111408,审判之光,9,2,0,5,"{""mp"":[133,0]}",40,0,1,57,4500,1111,9,,,对周围5米内敌人造成76%圣光伤害，持续5秒,
111409,审判之光,10,2,0,5,"{""mp"":[140,0]}",40,0,1,62,5000,1111,10,,,对周围5米内敌人造成80%圣光伤害，持续5秒,
121400,惩戒之光,1,1,,,,,0,1,32,1000,1114,3,,,对圣光内敌人造成减速，并有较小伤害加成，2级进一步提升效果,
121401,惩戒之光,2,1,,,,,0,1,37,2000,1114,3,,,对圣光内敌人造成减速，并有较小伤害加成，3级进一步提升效果,
121402,惩戒之光,3,1,,,,,0,1,42,3000,1114,3,,,对圣光内敌人造成减速，并有较小伤害加成，4级进一步提升效果,
121403,惩戒之光,4,1,,,,,0,1,47,4000,1114,4,,,对圣光内敌人造成减速，并有较小伤害加成，5级进一步提升效果,
121404,惩戒之光,5,1,,,,,0,1,52,5000,1114,5,,,对圣光内敌人造成减速，并有较小伤害加成，6级进一步提升效果,
121405,惩戒之光,6,1,,,,,0,1,57,6000,1114,6,,,对圣光内敌人造成减速，并有较小伤害加成，7级进一步提升效果,
121406,惩戒之光,7,1,,,,,0,1,62,7000,1114,7,,,对圣光内敌人造成减速，并有较小伤害加成，8级进一步提升效果,
121407,惩戒之光,8,1,,,,,0,1,67,8000,1114,8,,,对圣光内敌人造成减速，并有较小伤害加成，9级进一步提升效果,
121408,惩戒之光,9,1,,,,,0,1,71,9000,1114,9,,,对圣光内敌人造成减速，并有较小伤害加成，10级进一步提升效果,
121409,惩戒之光,10,1,,,,,0,1,75,10000,1114,10,,,对圣光内敌人造成减速，并有较小伤害加成,
131400,双重审判,1,1,,,,,0,1,47,1500,1214,4,,,延长0.5秒圣光持续时间,
131401,双重审判,2,1,,,,,0,1,52,3000,1214,4,,,增加4%圣光伤害加成,
131402,双重审判,3,1,,,,,0,1,57,4500,1214,4,,,延长1.0秒圣光持续时间,
131403,双重审判,4,1,,,,,0,1,62,6000,1214,4,,,增加8%圣光伤害加成,
131404,双重审判,5,1,,,,,0,1,67,7500,1214,5,,,延长1.5秒圣光持续时间,
131405,双重审判,6,1,,,,,0,1,71,9000,1214,6,,,增加12%圣光伤害加成,
131406,双重审判,7,1,,,,,0,1,75,10500,1214,7,,,延长2.0秒圣光持续时间,
131407,双重审判,8,1,,,,,0,1,78,12000,1214,8,,,增加16%圣光伤害加成,
131408,双重审判,9,1,,,,,0,1,81,13500,1214,9,,,延长2.5秒圣光持续时间,
131409,双重审判,10,1,,,,,0,1,83,15000,1214,10,,,增加20%圣光伤害加成,
111500,绝对神罚,1,1,0,6,"{""mp"":[66,0]}",40,0,1,26,500,1111,1,,,向前施放一道爆裂的圣光攻击，造成330%技能伤害,
111501,绝对神罚,2,1,0,6,"{""mp"":[72,0]}",40,0,1,31,1000,1111,2,,,向前施放一道爆裂的圣光攻击，造成360%技能伤害,
111502,绝对神罚,3,1,0,6,"{""mp"":[78,0]}",40,0,1,36,1500,1111,3,,,向前施放一道爆裂的圣光攻击，造成390%技能伤害,
111503,绝对神罚,4,1,0,6,"{""mp"":[84,0]}",40,0,1,41,2000,1111,4,,,向前施放一道爆裂的圣光攻击，造成420%技能伤害,
111504,绝对神罚,5,1,0,6,"{""mp"":[90,0]}",40,0,1,46,2500,1111,5,,,向前施放一道爆裂的圣光攻击，造成450%技能伤害,
111505,绝对神罚,6,1,0,6,"{""mp"":[96,0]}",40,0,1,51,3000,1111,6,,,向前施放一道爆裂的圣光攻击，造成480%技能伤害,
111506,绝对神罚,7,1,0,6,"{""mp"":[102,0]}",40,0,1,56,3500,1111,7,,,向前施放一道爆裂的圣光攻击，造成510%技能伤害,
111507,绝对神罚,8,1,0,6,"{""mp"":[108,0]}",40,0,1,61,4000,1111,8,,,向前施放一道爆裂的圣光攻击，造成540%技能伤害,
111508,绝对神罚,9,1,0,6,"{""mp"":[114,0]}",40,0,1,66,4500,1111,9,,,向前施放一道爆裂的圣光攻击，造成570%技能伤害,
111509,绝对神罚,10,1,0,6,"{""mp"":[120,0]}",40,0,1,70,5000,1111,10,,,向前施放一道爆裂的圣光攻击，造成600%技能伤害,
121500,绝对神盾,1,1,,,,,0,1,41,1000,1115,3,,,暂时获得神盾加护，增加50点韧性,
121501,绝对神盾,2,1,,,,,0,1,46,2000,1115,3,,,暂时获得神盾加护，增加100点韧性,
121502,绝对神盾,3,1,,,,,0,1,51,3000,1115,3,,,暂时获得神盾加护，增加150点韧性,
121503,绝对神盾,4,1,,,,,0,1,56,4000,1115,4,,,暂时获得神盾加护，增加200点韧性,
121504,绝对神盾,5,1,,,,,0,1,61,5000,1115,5,,,暂时获得神盾加护，增加250点韧性,
121505,绝对神盾,6,1,,,,,0,1,66,6000,1115,6,,,暂时获得神盾加护，增加300点韧性,
121506,绝对神盾,7,1,,,,,0,1,70,7000,1115,7,,,暂时获得神盾加护，增加350点韧性,
121507,绝对神盾,8,1,,,,,0,1,74,8000,1115,8,,,暂时获得神盾加护，增加400点韧性,
121508,绝对神盾,9,1,,,,,0,1,77,9000,1115,9,,,暂时获得神盾加护，增加450点韧性,
121509,绝对神盾,10,1,,,,,0,1,80,10000,1115,10,,,暂时获得神盾加护，增加500点韧性,
131500,绝对神威,1,1,,,,,0,1,56,1500,1215,4,,,暂时化为天神威压敌人，降低对方6.5%普攻,
131501,绝对神威,2,1,,,,,0,1,61,3000,1215,4,,,暂时化为天神威压敌人，降低对方8%普攻,
131502,绝对神威,3,1,,,,,0,1,66,4500,1215,4,,,暂时化为天神威压敌人，降低对方9.5%普攻,
131503,绝对神威,4,1,,,,,0,1,70,6000,1215,4,,,暂时化为天神威压敌人，降低对方11%普攻,
131504,绝对神威,5,1,,,,,0,1,74,7500,1215,5,,,暂时化为天神威压敌人，降低对方12.5%普攻,
131505,绝对神威,6,1,,,,,0,1,77,9000,1215,6,,,暂时化为天神威压敌人，降低对方14%普攻,
131506,绝对神威,7,1,,,,,0,1,80,10500,1215,7,,,暂时化为天神威压敌人，降低对方15.5%普攻,
131507,绝对神威,8,1,,,,,0,1,82,12000,1215,8,,,暂时化为天神威压敌人，降低对方17%普攻,
131508,绝对神威,9,1,,,,,0,1,84,13500,1215,9,,,暂时化为天神威压敌人，降低对方18.5%普攻,
131509,绝对神威,10,1,,,,,0,1,85,15000,1215,10,,,暂时化为天神威压敌人，降低对方20%普攻,
112000,圣天使之歌1级,1,6,0,6,"{""sp"":[1000,0]}",0,0,1,1,0,,,,,瞬间爆发全部神圣力量对敌人进行审判连击，最高可造成1530%技能伤害,
112001,圣天使之歌2级,2,6,0,6,"{""sp"":[1000,0]}",0,0,1,32,1000,,,,,瞬间爆发全部神圣力量对敌人进行审判连击，最高可造成1560%技能伤害,
112002,圣天使之歌3级,3,6,0,6,"{""sp"":[1000,0]}",0,0,1,33,2000,,,,,瞬间爆发全部神圣力量对敌人进行审判连击，最高可造成1590%技能伤害,
112003,圣天使之歌4级,4,6,0,6,"{""sp"":[1000,0]}",0,0,1,34,3000,,,,,瞬间爆发全部神圣力量对敌人进行审判连击，最高可造成1620%技能伤害,
112004,圣天使之歌5级,5,6,0,6,"{""sp"":[1000,0]}",0,0,1,35,4000,,,,,瞬间爆发全部神圣力量对敌人进行审判连击，最高可造成1650%技能伤害,
112005,圣天使之歌6级,6,6,0,6,"{""sp"":[1000,0]}",0,0,1,36,6000,,,,,瞬间爆发全部神圣力量对敌人进行审判连击，最高可造成1680%技能伤害,
112006,圣天使之歌7级,7,6,0,6,"{""sp"":[1000,0]}",0,0,1,37,8000,,,,,瞬间爆发全部神圣力量对敌人进行审判连击，最高可造成1710%技能伤害,
112007,圣天使之歌8级,8,6,0,6,"{""sp"":[1000,0]}",0,0,1,38,10000,,,,,瞬间爆发全部神圣力量对敌人进行审判连击，最高可造成1740%技能伤害,
112008,圣天使之歌9级,9,6,0,6,"{""sp"":[1000,0]}",0,0,1,39,12500,,,,,瞬间爆发全部神圣力量对敌人进行审判连击，最高可造成1770%技能伤害,
112009,圣天使之歌10级,10,6,0,6,"{""sp"":[1000,0]}",0,0,1,40,15000,,,,,瞬间爆发全部神圣力量对敌人进行审判连击，最高可造成1800%技能伤害,
112010,圣天使之歌11级,11,6,0,6,"{""sp"":[1000,0]}",0,0,1,41,17500,,,,,瞬间爆发全部神圣力量对敌人进行审判连击，最高可造成1830%技能伤害,
112011,圣天使之歌12级,12,6,0,6,"{""sp"":[1000,0]}",0,0,1,42,20000,,,,,瞬间爆发全部神圣力量对敌人进行审判连击，最高可造成1860%技能伤害,
112012,圣天使之歌13级,13,6,0,6,"{""sp"":[1000,0]}",0,0,1,43,22500,,,,,瞬间爆发全部神圣力量对敌人进行审判连击，最高可造成1890%技能伤害,
112013,圣天使之歌14级,14,6,0,6,"{""sp"":[1000,0]}",0,0,1,44,25000,,,,,瞬间爆发全部神圣力量对敌人进行审判连击，最高可造成1920%技能伤害,
112014,圣天使之歌15级,15,6,0,6,"{""sp"":[1000,0]}",0,0,1,45,27500,,,,,瞬间爆发全部神圣力量对敌人进行审判连击，最高可造成1950%技能伤害,
112015,圣天使之歌16级,16,6,0,6,"{""sp"":[1000,0]}",0,0,1,46,30000,,,,,瞬间爆发全部神圣力量对敌人进行审判连击，最高可造成1980%技能伤害,
112016,圣天使之歌17级,17,6,0,6,"{""sp"":[1000,0]}",0,0,1,47,35000,,,,,瞬间爆发全部神圣力量对敌人进行审判连击，最高可造成2010%技能伤害,
112017,圣天使之歌18级,18,6,0,6,"{""sp"":[1000,0]}",0,0,1,48,40000,,,,,瞬间爆发全部神圣力量对敌人进行审判连击，最高可造成2040%技能伤害,
112018,圣天使之歌19级,19,6,0,6,"{""sp"":[1000,0]}",0,0,1,49,45000,,,,,瞬间爆发全部神圣力量对敌人进行审判连击，最高可造成2070%技能伤害,
112019,圣天使之歌20级,20,6,0,6,"{""sp"":[1000,0]}",0,0,1,50,50000,,,,,瞬间爆发全部神圣力量对敌人进行审判连击，最高可造成2100%技能伤害,
112020,圣天使之歌21级,21,6,0,6,"{""sp"":[1000,0]}",0,0,1,51,55000,,,,,瞬间爆发全部神圣力量对敌人进行审判连击，最高可造成2130%技能伤害,
112021,圣天使之歌22级,22,6,0,6,"{""sp"":[1000,0]}",0,0,1,52,60000,,,,,瞬间爆发全部神圣力量对敌人进行审判连击，最高可造成2160%技能伤害,
112022,圣天使之歌23级,23,6,0,6,"{""sp"":[1000,0]}",0,0,1,53,65000,,,,,瞬间爆发全部神圣力量对敌人进行审判连击，最高可造成2190%技能伤害,
112023,圣天使之歌24级,24,6,0,6,"{""sp"":[1000,0]}",0,0,1,54,70000,,,,,瞬间爆发全部神圣力量对敌人进行审判连击，最高可造成2220%技能伤害,
112024,圣天使之歌25级,25,6,0,6,"{""sp"":[1000,0]}",0,0,1,55,75000,,,,,瞬间爆发全部神圣力量对敌人进行审判连击，最高可造成2250%技能伤害,
112025,圣天使之歌26级,26,6,0,6,"{""sp"":[1000,0]}",0,0,1,56,80000,,,,,瞬间爆发全部神圣力量对敌人进行审判连击，最高可造成2280%技能伤害,
112026,圣天使之歌27级,27,6,0,6,"{""sp"":[1000,0]}",0,0,1,57,85000,,,,,瞬间爆发全部神圣力量对敌人进行审判连击，最高可造成2310%技能伤害,
112027,圣天使之歌28级,28,6,0,6,"{""sp"":[1000,0]}",0,0,1,58,90000,,,,,瞬间爆发全部神圣力量对敌人进行审判连击，最高可造成2340%技能伤害,
112028,圣天使之歌29级,29,6,0,6,"{""sp"":[1000,0]}",0,0,1,59,95000,,,,,瞬间爆发全部神圣力量对敌人进行审判连击，最高可造成2370%技能伤害,
112029,圣天使之歌30级,30,6,0,6,"{""sp"":[1000,0]}",0,0,1,60,100000,,,,,瞬间爆发全部神圣力量对敌人进行审判连击，最高可造成2400%技能伤害,
112030,圣天使之歌31级,31,6,0,6,"{""sp"":[1000,0]}",0,0,1,61,110000,,,,,瞬间爆发全部神圣力量对敌人进行审判连击，最高可造成2430%技能伤害,
112031,圣天使之歌32级,32,6,0,6,"{""sp"":[1000,0]}",0,0,1,62,120000,,,,,瞬间爆发全部神圣力量对敌人进行审判连击，最高可造成2460%技能伤害,
112032,圣天使之歌33级,33,6,0,6,"{""sp"":[1000,0]}",0,0,1,63,130000,,,,,瞬间爆发全部神圣力量对敌人进行审判连击，最高可造成2490%技能伤害,
112033,圣天使之歌34级,34,6,0,6,"{""sp"":[1000,0]}",0,0,1,64,140000,,,,,瞬间爆发全部神圣力量对敌人进行审判连击，最高可造成2520%技能伤害,
112034,圣天使之歌35级,35,6,0,6,"{""sp"":[1000,0]}",0,0,1,65,150000,,,,,瞬间爆发全部神圣力量对敌人进行审判连击，最高可造成2550%技能伤害,
