id,asset,bind1,downloadLevel,offset1,bind2,offset2,scale,follow,dura,desc,endRow,,
43,System_Refine_Cl002,,,,,,1,,3,精炼宝石成功时的文字特效,,,
44,System_OfficerUp_Cl001,,,,,,1,,3,副官进阶成功时的文字特效,,,
45,Hit_HolyCure_DCQ001,,,,,,0.78,,2,开关门关门的特效,,,
46,System_Revive_Cl001,,,,,,1,,3,玩家复活特效,,,
47,System_ScreenRed_TL001,,,,,,1,,-1,重伤时播的屏幕泛红特效,,,
48,Hit_RowBoss_Cl001,,,,,,1,,1.5,划Boss时比较重的受击特效,,,
50,System_DarkGate_Cl001,,,,,,1,,1.5,召唤门持续,,,
51,System_DarkGate_Cl002,,,,,,1,,2,召唤门结束,,,
52,System_ChuanSongMen_DCQ003,,,,,,1,,-1,主城之间传送用的传送门,,,
53,System_ChuanSongMen_DCQ004,,,,,,1,,-1,传送到关卡的传送门,,,
54,System_PickUp_Cl004B,,,,,,1,,-1,玩家移动到场景掉落的恢复血量道具附近时会变成的红色小球特效,,,
55,System_PickUp_Cl004C,,,,,,1,,2,玩家移动到场景掉落的恢复血量道具附近时红色小球飞到身上爆开的特效,,,
56,System_PickUp_Cl003B,,,,,,1,,-1,玩家移动到场景掉落的恢复MP道具附近时会变成的蓝色小球特效,,,
57,System_PickUp_Cl003C,,,,,,1,,2,玩家移动到场景掉落的恢复MP道具附近时蓝色小球飞到身上爆开的特效,,,
58,System_PickUp_Cl001B,,,,,,1,,-1,玩家移动到场景掉落的增加怒气道具附近时会变成的红色小球特效,,,
59,System_PickUp_Cl001C,,,,,,1,,2,玩家移动到场景掉落的增加怒气道具附近时红色小球飞到身上爆开的特效,,,
60,System_FunctionOpen_DCQ001A,,,,,,1,,-1,功能开启时屏幕变黑后播的发光特效,,,
61,System_FunctionOpen_DCQ001B,,,,,,1,,-1,功能开启时要飘向开启的图标时的轨迹特效,,,
62,System_GuideFrame_DCQ006,,,,,,1.4,,-1,提示vip勋章用的特效,,,
64,System_GuideFinger_DCQ003,,,,,,1,,-1,向外扩展的手势及方向指引,,,
65,System_GuideFinger_DCQ004,,,,,,1,,-1,向内收缩的手势及方向指引,,,
66,System_GuideFinger_DCQ005,,,,,,1,,-1,表示点击的手势,,,
67,System_GuideFrame_DCQ001,,,,,,1,,-1,方形提示点击的不完全闭合的边框特效,,,
68,System_GuideFrame_DCQ002,,,,,,1,,-1,圆形提示点击的边框特效,,,
69,System_GetNew_DCQ001,,,,,,1,,-1,获得道具后刚打开背包时道具上播的特效,,,
70,System_FightStart_DCQ001,,,,,,1,,2,战斗开始时播的特效,,,
71,System_ComboReady_DCQ001,,,,,,1,,-1,无双技可释放时图标上显示的特效,,,
72,System_SkillUp_DCQ001,,,,,,1,,1.5,技能升级时图标上的及装备符文放上无双技槽上的特效,,,
73,System_SkillUnlock_DCQ001,,,,,,1,,1,技能解锁时图标上的特效,,,
74,System_GuideFrame_DCQ003,,,,,,1,,-1,提示获得总星数用的特效,,,
75,System_GuideFrame_DCQ005,,,,,,1,,-1,充值福利面板上在道具图标边框上闪烁的跑马灯特效,,,
76,System_ItemUse_DCQ001,,,,,,1,,1.5,道具使用时图标上播的特效,,,
77,System_Flash_DCQ001,,,,,,1,,2,玩家召唤侍魂时撞至右边屏幕时的屏幕亮光特效,,,
78,System_EquipQuality_DCQ001,,,,,,1,,-1,蓝色品质装备上播的环绕特效,,,
79,System_EquipQuality_DCQ002,,,,,,1,,-1,紫色品质装备上播的环绕特效,,,
80,System_EquipQuality_DCQ003,,,,,,1,,-1,红色品质装备上播的环绕特效,,,
81,System_EquipQuality_DCQ004,,,,,,1,,-1,橙色品质装备上播的环绕特效,,,
82,System_Perfect_Cl001,,,,,,1,,-1,完美装备图标特效,,,
83,System_ShowDirection_DCQ002,,,,,,1,,-1,带go标识的以玩家为原点始终指向玩家当前目标方向的特效,,,
84,System_Practice_DCQ001,,,,,,1,,1.3,历练特效,,,
85,System_FunctionOpen_DCQ002,,,,,,1,,-1,战斗结算获得道具的闪光特效,,,
86,Object_BoxLight_DCQ001,,,,,,1,,-1,银宝箱,,,
87,Object_BoxLight_DCQ002,,,,,,1,,-1,金宝箱,,,
88,Object_BoxLight_DCQ003,,,,,,1,,-1,木宝箱,,,
89,Object_BagLight_DCQ001,,,,,,1,,-1,小布袋包裹,,,
90,Object_PotionLight_DCQ001,,,,,,1,,-1,蓝药瓶,,,
91,Object_PotionLight_DCQ002,,,,,,1,,-1,红药瓶,,,
92,Object_ScrollLight_DCQ001,,,,,,1,,-1,普通卷轴,,,
93,Object_ScrollLight_DCQ002,,,,,,1,,-1,珍贵卷轴,,,
94,Object_MarrowLight_DCQ001,,,,,,1,,-1,普通精华,,,
95,Object_MarrowLight_DCQ002,,,,,,1,,-1,珍贵精华,,,
96,Object_GoldLight_DCQ001,,,,,,1,,-1,金币袋,,,
97,Object_GoldLight_DCQ002,,,,,,1,,-1,散落的金币,,,
98,System_Dailytodo_DCQ001,,,,,,1,,1,维纳斯祝福将爱心桃移到爱心槽内时发出的心形特效,,,
99,System_EquipQuality_DCQ004,,,,,,0.8,,-1,每日签到上用的图标环绕特效,,,
100,Hit_SpatteringBlood_DCQ001,,,,,,1,,1.2,死亡时溅血变肉块的特效,,,
101,Altar_Expget_DCQ001,,,,,,1,,-1,能量汇聚时的特效颜色1,,,
102,Altar_Expget_DCQ002,,,,,,1,,-1,能量汇聚时的特效颜色2,,,
103,Altar_Expget_DCQ003,,,,,,1,,-1,能量汇聚时的特效颜色3,,,
104,Altar_Expget_DCQ004,,,,,,1,,-1,能量汇聚时的特效颜色4,,,
108,Altar_Finish_DCQ001,,,,,,1,,-1,能量聚满时的特效颜色1,,,
109,Altar_Finish_DCQ002,,,,,,1,,-1,能量聚满时的特效颜色2,,,
110,Altar_Finish_DCQ003,,,,,,1,,-1,能量聚满时的特效颜色3,,,
111,Altar_Finish_DCQ004,,,,,,1,,-1,能量聚满时的特效颜色4,,,
115,Altar_Upgrade_DCQ001,,,,,,1,,1,远古神坛升级时的特效1,,,
116,Altar_Upgrade_DCQ002,,,,,,1,,1,远古神坛升级时的特效2,,,
117,Altar_Upgrade_DCQ003,,,,,,1,,1,远古神坛升级时的特效3,,,
118,Altar_Upgrade_DCQ004,,,,,,1,,1,远古神坛升级时的特效4,,,
1001,Cast_SwordFlash_Cl001,,,"[0,0,-0.5]",,,1,1,0.5000001,从右上往左下的普通刀光,,,
1002,Cast_SwordFlash_Cl002,,,,,,1,1,0.4,从左下往右上的普通刀光,,,
1003,Cast_SwordFlash_Cl003,,,,,,1,1,3,往水平面前方飞出的普通刀光,,,
1004,Cast_SwordFlash_Cl004,,,,,,1,0,3,向前刺的普通刀光,,,
1005,Cast_BlastWave_Cl002,,,,,,0.7,0,0.3166667,脚下爆气,,,
1008,Cast_FireWall_Cl001,,,,,,1,,2,火圈,,,
1009,Cast_SwordRain_Cl001,,,,,,1,1,-1,剑雨,,,
1030,Cast_WarriorShow_DCQ001,,,,,,1,,4,狂战登陆界面演示特效,,,
1031,Cast_WindSlash_Cl001,,,,,,1,1,-1,狂战旋风斩,,,
1032,Cast_DashSlash_DCQ001A,,,,,,1,1,0.28,狂战冲斩冲刺,,,
1033,Cast_Stamp_Cl001,,,,,,1.5,,3,狂战踱地,,,
1034,Cast_DashSlash_DCQ001B,,,"[0,0,-4]",,,1,1,1.8,狂战冲斩的刀光,,,
1036,Cast_Blast_DCQ001,,,"[0,0.5,2]",,,1,0,3.478952,狂战普攻加强技能,,,
1037,Cast_GroundSpilt_DCQ001,,,"[0,0.2,1.1]",,,1.3,,1.988037,狂战跳起击地,,,
1038,Cast_GroundSpilt_Cl002,,,,,,1,0,3,狂战跳起击地后产生的吸力,,,
1039,Cast_WarriorAttack_Cl001,,,"[0,0,-1]",,,1,1,1.4,狂战普通攻击第一段的刀光,,,
1040,Cast_WarriorAttack_Cl002,,,"[0,0,-1]",,,1,1,0.6,狂战普通攻击第二段的刀光,,,
1041,Cast_WarriorAttack_Cl003,,,"[0,0,-3.5]",,,1,1,0.606781,狂战普通攻击第三段的刀光,,,
1042,Cast_WarriorAttack_Cl004,,,"[0,0,-4]",,,1,,1.5,狂战普通攻击第四段的刀光,,,
1043,Cast_WarriorCombo_Cl001,,,,,,1,1,1.802155,狂战无双技第一段的刀光,,,
1044,Cast_WarriorCombo_Cl002,,,"[0,0,-2]",,,1,1,0.8944244,狂战无双技第二段的刀光,,,
1045,Cast_WarriorCombo_Cl003,,,"[0,0,-2]",,,1,1,0.8838501,狂战无双技第三段的刀光,,,
1046,Cast_WarriorCombo_Cl004,,,"[0,0,-5]",,,1,1,0.831543,狂战无双技第四段的刀光,,,
1047,Cast_WarriorCombo_Cl005,,,"[0,0,-5]",,,1,1,1.227783,狂战无双技第五段的刀光,,,
1048,Cast_WarriorCombo_Cl006,,,"[0,0,-8]",,,1,1,3,狂战无双技第六段的刀光,,,
1060,Cast_KnightShow_DCQ001,,,,,,1,,4,圣骑登陆界面演示特效,,,
1061,Cast_HolySlash_DCQ001,,,,,,1,,1.000244,圣骑普攻加强特效,,,
1062,Cast_Draw_DCQ001,,,,,,1,,3.256111,圣骑拉人技能的第一阶段特效,,,
1063,Cast_Draw_DCQ002,,,,,,1,,3.695259,圣骑拉人技能的第二阶段特效,,,
1064,Cast_HolyDash_DCQ001,,,"[0,0,-3]",,,1,1,1,圣骑神圣冲刺的特效,,,
1065,Cast_FullBlast_Cl001B,,,,,,1,,-1,圣骑释放奋力一击技能时的蓄力特效,,,
1066,Cast_HolyAttack_DCQ001A,,,,,,1.3,,2.485575,圣骑释放奋力一击2,,,
1067,Cast_HolyLight_DCQ002B,,,,,,1,,-1,圣光沐浴持续特效,,,
1068,Cast_HolyLight_DCQ001A,,,,,,1,,2.648682,圣光沐浴释放特效,,,
1069,Cast_HolyDash_DCQ002,,,,,,1,,3.7,圣骑神圣冲刺残留的伤害特效,,,
1070,Cast_KnightAttack_DCQ001,,,,,,1,1,0.8283081,圣骑普攻1刀光,,,
1071,Cast_KnightAttack_DCQ002,,,,,,1,1,0.8283157,圣骑普攻2刀光,,,
1072,Cast_KnightAttack_DCQ003,,,,,,1,1,0.993988,圣骑普攻3刀光,,,
1073,Cast_KnightAttack_DCQ004,,,"[0,0,-3.5]",,,1,1,1.325302,圣骑普攻4刀光,,,
1074,Cast_KnightCombo_DCQ001,,,,,,1,,1.162816,圣骑无双技特效第一段,,,
1075,Cast_KnightCombo_DCQ002,,,"[0,0,-0.06]",,,1,,1.341591,圣骑无双技特效第二段,,,
1076,Cast_KnightCombo_DCQ003,,,"[0,0,-2.5]",,,1,,1.493896,圣骑无双技特效第三段,,,
1077,Cast_KnightCombo_DCQ004,,,"[0,0,-3.46]",,,1,,0.8283157,圣骑无双技特效第四段,,,
1078,Cast_KnightCombo_DCQ005,,,"[0,0,-4]",,,1,,1.325317,圣骑无双技特效第五段,,,
1079,Cast_KnightCombo_DCQ006,,,"[0,0,-6.4]",,,1,,1.526688,圣骑无双技特效第六段,,,
1090,Cast_RunnerShow_DCQ001,,,,,,1,,4,魔剑登陆界面演示特效,,,
1091,Bullet_ZeroBall_DCQ002C,,,"[0,1,0]",,,1,,0.8585815,魔剑零点追击用子弹特效爆炸时表现,,,
1092,Cast_AOESlowDown_DCQ001,,,,,,1,,1.688904,魔剑范围沉默技能的释放特效,,,
1093,Cast_Escape_DCQ001,,,,,,1,,1.156891,魔剑攻击回退技能的释放特效,,,
1094,Cast_Dash_DCQ002,,,,,,1,1,0.7,魔剑2连冲技能的释放特效,,,
1097,Cast_RunnerAttack_DCQ001,,,,,,1,,0.7071381,魔剑普通攻击第一段的刀光,,,
1098,Cast_RunnerAttack_DCQ002,,,"[0,0,-1.1]",,,1,,0.5154266,魔剑普通攻击第二段的刀光,,,
1099,Cast_RunnerAttack_DCQ003,,,"[0,0,-2.47]",,,1,,0.8303375,魔剑普通攻击第三段的刀光,,,
1100,Cast_RunnerAttack_DCQ004,,,"[0,0,-3.78]",,,1,,1.268311,魔剑普通攻击第四段的刀光,,,
1101,Cast_RunnerCombo_DCQ001,,,,,,1,,1.159668,魔剑无双技特效第一段,,,
1102,Cast_RunnerCombo_DCQ002,,,"[0,0,0.54]",,,1,,1.159576,魔剑无双技特效第二段,,,
1103,Cast_RunnerCombo_DCQ003,,,"[0,0,-2.47]",,,1,,1.159668,魔剑无双技特效第三段,,,
1104,Cast_RunnerCombo_DCQ004,,,"[0,0,-6.11]",,,1,,0.993988,魔剑无双技特效第四段,,,
1105,Cast_RunnerCombo_DCQ005,,,"[0,0,-4.41]",,,1,,1.102539,魔剑无双技特效第五段,,,
1106,Cast_RunnerCombo_DCQ006,,,"[0,0,-3.22]",,,1,,3,魔剑无双技特效第六段,,,
1107,Cast_ZeroBall_DCQ002,,,,,,1,1,1.325317,魔剑零点追击技能的释放特效,,,
1108,Cast_Escape_DCQ002,,,,,,1,1,0.6751709,魔剑飞剑爆炸,,,
1200,Cast_MagicalAoe_DCQ001,,,,,,0.833,,1.309494,狼人的范围攻击特效,,,
1201,Cast_BlastWave_Cl002,,,,,,0.8,0,1.5,狼人跳跃双爪击爆气特效,,,
1202,Cast_Stamp_Cl001,,,,,,0.8,,1.5,狼人跳跃双爪击爆气特效,,,
1203,Cast_Claw_Cl001,,,,,,0.8,0,1.5,狼人双爪击释放特效,,,
1204,Cast_Dash_DCQ001,Bullet,,"[0,0.5,0]",,,1,1,0.767,狼人冲锋,,,
1205,Cast_Claw_Cl002,,,,,,1,0,1.37122,狼人左爪击释放特效,,,
1206,Cast_Claw_Cl003,,,,,,1,0,1.162773,狼人右爪击释放特效,,,
1207,Cast_Claw_Cl004,,,,,,1,1,1.5,狼人双爪击释放特效2,,,
1208,Cast_PoisonGas_Cl001,Bullet,,"[0,0.1,0]",,,1,1,-1,巫师召唤用特效区域,,,
1209,Cast_CurseGate_Cl001,Bullet,,,,,1.5,1,-1,巫师召唤用诅咒之门,,,
1345,Cast_SlashCombo_DCQ001,,,,,,1,,2.627716,阿伽门农连斩特效第一段,,,
1346,Cast_SlashCombo_DCQ002,,,"[0,0,2]",,,1,,2.755615,阿伽门农连斩特效第二段,,,
1347,Cast_IceDash_DCQ001A,RWeapon,,,,,1,1,-1,阿伽门农冲刺技能特效武器,,,
1348,Cast_IceDash_DCQ001A_01,,,,,,1,,-1,阿伽门农冲刺技能特效原点,,,
1349,Cast_IceDash_DCQ001B,,,,,,1,,5.020752,阿伽门农冲刺技能特效原点,,,
1350,Cast_IceDash_DCQ002B,,,,,,1,1,-1,阿伽门农冲刺技能特效,,,
1351,Cast_BlastWave_Cl002,,,"[0,1,0]",,,1,0,1.5,魔龙脚掌拍下后产生的爆气,,,
1358,Cast_PhantomSword_Cl001,,,,,,1,,-1,游侠冲锋的残剑幻影特效,,,
1359,Cast_Boom_Cl002,,,,,,1,,3,游侠冲锋结束时残剑的爆炸特效,,,
1360,Cast_Sting_Cl002,Chest,,,,,1,,3,游侠刺剑时的气劲特效,,,
1361,Cast_PhantomSword_Cl002,,,,,,1,,5,游侠(西西弗斯)召唤魔剑下落的特效,,,
1370,Cast_Prepare_DCQ001,,,,,,1,,-1,海伦的范围蓄力攻击特效,,,
1371,Cast_MagicalAoe_DCQ001,,,,,,1,,1.309494,海伦的范围攻击特效,,,
1372,Cast_Prepare_DCQ002,,,,,,1,,-1,海伦蓄力柱形范围攻击蓄力阶段,,,
1373,Cast_SlashCanon_DCQ002,,,,,,0.8,1,1.325317,海伦的魔力光束特效,,,
1374,Bullet_MagicBall_DCQ002C,,,"[0,1,0]",,,2,1,0.8283081,海伦释放范围魔球技能时爆炸时的特效,,,
1375,Cast_MagicalAoe_DCQ001B,RWeapon,,,,,1,,-1,海伦释放范围魔球技能时蓄力时的特效,,,
1376,Cast_SlashCanon_DCQ002,,,,,,1,1,1.325317,海伦的魔力光束特效,,,
1381,Cast_Boom_DCQ006,,,,,,1,1,0.8769836,阿喀琉斯剑气炸开的特效,,,
1382,Cast_DashSlash_DCQ001,,,"[0,0,-2]",,,1,,1.231125,阿喀琉斯冲刺跳斩的特效,,,
1383,Cast_ShieldSlash_DCQ001B,,,,,,1,,-1,阿喀琉斯剑盾合一蓄力时的循环特效,,,
1384,Cast_ShieldSlash_DCQ001C,,,,,,1,,1.36084,阿喀琉斯剑盾合一技能武器劈下时产生伤害的特效,,,
1385,Cast_HandSmash_DCQ001,Bullet,,,,,1,1,1,邪恶的英灵魔爪下落的特效,,,
1386,Cast_DevilHand_DCQ001A,,,,,,1,,-1,邪恶的英灵魔爪群现魔法阵的特效,,,
1387,Cast_DevilHand_DCQ001B,,,,,,1,,1,邪恶的英灵魔爪群现的特效,,,
1388,Cast_PoisonArea_DCQ001,Bullet,,,,,1,1,-1,邪恶的英灵毒沼的特效,,,
1389,Cast_HyperSlash_DCQ001A,RWeapon,,,,,1,1,0.8,丧尸英雄王直线斩武器,,,
1390,Cast_HyperSlash_DCQ001B,,,,,,1,,0.8283195,丧尸英雄王直线斩身上,,,
1391,Cast_WindSlash_DCQ001,,,,,,1.5,1,-1,丧尸英雄王旋风斩的特效,,,
1392,Cast_HyperSlash_DCQ001C,,,"[0,0,4]",,,1,,3.000065,丧尸英雄王直线斩的特效,,,
1393,Cast_GeneralCombo_DCQ001,RWeapon,,,,,1,1,1.131,丧尸英雄王Combo的蓄力,,,
1394,Cast_GeneralCombo_DCQ002,,,"[0,0,-2]",,,1,,7.880859,丧尸英雄王Combo的刀光,,,
1395,Cast_GeneralCombo_DCQ003,,,"[0,0,2]",,,1,,2.650391,丧尸英雄王Combo的收尾,,,
1396,Cast_Boom_DCQ006,,,,,"[0,-0.5,0]",1.5,1,1.003418,神祗召唤火焰幽灵时的爆炸特效,,,
1397,Bullet_ZeroBall_DCQ002C,,,"[0,1.5,0]",,,1,1,0.7937012,神祗召唤暗影幽灵时的爆炸特效,,,
1400,Cast_OfficerChange_Cl001,,,,,,1,1,3,进入战斗场景时英灵变成实体副官形象时所播的特效,,,
1401,Cast_BlastWave_Cl002,,,"[0,1,0]",,,1,,1.5,魔龙脚掌拍下后产生的爆气,,,
1402,Cast_Cannon_Cl002A,Head,,,,,1,1,2.529,魔龙发出能量炮时嘴上所携带的汇聚能量球,,,
1403,Cast_Cannon_Cl002B,Head,,"[0,1.8,7]",,,1,,3.975891,魔龙发出的能量炮,,,
1404,Cast_Dash_Cl004,,,,,,1,1,-1,魔龙冲刺,,,
1405,Cast_FireRoad_Cl001,,,,,,1,0,8,魔龙冲刺时产生的火路,,,
1406,Cast_BallDown_Cl001A,,,"[0,4,6]",,,1,1,2.816406,魔龙吐息时嘴上吐火的特效,,,
1407,Cast_BallDown_Cl001B,,,"[0,0.2,0]",,,1,1,-1,魔龙吐息时产生的喷火特效,,,
1408,Cast_BallDown_Cl001C,,,,,,1,1,3,魔龙吐息时的火球掉落特效,,,
1409,Cast_Fire_DCQ001,,,,,,1,,3.736938,魔龙喷火的特效,,,
1410,Cast_SwordFlash_DCQ011,,,,,,1,,0.8915176,战斗雅典娜普攻刀光1,,,
1411,Cast_SwordFlash_DCQ012,,,"[0,0,-1.154]",,,1,,0.787715,战斗雅典娜普攻刀光2,,,
1412,Cast_HolyCure_DCQDCQ001,,,,,,1,,1.6,战斗雅典娜圣疗术特效,,,
1413,Cast_HolyDefense_DCQ001,,,,,,1,,1.854492,战斗雅典娜圣盾术特效,,,
1414,Cast_HolyBlast_DCQ001A,,,,,,1,1,0.6626587,战斗雅典娜圣光审判1,,,
1415,Cast_HolyBlast_DCQ001B,,,,,,1,1,-1,战斗雅典娜圣光审判2,,,
1416,Cast_HolyBlast_DCQ001C,,,,,,1,,0.8,战斗雅典娜圣光审判3,,,
1417,Cast_PhantomSword_Cl002,,,,,,1,1,3.398071,游侠召唤魔剑下落的特效,,,
1418,Cast_Dash_DCQ001,,,"[0,0.5,0]",,,1,1,0.5,游侠冲锋特效,,,
1419,Cast_Sting_Cl002,,,"[0,1.5,0]",,,1,1,0.8005981,游侠冲锋刺击特效,,,
1420,Cast_BallDown_Cl001B,,,"[0,0.2,0]",,,1,1,-1,游侠召唤魔剑下落的阴影特效,,,
1421,Cast_Boom_DCQ004,,,"[0,1.2,0]",,,0.8,1,1.116133,邪恶的英灵普通攻击法球的爆炸特效,,,
1425,Cast_DevilHand_DCQ001A,,,,,,1,,1.167,路西法魔爪群现蓄力,,,
1426,Cast_DevilHand_DCQ001B,,,,,,1,,1,路西法魔爪群现,,,
1430,Cast_HyperSlash_DCQ001A,RWeapon,,,,,1,1,0.8,丧尸英雄王直线斩武器,,,
1431,Cast_HyperSlash_DCQ001B,,,,,,1,,0.8283195,丧尸英雄王直线斩身上,,,
1432,Cast_HyperSlash_DCQ001C,,,"[0,0,2.5]",,,1,,3.000065,丧尸英雄王直线斩的特效,,,
1433,Cast_WindSlash_DCQ001,,,,,,1.5,1,-1,丧尸英雄王旋风斩的特效,,,
1434,Cast_GeneralCombo_DCQ001,RWeapon,,,,,1,1,1.131,丧尸英雄王Combo的蓄力,,,
1435,Cast_ZombieKingCombo_DCQ001,,,"[0,0,-1]",,,1,1,0.8301239,丧尸英雄王Combo1,,,
1436,Cast_ZombieKingCombo_DCQ002,,,"[0,0,-3]",,,1,1,0.8283234,丧尸英雄王Combo2,,,
1437,Buff_Angry_CL001,Chest,,,,,2,1,-1,路西法激光炮蓄力阶段,,,
1438,Cast_SlashCanon_DCQ002,,,"[0,0.3,-1.5]",,,1,,1.32431,路西法激光炮释放阶段,,,
1439,Cast_Crack_Cl001,,,"[0,0,1]",,,1.5,,2.762207,远征军守卫天崩地裂,,,
1440,Cast_Rock_Cl001,,,"[0,0.2,-1.5]",,,1,,3.147598,远征军守卫召唤地岩,,,
1441,Cast_PoisonGas_DCQ002,,,"[0,0.2,0]",,,1,,-1,魔蛛召唤出来的毒沼,,,
1446,Cast_ShockWave_DCQ001C,,,,,,1.5,,1.400879,赤炎蝎子发出的震动波,,,
1447,Cast_ScorpionDash_DCQ001B,,,"[0,0.4,0]",,,1,1,4.490997,赤炎蝎子赤炎沟壑,,,
1448,Cast_ScorpionDash_DCQ001C,,,,,,1,,1.913452,赤炎蝎子赤炎沟壑火炎,,,
1451,Cast_Zombie01Attack_DCQ001,,,"[0,0,-1]",,,1,1,0.7978516,丧尸傀儡普通攻击1,,,
1452,Cast_Zombie01Attack_DCQ002,,,"[0,0,-1]",,,1,1,2.273804,丧尸傀儡普通攻击2,,,
1455,Cast_FireRoad_DCQ002B,Head,,,,,1,1,2.319241,沙虫开始喷火,,,
1456,Cast_FireRoad_DCQ002B,Head,,,,,1,1,-1,沙虫喷火火焰,,,
1457,Cast_FireArea_DCQ001,,,"[0,0.2,0]",,,1,,3,沙虫吐出的岩浆区域,,,
1458,Cast_ScorpionDash_DCQ002A,,,,,,1,1,0.9474792,沙虫开始冲锋,,,
1459,Cast_ScorpionDash_DCQ002B,,,,,,1,1,-1,沙虫冲锋,,,
1460,Cast_ScorpionDash_DCQ002A,,,,,,1,1,0.8262634,沙虫结束冲锋,,,
1461,Cast_Boom_DCQ006,,,,,,1,,0.8563843,哥布林炸弹爆炸,,,
1465,Cast_ZombieKingCombo_DCQ003,,,"[0,0,-4]",,,1,1,0.6626587,丧尸英雄王Combo3,,,
1466,Cast_ZombieKingCombo_DCQ004,,,"[0,0,-6]",,,1,1,2.989471,丧尸英雄王Combo4,,,
1470,Cast_IceAoe_DCQ001,,,,,,1,1,-1,海伦寒冰爆发的蓄力特效,,,
