id,IconId,Task,Time,Reward1,Reward2,Do,Guide,endRow,,,,
250014,1702008,联盟捐献,1,"{""type"":4,""num"":6000}","{""type"":3,""num"":10}",17,0,,,,,
250015,1702011,参与炼狱,1,"{""type"":4,""num"":8000}","{""type"":3,""num"":10}",13,0,,,,,
250016,1407003,进行神之财宝,3,"{""type"":4,""num"":8000}","{""type"":3,""num"":15}",30,0,,,,,
250017,1704001,购买体力,1,"{""type"":4,""num"":8000}","{""type"":3,""num"":15}",28,0,,,,,
250018,1407001,联盟祈福,1,"{""type"":4,""num"":6000}","{""type"":3,""num"":10}",29,0,,,,,
250019,1702011,参与深渊巢穴,1,"{""type"":4,""num"":8000}","{""type"":3,""num"":10}",11,0,,,,,
250020,1702014,每天签到,1,"{""type"":4,""num"":4000}","{""type"":3,""num"":5}",19,0,,,,,
300001,1702014,获得维纳斯祝福,1,"{""type"":4,""num"":6000}","{""type"":3,""num"":5}",3,0,,,,,
300002,1702011,战功兑换物品,1,"{""type"":4,""num"":7000}","{""type"":3,""num"":5}",25,0,,,,,
300003,1702007,召唤神灵,10,"{""type"":4,""num"":12000}","{""type"":3,""num"":15}",5,0,,,,,
300004,1704003,融合神灵,3,"{""type"":4,""num"":5000}","{""type"":3,""num"":5}",6,0,,,,,
300005,1704003,使用时光匙,1,"{""type"":4,""num"":6000}","{""type"":3,""num"":5}",7,0,,,,,
300006,1702003,挑战任意精英副本,2,"{""type"":4,""num"":9000}","{""type"":3,""num"":10}",31,0,,,,,
300007,1702020,探险,6,"{""type"":4,""num"":9000}","{""type"":3,""num"":15}",26,0,,,,,
300008,1407002,累计消耗金币,50000,"{""type"":4,""num"":9000}","{""type"":3,""num"":10}",20,0,,,,,
300009,1704001,进行任意副本历练,3,"{""type"":4,""num"":7000}","{""type"":3,""num"":5}",27,0,,,,,
300010,1704002,参与排位赛,3,"{""type"":4,""num"":9000}","{""type"":3,""num"":10}",10,0,,,,,
300011,1702011,排位赛领取战功,1000,"{""type"":4,""num"":9000}","{""type"":3,""num"":15}",24,0,,,,,
300012,1408106,累计消耗钻石,10,"{""type"":4,""num"":12000}","{""type"":3,""num"":15}",21,0,,,,,
300013,1704001,累计消耗体力,150,"{""type"":4,""num"":9000}","{""type"":3,""num"":10}",22,0,,,,,
300014,1702008,联盟捐献,1,"{""type"":4,""num"":9000}","{""type"":3,""num"":10}",17,0,,,,,
300015,1702011,参与炼狱,1,"{""type"":4,""num"":11000}","{""type"":3,""num"":10}",13,0,,,,,
300016,1407003,进行神之财宝,3,"{""type"":4,""num"":12000}","{""type"":3,""num"":15}",30,0,,,,,
300017,1704001,购买体力,1,"{""type"":4,""num"":12000}","{""type"":3,""num"":15}",28,0,,,,,
300018,1407001,联盟祈福,1,"{""type"":4,""num"":9000}","{""type"":3,""num"":10}",29,0,,,,,
300019,1702011,参与深渊巢穴,1,"{""type"":4,""num"":12000}","{""type"":3,""num"":10}",11,0,,,,,
300020,1702014,每天签到,1,"{""type"":4,""num"":6000}","{""type"":3,""num"":5}",19,0,,,,,
350001,1702014,获得维纳斯祝福,1,"{""type"":4,""num"":8000}","{""type"":3,""num"":5}",3,0,,,,,
350002,1702011,战功兑换物品,1,"{""type"":4,""num"":10000}","{""type"":3,""num"":5}",25,0,,,,,
350003,1702007,召唤神灵,10,"{""type"":4,""num"":16000}","{""type"":3,""num"":15}",5,0,,,,,
350004,1704003,融合神灵,3,"{""type"":4,""num"":6000}","{""type"":3,""num"":5}",6,0,,,,,
350005,1704003,使用时光匙,1,"{""type"":4,""num"":8000}","{""type"":3,""num"":5}",7,0,,,,,
350006,1702003,挑战任意精英副本,2,"{""type"":4,""num"":12000}","{""type"":3,""num"":10}",31,0,,,,,
350007,1702020,探险,6,"{""type"":4,""num"":12000}","{""type"":3,""num"":15}",26,0,,,,,
350008,1407002,累计消耗金币,50000,"{""type"":4,""num"":12000}","{""type"":3,""num"":10}",20,0,,,,,
350009,1704001,进行任意副本历练,3,"{""type"":4,""num"":8000}","{""type"":3,""num"":5}",27,0,,,,,
350010,1704002,参与排位赛,3,"{""type"":4,""num"":12000}","{""type"":3,""num"":10}",10,0,,,,,
350011,1702011,排位赛领取战功,1000,"{""type"":4,""num"":12000}","{""type"":3,""num"":15}",24,0,,,,,
350012,1408106,累计消耗钻石,10,"{""type"":4,""num"":16000}","{""type"":3,""num"":15}",21,0,,,,,
350013,1702011,参与战魔神殿,1,"{""type"":4,""num"":16000}","{""type"":3,""num"":10}",12,0,,,,,
350014,1702008,联盟捐献,1,"{""type"":4,""num"":12000}","{""type"":3,""num"":10}",17,0,,,,,
350015,1702011,参与炼狱,1,"{""type"":4,""num"":12000}","{""type"":3,""num"":10}",13,0,,,,,
350016,1407003,进行神之财宝,3,"{""type"":4,""num"":16000}","{""type"":3,""num"":15}",30,0,,,,,
350017,1704001,购买体力,1,"{""type"":4,""num"":16000}","{""type"":3,""num"":15}",28,0,,,,,
350018,1407001,联盟祈福,1,"{""type"":4,""num"":12000}","{""type"":3,""num"":10}",29,0,,,,,
350019,1702011,参与深渊巢穴,1,"{""type"":4,""num"":16000}","{""type"":3,""num"":10}",11,0,,,,,
350020,1702014,每天签到,1,"{""type"":4,""num"":8000}","{""type"":3,""num"":5}",19,0,,,,,
400001,1702014,获得维纳斯祝福,1,"{""type"":4,""num"":10000}","{""type"":3,""num"":5}",3,0,,,,,
400002,1702011,战功兑换物品,1,"{""type"":4,""num"":12000}","{""type"":3,""num"":5}",25,0,,,,,
400003,1702007,召唤神灵,10,"{""type"":4,""num"":20000}","{""type"":3,""num"":15}",5,0,,,,,
400004,1704003,融合神灵,3,"{""type"":4,""num"":8000}","{""type"":3,""num"":5}",6,0,,,,,
400005,1704003,使用时光匙,1,"{""type"":4,""num"":10000}","{""type"":3,""num"":5}",7,0,,,,,
400006,1702003,挑战任意精英副本,2,"{""type"":4,""num"":15000}","{""type"":3,""num"":10}",31,0,,,,,
400007,1702020,探险,6,"{""type"":4,""num"":15000}","{""type"":3,""num"":15}",26,0,,,,,
400008,1407002,累计消耗金币,50000,"{""type"":4,""num"":15000}","{""type"":3,""num"":10}",20,0,,,,,
400009,1704001,进行任意副本历练,3,"{""type"":4,""num"":10000}","{""type"":3,""num"":5}",27,0,,,,,
400010,1704002,参与排位赛,3,"{""type"":4,""num"":15000}","{""type"":3,""num"":10}",10,0,,,,,
400011,1702011,排位赛领取战功,1000,"{""type"":4,""num"":15000}","{""type"":3,""num"":15}",24,0,,,,,
400012,1408106,累计消耗钻石,10,"{""type"":4,""num"":20000}","{""type"":3,""num"":15}",21,0,,,,,
400013,1702011,参与战魔神殿,1,"{""type"":4,""num"":20000}","{""type"":3,""num"":10}",12,0,,,,,
400014,1702008,联盟捐献,1,"{""type"":4,""num"":15000}","{""type"":3,""num"":10}",17,0,,,,,
400015,1702011,参与炼狱,1,"{""type"":4,""num"":15000}","{""type"":3,""num"":10}",13,0,,,,,
400016,1407003,进行神之财宝,3,"{""type"":4,""num"":20000}","{""type"":3,""num"":15}",30,0,,,,,
400017,1704001,购买体力,1,"{""type"":4,""num"":20000}","{""type"":3,""num"":15}",28,0,,,,,
400018,1407001,联盟祈福,1,"{""type"":4,""num"":15000}","{""type"":3,""num"":10}",29,0,,,,,
400019,1702011,参与深渊巢穴,1,"{""type"":4,""num"":20000}","{""type"":3,""num"":10}",11,0,,,,,
400020,1702014,每天签到,1,"{""type"":4,""num"":10000}","{""type"":3,""num"":5}",19,0,,,,,
450001,1702014,获得维纳斯祝福,1,"{""type"":4,""num"":12000}","{""type"":3,""num"":5}",3,0,,,,,
450002,1702011,战功兑换物品,1,"{""type"":4,""num"":13000}","{""type"":3,""num"":5}",25,0,,,,,
450003,1702007,召唤神灵,10,"{""type"":4,""num"":24000}","{""type"":3,""num"":15}",5,0,,,,,
450004,1704003,融合神灵,3,"{""type"":4,""num"":10000}","{""type"":3,""num"":5}",6,0,,,,,
450005,1704003,使用时光匙,1,"{""type"":4,""num"":12000}","{""type"":3,""num"":5}",7,0,,,,,
450006,1702003,挑战任意精英副本,2,"{""type"":4,""num"":18000}","{""type"":3,""num"":10}",31,0,,,,,
450007,1702020,探险,6,"{""type"":4,""num"":18000}","{""type"":3,""num"":15}",26,0,,,,,
450008,1407002,累计消耗金币,50000,"{""type"":4,""num"":18000}","{""type"":3,""num"":10}",20,0,,,,,
450009,1704001,进行任意副本历练,3,"{""type"":4,""num"":13000}","{""type"":3,""num"":5}",27,0,,,,,
450010,1704002,参与排位赛,3,"{""type"":4,""num"":18000}","{""type"":3,""num"":10}",10,0,,,,,
450011,1702011,排位赛领取战功,1000,"{""type"":4,""num"":18000}","{""type"":3,""num"":15}",24,0,,,,,
450012,1408106,累计消耗钻石,10,"{""type"":4,""num"":24000}","{""type"":3,""num"":15}",21,0,,,,,
450013,1702011,参与战魔神殿,1,"{""type"":4,""num"":24000}","{""type"":3,""num"":10}",12,0,,,,,
450014,1702008,联盟捐献,1,"{""type"":4,""num"":18000}","{""type"":3,""num"":10}",17,0,,,,,
450015,1702011,参与炼狱,1,"{""type"":4,""num"":18000}","{""type"":3,""num"":10}",13,0,,,,,
450016,1407003,进行神之财宝,3,"{""type"":4,""num"":24000}","{""type"":3,""num"":15}",30,0,,,,,
450017,1704001,购买体力,1,"{""type"":4,""num"":24000}","{""type"":3,""num"":15}",28,0,,,,,
450018,1407001,联盟祈福,1,"{""type"":4,""num"":18000}","{""type"":3,""num"":10}",29,0,,,,,
450019,1702011,参与深渊巢穴,1,"{""type"":4,""num"":24000}","{""type"":3,""num"":10}",11,0,,,,,
450020,1702014,每天签到,1,"{""type"":4,""num"":12000}","{""type"":3,""num"":5}",19,0,,,,,
500001,1702014,获得维纳斯祝福,1,"{""type"":4,""num"":14000}","{""type"":3,""num"":5}",3,0,,,,,
500002,1702011,战功兑换物品,1,"{""type"":4,""num"":16000}","{""type"":3,""num"":5}",25,0,,,,,
500003,1702007,召唤神灵,10,"{""type"":4,""num"":28000}","{""type"":3,""num"":15}",5,0,,,,,
500004,1704003,融合神灵,3,"{""type"":4,""num"":12000}","{""type"":3,""num"":5}",6,0,,,,,
500005,1704003,使用时光匙,1,"{""type"":4,""num"":14000}","{""type"":3,""num"":5}",7,0,,,,,
500006,1702003,挑战任意精英副本,2,"{""type"":4,""num"":21000}","{""type"":3,""num"":10}",31,0,,,,,
500007,1702020,探险,6,"{""type"":4,""num"":21000}","{""type"":3,""num"":15}",26,0,,,,,
500008,1407002,累计消耗金币,50000,"{""type"":4,""num"":21000}","{""type"":3,""num"":10}",20,0,,,,,
500009,1704001,进行任意副本历练,3,"{""type"":4,""num"":16000}","{""type"":3,""num"":5}",27,0,,,,,
500010,1704002,参与排位赛,3,"{""type"":4,""num"":21000}","{""type"":3,""num"":10}",10,0,,,,,
500011,1702011,排位赛领取战功,1000,"{""type"":4,""num"":21000}","{""type"":3,""num"":15}",24,0,,,,,
500012,1408106,累计消耗钻石,10,"{""type"":4,""num"":28000}","{""type"":3,""num"":15}",21,0,,,,,
500013,1702011,参与战魔神殿,1,"{""type"":4,""num"":26000}","{""type"":3,""num"":10}",12,0,,,,,
500014,1702008,联盟捐献,1,"{""type"":4,""num"":21000}","{""type"":3,""num"":10}",17,0,,,,,
500015,1702011,参与炼狱,1,"{""type"":4,""num"":21000}","{""type"":3,""num"":10}",13,0,,,,,
500016,1407003,进行神之财宝,3,"{""type"":4,""num"":28000}","{""type"":3,""num"":15}",30,0,,,,,
500017,1704001,购买体力,1,"{""type"":4,""num"":28000}","{""type"":3,""num"":15}",28,0,,,,,
500018,1407001,联盟祈福,1,"{""type"":4,""num"":21000}","{""type"":3,""num"":10}",29,0,,,,,
500019,1702011,参与深渊巢穴,1,"{""type"":4,""num"":28000}","{""type"":3,""num"":10}",11,0,,,,,
500020,1702014,每天签到,1,"{""type"":4,""num"":14000}","{""type"":3,""num"":5}",19,0,,,,,
550001,1702014,获得维纳斯祝福,1,"{""type"":4,""num"":16000}","{""type"":3,""num"":5}",3,0,,,,,
550002,1702011,战功兑换物品,1,"{""type"":4,""num"":18000}","{""type"":3,""num"":5}",25,0,,,,,
550003,1702007,召唤神灵,10,"{""type"":4,""num"":32000}","{""type"":3,""num"":15}",5,0,,,,,
550004,1704003,融合神灵,3,"{""type"":4,""num"":14000}","{""type"":3,""num"":5}",6,0,,,,,
550005,1704003,进行世界聊天,1,"{""type"":4,""num"":16000}","{""type"":3,""num"":5}",2,0,,,,,
550006,1702003,挑战任意精英副本,2,"{""type"":4,""num"":26000}","{""type"":3,""num"":10}",31,0,,,,,
550007,1702020,探险,6,"{""type"":4,""num"":24000}","{""type"":3,""num"":15}",26,0,,,,,
550008,1407002,累计消耗金币,50000,"{""type"":4,""num"":24000}","{""type"":3,""num"":10}",20,0,,,,,
550009,1704001,进行任意副本历练,3,"{""type"":4,""num"":18000}","{""type"":3,""num"":5}",27,0,,,,,
550010,1704002,参与排位赛,3,"{""type"":4,""num"":24000}","{""type"":3,""num"":10}",10,0,,,,,
550011,1702011,排位赛领取战功,1000,"{""type"":4,""num"":24000}","{""type"":3,""num"":15}",24,0,,,,,
550012,1408106,累计消耗钻石,10,"{""type"":4,""num"":32000}","{""type"":3,""num"":15}",21,0,,,,,
550013,1702011,参与战魔神殿,1,"{""type"":4,""num"":30000}","{""type"":3,""num"":10}",12,0,,,,,
550014,1702008,联盟捐献,1,"{""type"":4,""num"":24000}","{""type"":3,""num"":10}",17,0,,,,,
550015,1702011,参与炼狱,1,"{""type"":4,""num"":24000}","{""type"":3,""num"":10}",13,0,,,,,
550016,1407003,进行神之财宝,3,"{""type"":4,""num"":32000}","{""type"":3,""num"":15}",30,0,,,,,
550017,1704001,购买体力,1,"{""type"":4,""num"":32000}","{""type"":3,""num"":15}",28,0,,,,,
550018,1407001,联盟祈福,1,"{""type"":4,""num"":24000}","{""type"":3,""num"":10}",29,0,,,,,
550019,1702011,参与深渊巢穴,1,"{""type"":4,""num"":32000}","{""type"":3,""num"":10}",11,0,,,,,
550020,1702014,每天签到,1,"{""type"":4,""num"":16000}","{""type"":3,""num"":5}",19,0,,,,,
600001,1702014,获得维纳斯祝福,1,"{""type"":4,""num"":18000}","{""type"":3,""num"":5}",3,0,,,,,
600002,1702011,战功兑换物品,1,"{""type"":4,""num"":20000}","{""type"":3,""num"":5}",25,0,,,,,
600003,1702007,召唤神灵,10,"{""type"":4,""num"":36000}","{""type"":3,""num"":15}",5,0,,,,,
600004,1704003,融合神灵,3,"{""type"":4,""num"":16000}","{""type"":3,""num"":5}",6,0,,,,,
600005,1704003,进行世界聊天,1,"{""type"":4,""num"":18000}","{""type"":3,""num"":5}",2,0,,,,,
600006,1702003,挑战任意精英副本,2,"{""type"":4,""num"":31000}","{""type"":3,""num"":10}",31,0,,,,,
600007,1702020,探险,6,"{""type"":4,""num"":27000}","{""type"":3,""num"":15}",26,0,,,,,
600008,1407002,累计消耗金币,50000,"{""type"":4,""num"":27000}","{""type"":3,""num"":10}",20,0,,,,,
600009,1704001,进行任意副本历练,3,"{""type"":4,""num"":20000}","{""type"":3,""num"":5}",27,0,,,,,
600010,1704002,参与排位赛,3,"{""type"":4,""num"":27000}","{""type"":3,""num"":10}",10,0,,,,,
600011,1702011,排位赛领取战功,1000,"{""type"":4,""num"":27000}","{""type"":3,""num"":15}",24,0,,,,,
600012,1408106,累计消耗钻石,10,"{""type"":4,""num"":36000}","{""type"":3,""num"":15}",21,0,,,,,
600013,1702011,参与战魔神殿,1,"{""type"":4,""num"":34000}","{""type"":3,""num"":10}",12,0,,,,,
600014,1702008,联盟捐献,1,"{""type"":4,""num"":27000}","{""type"":3,""num"":10}",17,0,,,,,
600015,1702011,参与炼狱,1,"{""type"":4,""num"":27000}","{""type"":3,""num"":10}",13,0,,,,,
600016,1407003,进行神之财宝,3,"{""type"":4,""num"":36000}","{""type"":3,""num"":15}",30,0,,,,,
600017,1704001,购买体力,1,"{""type"":4,""num"":36000}","{""type"":3,""num"":15}",28,0,,,,,
600018,1407001,联盟祈福,1,"{""type"":4,""num"":27000}","{""type"":3,""num"":10}",29,0,,,,,
600019,1702011,参与深渊巢穴,1,"{""type"":4,""num"":36000}","{""type"":3,""num"":10}",11,0,,,,,
600020,1702014,每天签到,1,"{""type"":4,""num"":18000}","{""type"":3,""num"":5}",19,0,,,,,
650001,1702014,获得维纳斯祝福,1,"{""type"":4,""num"":20000}","{""type"":3,""num"":5}",3,0,,,,,
650002,1702011,战功兑换物品,1,"{""type"":4,""num"":22000}","{""type"":3,""num"":5}",25,0,,,,,
650003,1702007,召唤神灵,10,"{""type"":4,""num"":40000}","{""type"":3,""num"":15}",5,0,,,,,
650004,1704003,融合神灵,3,"{""type"":4,""num"":18000}","{""type"":3,""num"":5}",6,0,,,,,
650005,1704003,进行世界聊天,1,"{""type"":4,""num"":20000}","{""type"":3,""num"":5}",2,0,,,,,
650006,1702003,挑战任意精英副本,2,"{""type"":4,""num"":36000}","{""type"":3,""num"":10}",31,0,,,,,
650007,1702020,探险,6,"{""type"":4,""num"":30000}","{""type"":3,""num"":15}",26,0,,,,,
650008,1407002,累计消耗金币,50000,"{""type"":4,""num"":30000}","{""type"":3,""num"":10}",20,0,,,,,
650009,1704001,进行任意副本历练,3,"{""type"":4,""num"":22000}","{""type"":3,""num"":5}",27,0,,,,,
650010,1704002,参与排位赛,3,"{""type"":4,""num"":30000}","{""type"":3,""num"":10}",10,0,,,,,
650011,1702011,排位赛领取战功,1000,"{""type"":4,""num"":30000}","{""type"":3,""num"":15}",24,0,,,,,
650012,1408106,累计消耗钻石,10,"{""type"":4,""num"":40000}","{""type"":3,""num"":15}",21,0,,,,,
650013,1702011,参与战魔神殿,1,"{""type"":4,""num"":38000}","{""type"":3,""num"":10}",12,0,,,,,
650014,1702008,联盟捐献,1,"{""type"":4,""num"":30000}","{""type"":3,""num"":10}",17,0,,,,,
650015,1702011,参与炼狱,1,"{""type"":4,""num"":30000}","{""type"":3,""num"":10}",13,0,,,,,
650016,1407003,进行神之财宝,3,"{""type"":4,""num"":40000}","{""type"":3,""num"":15}",30,0,,,,,
650017,1704001,购买体力,1,"{""type"":4,""num"":40000}","{""type"":3,""num"":15}",28,0,,,,,
650018,1407001,联盟祈福,1,"{""type"":4,""num"":30000}","{""type"":3,""num"":10}",29,0,,,,,
650019,1702011,参与深渊巢穴,1,"{""type"":4,""num"":40000}","{""type"":3,""num"":10}",11,0,,,,,
650020,1702014,每天签到,1,"{""type"":4,""num"":20000}","{""type"":3,""num"":5}",19,0,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
