id,des,panelType,sort,showType,actTimeTips,actRuleTips,openType,time,showlimit,rule,gift,End
#9,精英礼包,1,,1,本次开放内测期间,凡计费删档内测时达到30级的用户，在7月25日开放内测时可领以下奖励,6,,,7,"{""1"":{""start"":30,""end"":60,""tips"":""精英礼包"",""reward1"":1307101061,""reward2"":1307101061,""reward4"":1307101061}}",
#10,充值返利,1,,5,本次开放内测期间,之前参与充值返利的玩家，本次开放内测时在1服战神降临里获得200%钻石返还,6,,,8,"{""1"":{""start"":1,""end"":1,""tips"":""老玩家充值返利""}}",
11,VIP礼包,2,3,1,不限,充值达到指定额度可提升VIP，每个等级的VIP都可以领取以下礼包。,6,,,9,"{""1"":{""start"":1,""end"":15,""tips"":""VIP1礼包"",""reward1"":1307101201,""reward2"":1307101201,""reward4"":1307101201},""2"":{""start"":2,""end"":15,""tips"":""VIP2礼包"",""reward1"":1307101202,""reward2"":1307101232,""reward4"":1307101262},""3"":{""start"":3,""end"":15,""tips"":""VIP3礼包"",""reward1"":1307101203,""reward2"":1307101203,""reward4"":1307101233},""4"":{""start"":4,""end"":15,""tips"":""VIP4礼包"",""reward1"":1307101204,""reward2"":1307101204,""reward4"":1307101204},""5"":{""start"":5,""end"":15,""tips"":""VIP5礼包"",""reward1"":1307101205,""reward2"":1307101205,""reward4"":1307101205},""6"":{""start"":6,""end"":15,""tips"":""VIP6礼包"",""reward1"":1307101206,""reward2"":1307101206,""reward4"":1307101206},""7"":{""start"":7,""end"":15,""tips"":""VIP7礼包"",""reward1"":1307101207,""reward2"":1307101207,""reward4"":1307101237},""8"":{""start"":8,""end"":15,""tips"":""VIP8礼包"",""reward1"":1307101208,""reward2"":1307101208,""reward4"":1307101208},""9"":{""start"":9,""end"":15,""tips"":""VIP9礼包"",""reward1"":1307101209,""reward2"":1307101209,""reward4"":1307101209},""10"":{""start"":10,""end"":15,""tips"":""VIP10礼包"",""reward1"":1307101210,""reward2"":1307101210,""reward4"":1307101210},""11"":{""start"":11,""end"":15,""tips"":""VIP11礼包"",""reward1"":1307101211,""reward2"":1307101211,""reward4"":1307101241},""12"":{""start"":12,""end"":15,""tips"":""VIP12礼包"",""reward1"":1307101212,""reward2"":1307101212,""reward4"":1307101212},""13"":{""start"":13,""end"":15,""tips"":""VIP13礼包"",""reward1"":1307101213,""reward2"":1307101213,""reward4"":1307101213},""14"":{""start"":14,""end"":15,""tips"":""VIP14礼包"",""reward1"":1307101214,""reward2"":1307101214,""reward4"":1307101214},""15"":{""start"":15,""end"":15,""tips"":""VIP15礼包"",""reward1"":1307101215,""reward2"":1307101245,""reward4"":1307101275}}",
12,超值月卡,2,4,6,,,6,,,,,
13,限时抢购,2,9,7,,,6,,,,,
#14,超值回赠,1,7,8,9月5日-9月11日,开放测试期间体验过游戏的老玩家，均可在9月5日正式内测时领取一个豪华回归礼包。,6,,"{""kind"":2,""end"":1409846400}",12,"{""1"":{""start"":1409846400,""reward1"":1307101033,""reward2"":1307101033,""reward4"":1307101033,""vip_reward1"":1307101034,""vip_reward2"":1307101034,""vip_reward4"":1307101034}}",
15,试炼礼包,1,7,1,开服第4天-第7天（共4天）,通过【神之试炼】副本玩法中通关每5层则能领取到神之试炼礼包,6,,"{""kind"":1,""start"":259200,""end"":604800}",13,"{""1"":{""start"":5,""end"":5,""tips"":""第5层"",""reward1"":1307101401,""reward2"":1307101401,""reward4"":1307101401},""2"":{""start"":10,""end"":10,""tips"":""第10层"",""reward1"":1307101402,""reward2"":1307101402,""reward4"":1307101402},""3"":{""start"":15,""end"":15,""tips"":""第15层"",""reward1"":1307101403,""reward2"":1307101403,""reward4"":1307101403},""4"":{""start"":20,""end"":20,""tips"":""第20层"",""reward1"":1307101404,""reward2"":1307101404,""reward4"":1307101404},""5"":{""start"":25,""end"":25,""tips"":""第25层"",""reward1"":1307101405,""reward2"":1307101405,""reward4"":1307101405},""6"":{""start"":30,""end"":30,""tips"":""第30层"",""reward1"":1307101406,""reward2"":1307101406,""reward4"":1307101406},""7"":{""start"":35,""end"":35,""tips"":""第35层"",""reward1"":1307101407,""reward2"":1307101407,""reward4"":1307101407}}",
16,炫酷翅膀,2,1,9,限时抢购:三天,,6,,"{""kind"":3,""end"":259200}",,"{""1"":{""cost"":1980,""stage"":2,""level"":0}}",
17,羽翼礼包,1,2,1,开服第4天~第7天（共4天）,羽翼每进阶成功一阶，可领取对应品阶奖励,6,,"{""kind"":1,""start"":259200,""end"":604800}",14,"{""1"":{""start"":2,""end"":2,""tips"":""一阶"",""reward1"":1307101501,""reward2"":1307101501,""reward4"":1307101501},""2"":{""start"":3,""end"":3,""tips"":""二阶"",""reward1"":1307101502,""reward2"":1307101502,""reward4"":1307101502},""3"":{""start"":4,""end"":4,""tips"":""三阶"",""reward1"":1307101503,""reward2"":1307101503,""reward4"":1307101503},""4"":{""start"":5,""end"":5,""tips"":""四阶"",""reward1"":1307101504,""reward2"":1307101504,""reward4"":1307101504},""5"":{""start"":6,""end"":6,""tips"":""五阶"",""reward1"":1307101505,""reward2"":1307101505,""reward4"":1307101505},""6"":{""start"":7,""end"":7,""tips"":""六阶"",""reward1"":1307101506,""reward2"":1307101506,""reward4"":1307101506}}",
#18,剧情礼包,1,,1,开服第1天~第3天,开服前3天，通关剧情副本可获得额外奖励,6,,"{""kind"":1,""start"":0,""end"":259200}",15,,
#19,活动礼包,1,9,10,,,6,,,16,"{""1"":{""icon"":1405005,""tips"":""好评活动礼包"",""reward1"":1307101119,""reward2"":1307101119,""reward4"":1307101119},""2"":{""icon"":1405005,""tips"":""微信分享礼包"",""reward1"":1307101120,""reward2"":1307101120,""reward4"":1307101120}}",
#20,每日分享,1,10,10,每天,每天前3次分享可获得奖励,1,"[{""hh"":0,""mm"":0,""ss"":0}]",,17,"{""1"":{""icon"":1405005,""tips"":""每天分享礼包"",""reward1"":1307101121,""reward2"":1307101121,""reward4"":1307101121}}",
21,超值福袋,2,11,11,不限,,6,,,,,
22,锋芒初露,1,12,12,开服前3天,开服1-3日，战役剧情满星通关可获得额外钻石奖励,6,,"{""kind"":1,""start"":0,""end"":259200}",18,"{""1"":60,""2"":170,""3"":255,""4"":340,""5"":425,""6"":510}",
