id,describe,icon,atlas,directory,left,right,top,bottom,packToLarger
1203205,45级紫色魔剑衣服,Equip_MJ_050303,,EquipmentAtlas,0,0,0,0,1
1203206,55级紫色魔剑衣服,Equip_MJ_060303,,EquipmentAtlas,0,0,0,0,1
1203207,65级紫色魔剑衣服,Equip_MJ_070303,,EquipmentAtlas,0,0,0,0,1
1203208,75级紫色魔剑衣服,Equip_MJ_070303,,EquipmentAtlas,0,0,0,0,1
1203401,1级绿色狂战衣服,Equip_KZ_010103,,EquipmentAtlas,0,0,0,0,1
1203402,15级蓝色狂战衣服,Equip_KZ_020203,,EquipmentAtlas,0,0,0,0,1
1203403,25级紫色狂战衣服,Equip_KZ_030203,,EquipmentAtlas,0,0,0,0,1
1203404,35级紫色狂战衣服,Equip_KZ_040303,,EquipmentAtlas,0,0,0,0,1
1203405,45级紫色狂战衣服,Equip_KZ_050303,,EquipmentAtlas,0,0,0,0,1
1203406,55级紫色狂战衣服,Equip_KZ_060303,,EquipmentAtlas,0,0,0,0,1
1203407,65级紫色狂战衣服,Equip_KZ_070303,,EquipmentAtlas,0,0,0,0,1
1203408,75级紫色狂战衣服,Equip_KZ_070303,,EquipmentAtlas,0,0,0,0,1
1204101,1级绿色圣骑鞋子,Equip_SQ_010104,,EquipmentAtlas,0,0,0,0,1
1204102,15级蓝色圣骑鞋子,Equip_SQ_020204,,EquipmentAtlas,0,0,0,0,1
1204103,25级紫色圣骑鞋子,Equip_SQ_030204,,EquipmentAtlas,0,0,0,0,1
1204104,35级紫色圣骑鞋子,Equip_SQ_040304,,EquipmentAtlas,0,0,0,0,1
1204105,45级紫色圣骑鞋子,Equip_SQ_050304,,EquipmentAtlas,0,0,0,0,1
1204106,55级紫色圣骑鞋子,Equip_SQ_060304,,EquipmentAtlas,0,0,0,0,1
1204107,65级紫色圣骑鞋子,Equip_SQ_070304,,EquipmentAtlas,0,0,0,0,1
1204108,75级紫色圣骑鞋子,Equip_SQ_070304,,EquipmentAtlas,0,0,0,0,1
1204201,1级绿色魔剑鞋子,Equip_MJ_010104,,EquipmentAtlas,0,0,0,0,1
1204202,15级蓝色魔剑鞋子,Equip_MJ_020204,,EquipmentAtlas,0,0,0,0,1
1204203,25级紫色魔剑鞋子,Equip_MJ_030204,,EquipmentAtlas,0,0,0,0,1
1204204,35级紫色魔剑鞋子,Equip_MJ_040304,,EquipmentAtlas,0,0,0,0,1
1204205,45级紫色魔剑鞋子,Equip_MJ_050304,,EquipmentAtlas,0,0,0,0,1
1204206,55级紫色魔剑鞋子,Equip_MJ_060304,,EquipmentAtlas,0,0,0,0,1
1204207,65级紫色魔剑鞋子,Equip_MJ_070304,,EquipmentAtlas,0,0,0,0,1
1204208,75级紫色魔剑鞋子,Equip_MJ_070304,,EquipmentAtlas,0,0,0,0,1
1204401,1级绿色狂战鞋子,Equip_KZ_010104,,EquipmentAtlas,0,0,0,0,1
1204402,15级蓝色狂战鞋子,Equip_KZ_020204,,EquipmentAtlas,0,0,0,0,1
1204403,25级紫色狂战鞋子,Equip_KZ_030204,,EquipmentAtlas,0,0,0,0,1
1204404,35级紫色狂战鞋子,Equip_KZ_040304,,EquipmentAtlas,0,0,0,0,1
1204405,45级紫色狂战鞋子,Equip_KZ_050304,,EquipmentAtlas,0,0,0,0,1
1204406,55级紫色狂战鞋子,Equip_KZ_060304,,EquipmentAtlas,0,0,0,0,1
1204407,65级紫色狂战鞋子,Equip_KZ_070304,,EquipmentAtlas,0,0,0,0,1
1204408,75级紫色狂战鞋子,Equip_KZ_070304,,EquipmentAtlas,0,0,0,0,1
1205101,1级绿色圣骑项链,Equip_SQ_010105,,EquipmentAtlas,0,0,0,0,1
1205102,15级蓝色圣骑项链,Equip_SQ_020205,,EquipmentAtlas,0,0,0,0,1
1205103,25级紫色圣骑项链,Equip_SQ_030205,,EquipmentAtlas,0,0,0,0,1
1205104,35级紫色圣骑项链,Equip_SQ_040305,,EquipmentAtlas,0,0,0,0,1
1205105,45级紫色圣骑项链,Equip_SQ_050305,,EquipmentAtlas,0,0,0,0,1
1205106,55级紫色圣骑项链,Equip_SQ_060305,,EquipmentAtlas,0,0,0,0,1
1205107,65级紫色圣骑项链,Equip_SQ_070305,,EquipmentAtlas,0,0,0,0,1
1205108,75级紫色圣骑项链,Equip_SQ_070305,,EquipmentAtlas,0,0,0,0,1
1205201,1级绿色魔剑项链,Equip_MJ_010105,,EquipmentAtlas,0,0,0,0,1
1205202,15级蓝色魔剑项链,Equip_MJ_020205,,EquipmentAtlas,0,0,0,0,1
1205203,25级紫色魔剑项链,Equip_MJ_030205,,EquipmentAtlas,0,0,0,0,1
1205204,35级紫色魔剑项链,Equip_MJ_040305,,EquipmentAtlas,0,0,0,0,1
1205205,45级紫色魔剑项链,Equip_MJ_050305,,EquipmentAtlas,0,0,0,0,1
1205206,55级紫色魔剑项链,Equip_MJ_060305,,EquipmentAtlas,0,0,0,0,1
1205207,65级紫色魔剑项链,Equip_MJ_070305,,EquipmentAtlas,0,0,0,0,1
1205208,75级紫色魔剑项链,Equip_MJ_070305,,EquipmentAtlas,0,0,0,0,1
1205401,1级绿色狂战项链,Equip_KZ_010105,,EquipmentAtlas,0,0,0,0,1
1205402,15级蓝色狂战项链,Equip_KZ_020205,,EquipmentAtlas,0,0,0,0,1
1205403,25级紫色狂战项链,Equip_KZ_030205,,EquipmentAtlas,0,0,0,0,1
1205404,35级紫色狂战项链,Equip_KZ_040305,,EquipmentAtlas,0,0,0,0,1
1205405,45级红色狂战项链,Equip_KZ_050305,,EquipmentAtlas,0,0,0,0,1
1205406,55级紫色狂战项链,Equip_KZ_060305,,EquipmentAtlas,0,0,0,0,1
1205407,65级紫色狂战项链,Equip_KZ_070305,,EquipmentAtlas,0,0,0,0,1
1205408,75级紫色狂战项链,Equip_KZ_070305,,EquipmentAtlas,0,0,0,0,1
1206101,1级绿色圣骑戒指,Equip_SQ_010106,,EquipmentAtlas,0,0,0,0,1
1206102,15级蓝色圣骑戒指,Equip_SQ_020206,,EquipmentAtlas,0,0,0,0,1
1206103,25级紫色圣骑戒指,Equip_SQ_030206,,EquipmentAtlas,0,0,0,0,1
1206104,35级紫色圣骑戒指,Equip_SQ_040306,,EquipmentAtlas,0,0,0,0,1
1206105,45级紫色圣骑戒指,Equip_SQ_050306,,EquipmentAtlas,0,0,0,0,1
1206106,55级紫色圣骑戒指,Equip_SQ_060306,,EquipmentAtlas,0,0,0,0,1
1206107,65级紫色圣骑戒指,Equip_SQ_070306,,EquipmentAtlas,0,0,0,0,1
1206108,75级紫色圣骑戒指,Equip_SQ_070306,,EquipmentAtlas,0,0,0,0,1
1206201,1级绿色魔剑戒指,Equip_MJ_010106,,EquipmentAtlas,0,0,0,0,1
1206202,15级蓝色魔剑戒指,Equip_MJ_020206,,EquipmentAtlas,0,0,0,0,1
1206203,25级紫色魔剑戒指,Equip_MJ_030206,,EquipmentAtlas,0,0,0,0,1
1206204,35级紫色魔剑戒指,Equip_MJ_040306,,EquipmentAtlas,0,0,0,0,1
1206205,45级紫色魔剑戒指,Equip_MJ_050306,,EquipmentAtlas,0,0,0,0,1
1206206,55级紫色魔剑戒指,Equip_MJ_060306,,EquipmentAtlas,0,0,0,0,1
1206207,65级紫色魔剑戒指,Equip_MJ_070306,,EquipmentAtlas,0,0,0,0,1
1206208,75级紫色魔剑戒指,Equip_MJ_070306,,EquipmentAtlas,0,0,0,0,1
1206401,1级绿色狂战戒指,Equip_KZ_010106,,EquipmentAtlas,0,0,0,0,1
1206402,15级蓝色狂战戒指,Equip_KZ_020206,,EquipmentAtlas,0,0,0,0,1
1206403,25级紫色狂战戒指,Equip_KZ_030206,,EquipmentAtlas,0,0,0,0,1
1206404,35级紫色狂战戒指,Equip_KZ_040306,,EquipmentAtlas,0,0,0,0,1
1206405,45级紫色狂战戒指,Equip_KZ_050306,,EquipmentAtlas,0,0,0,0,1
1206406,55级紫色狂战戒指,Equip_KZ_060306,,EquipmentAtlas,0,0,0,0,1
1206407,65级紫色狂战戒指,Equip_KZ_070306,,EquipmentAtlas,0,0,0,0,1
1206408,75级紫色狂战戒指,Equip_KZ_070306,,EquipmentAtlas,0,0,0,0,1
1221001,20级蓝色副官神器1,Equip_FG_030207,,EquipmentAtlas,0,0,0,0,1
1222001,20级蓝色副官神器2,Equip_FG_030208,,EquipmentAtlas,0,0,0,0,1
1223001,20级蓝色副官神器3,Equip_FG_030209,,EquipmentAtlas,0,0,0,0,1
1224001,20级蓝色副官神器4,Equip_FG_030210,,EquipmentAtlas,0,0,0,0,1
1233001,/[红月恋歌/]礼服（男）,Equip_hylg_10101,,EquipmentAtlas,0,0,0,0,1
1232001,/[红月恋歌/]发饰（男）,Equip_hylg_10102,,EquipmentAtlas,0,0,0,0,1
1233002,/[红月恋歌/]礼服（女）,Equip_hylg_20201,,EquipmentAtlas,0,0,0,0,1
1232002,/[红月恋歌/]发饰（女）,Equip_hylg_20202,,EquipmentAtlas,0,0,0,0,1
1233003,/[战神黎明/]礼服（男）,Equip_Zslm_10201,,EquipmentAtlas,0,0,0,0,1
1232003,/[战神黎明/]发饰（男）,Equip_Zslm_10202,,EquipmentAtlas,0,0,0,0,1
1233004,/[战神黎明/]礼服（女）,Equip_Zslm_20201,,EquipmentAtlas,0,0,0,0,1
1232004,/[战神黎明/]发饰（女）,Equip_Zslm_20202,,EquipmentAtlas,0,0,0,0,1
1233005,/[蓝色风暴/]礼服（男）,Equip_Lsfb_10301,,EquipmentAtlas,0,0,0,0,1
1232005,/[蓝色风暴/]发饰（男）,Equip_Lsfb_10302,,EquipmentAtlas,0,0,0,0,1
1233006,/[蓝色风暴/]礼服（女）,Equip_Lsfb_20301,,EquipmentAtlas,0,0,0,0,1
1232006,/[蓝色风暴/]发饰（女）,Equip_Lsfb_20302,,EquipmentAtlas,0,0,0,0,1
1233007,［双子座］衣服（男）,Equip_Szz_10401,,EquipmentAtlas,0,0,0,0,1
1232007,［双子座］头饰（男）,Equip_Szz_10402,,EquipmentAtlas,0,0,0,0,1
1233008,［双子座］衣服（女）,Equip_Szz_20401,,EquipmentAtlas,0,0,0,0,1
1232008,［双子座］头饰（女）,Equip_Szz_20402,,EquipmentAtlas,0,0,0,0,1
1233009,［巨蟹座］衣服（男）,Equip_jxz_10501,,EquipmentAtlas,0,0,0,0,1
1232009,［巨蟹座］头饰（男）,Equip_jxz_10502,,EquipmentAtlas,0,0,0,0,1
1233010,［巨蟹座］衣服（女）,Equip_jxz_20501,,EquipmentAtlas,0,0,0,0,1
1232010,［巨蟹座］头饰（女）,Equip_jxz_20502,,EquipmentAtlas,0,0,0,0,1
1233011,［狮子座］衣服（男）,Equip_Shizizuo_10601,,EquipmentAtlas,0,0,0,0,1
1232011,［狮子座］头饰（男）,Equip_Shizizuo_10602,,EquipmentAtlas,0,0,0,0,1
1233012,［狮子座］衣服（女）,Equip_Shizizuo_20601,,EquipmentAtlas,0,0,0,0,1
1232012,［狮子座］头饰（女）,Equip_Shizizuo_20602,,EquipmentAtlas,0,0,0,0,1
1233013,［处女座］衣服（男）,Equip_Cnz_10501,,EquipmentAtlas,0,0,0,0,1
1232013,［处女座］头饰（男）,Equip_Cnz_10502,,EquipmentAtlas,0,0,0,0,1
1233014,［处女座］衣服（女）,Equip_Cnz_20501,,EquipmentAtlas,0,0,0,0,1
1232014,［处女座］头饰（女）,Equip_Cnz_20502,,EquipmentAtlas,0,0,0,0,1
1231101,圣骑武饰1,Equip_SQWS_001,,EquipmentAtlas,0,0,0,0,1
1231102,圣骑武饰2,Equip_SQWS_002,,EquipmentAtlas,0,0,0,0,1
1231103,圣骑太阳神之矛,Equip_SQWS_003,,EquipmentAtlas,0,0,0,0,1
1231104,圣骑月女神之矛,Equip_SQWS_004,,EquipmentAtlas,0,0,0,0,1
1231201,魔剑武饰1,Equip_MJWS_001,,EquipmentAtlas,0,0,0,0,1
1231202,魔剑武饰2,Equip_MJWS_002,,EquipmentAtlas,0,0,0,0,1
1231203,魔剑太阳神之刃,Equip_MJWS_003,,EquipmentAtlas,0,0,0,0,1
1231204,魔剑月女神之刃,Equip_MJWS_004,,EquipmentAtlas,0,0,0,0,1
1231401,狂战武饰1,Equip_KZWS_001,,EquipmentAtlas,0,0,0,0,1
1231402,狂战武饰2,Equip_KZWS_002,,EquipmentAtlas,0,0,0,0,1
1231403,狂战太阳神巨剑,Equip_KZWS_003,,EquipmentAtlas,0,0,0,0,1
1231404,狂战月女神巨剑,Equip_KZWS_004,,EquipmentAtlas,0,0,0,0,1
1232101,羊毛,Material_ym_01,,MaterialAtlas,0,0,0,0,1
1232201,金羊毛,Material_jym_01,,MaterialAtlas,0,0,0,0,1
1240001,光神·纯白之翼,Equip_cb_001~Equip_cb_001,,EquipmentAtlas,0,0,0,0,1
1240002,盖亚·大地之翼,Equip_cb_001~Equip_cb_002,,EquipmentAtlas,0,0,0,0,1
1240003,海神·蔚蓝之翼,Equip_cb_001~Equip_cb_003,,EquipmentAtlas,0,0,0,0,1
1240004,爱神·多彩之翼,Equip_cb_001~Equip_cb_004,,EquipmentAtlas,0,0,0,0,1
1240005,战神·黄金之翼,Equip_cb_001~Equip_cb_005,,EquipmentAtlas,0,0,0,0,1
1240006,死神·噩梦之翼,Equip_cb_001~Equip_cb_006,,EquipmentAtlas,0,0,0,0,1
1240007,冥王·诅咒之翼,Equip_cb_001~Equip_cb_007,,EquipmentAtlas,0,0,0,0,1
1240008,夜神·恶魔之翼,Equip_cb_001~Equip_cb_008,,EquipmentAtlas,0,0,0,0,1
1240009,风神·暴风之翼,Equip_cb_001~Equip_cb_009,,EquipmentAtlas,0,0,0,0,1
1240010,月神·暗夜之翼,Equip_cb_001~Equip_cb_010,,EquipmentAtlas,0,0,0,0,1
1240011,雷神·宙斯之翼,Equip_cb_001~Equip_cb_011,,EquipmentAtlas,0,0,0,0,1
1240012,火神·圣焰之翼,Equip_cb_001~Equip_cb_012,,EquipmentAtlas,0,0,0,0,1
1301001,初级星纹石,Material_xws01,,MaterialAtlas,0,0,0,0,1
1301002,中级星纹石,Material_xws02,,MaterialAtlas,0,0,0,0,1
1301003,高级星纹石,Material_xws03,,MaterialAtlas,0,0,0,0,1
1302001,初级秘银,Material_my01,,MaterialAtlas,0,0,0,0,1
1302002,中级秘银,Material_my02,,MaterialAtlas,0,0,0,0,1
1302003,高级秘银,Material_my03,,MaterialAtlas,0,0,0,0,1
1303001,初级流金,Material_aj01,,MaterialAtlas,0,0,0,0,1
1303002,中级流金,Material_aj02,,MaterialAtlas,0,0,0,0,1
1303003,高级流金,Material_aj03,,MaterialAtlas,0,0,0,0,1
1304001,百年黑铁,Material_ht01,,MaterialAtlas,0,0,0,0,1
1304002,千年黑铁,Material_ht02,,MaterialAtlas,0,0,0,0,1
1304003,万年黑铁,Material_ht03,,MaterialAtlas,0,0,0,0,1
1305001,红水晶,Material_sj01,,MaterialAtlas,0,0,0,0,1
1305002,橙水晶,Material_lhcl05,,MaterialAtlas,0,0,0,0,1
1305003,紫水晶,Material_hlcl05,,MaterialAtlas,0,0,0,0,1
1306001,一品神愿石,Material_sys01,,MaterialAtlas,0,0,0,0,
1306002,二品神愿石,Material_sys02,,MaterialAtlas,0,0,0,0,
1306003,三品神愿石,Material_sys03,,MaterialAtlas,0,0,0,0,
1306004,四品神愿石,Material_sys04,,MaterialAtlas,0,0,0,0,
1306005,五品神愿石,Material_sys05,,MaterialAtlas,0,0,0,0,
1306006,六品神愿石,Material_sys06,,MaterialAtlas,0,0,0,0,
1307001,秘银碎片,Material_mysp_01,,MaterialAtlas,0,0,0,0,1
1307002,流金碎片,Material_ljsp_01,,MaterialAtlas,0,0,0,0,1
1307003,紫水晶碎片,Material_zsjsp_01,,MaterialAtlas,0,0,0,0,1
1307004,幽光陨铁碎片,Material_ygytsp_01,,MaterialAtlas,0,0,0,0,1
1307005,幽光羽毛碎片,Material_ygymsp_01,,MaterialAtlas,0,0,0,0,1
1308001,羽翼石,Material_yys_01,,MaterialAtlas,0,0,0,0,1
1309001,羽化石,Material_yhs_01,,MaterialAtlas,0,0,0,0,1
1311001,幽光宝藏,Material_ygbox01,,PropAtlas,0,0,0,0,1
1311002,红莲宝藏,Material_hlbox01,,PropAtlas,0,0,0,0,1
1311003,龙魂宝藏,Material_lhbox01,,PropAtlas,0,0,0,0,1
1312001,幽光宝盒,Material_ygbox02,,PropAtlas,0,0,0,0,1
1312002,红莲宝盒,Material_hlbox02,,PropAtlas,0,0,0,0,1
1312003,龙魂宝盒,Material_lhbox02,,PropAtlas,0,0,0,0,1
1321001,幽光陨铁,Material_ygcl01,,MaterialAtlas,0,0,0,0,1
1321002,红莲陨铁,Material_hlcl01,,MaterialAtlas,0,0,0,0,1
1321003,龙魂陨铁,Material_lhcl01,,MaterialAtlas,0,0,0,0,1
1322001,幽光玉,Material_ygcl06,,MaterialAtlas,0,0,0,0,1
1322002,红莲玉,Material_hlcl06,,MaterialAtlas,0,0,0,0,1
1322003,龙魂玉,Material_lhcl06,,MaterialAtlas,0,0,0,0,1
1323001,幽光钻,Material_ygcl05,,MaterialAtlas,0,0,0,0,1
1323002,红莲钻,Material_hlcl05,,MaterialAtlas,0,0,0,0,1
1323003,龙魂钻,Material_lhcl05,,MaterialAtlas,0,0,0,0,1
1324001,幽光羽毛,Material_ygcl02,,MaterialAtlas,0,0,0,0,1
1324002,红莲羽毛,Material_hlcl02,,MaterialAtlas,0,0,0,0,1
1324003,龙魂羽毛,Material_lhcl02,,MaterialAtlas,0,0,0,0,1
1325001,幽光甲,Material_ygcl03,,MaterialAtlas,0,0,0,0,1
1325002,红莲甲,Material_hlcl03,,MaterialAtlas,0,0,0,0,1
1325003,龙魂甲,Material_lhcl03,,MaterialAtlas,0,0,0,0,1
1326001,幽光丝绸,Material_ygcl04,,MaterialAtlas,0,0,0,0,1
1326002,红莲丝绸,Material_hlcl04,,MaterialAtlas,0,0,0,0,1
1326003,龙魂丝绸,Material_lhcl04,,MaterialAtlas,0,0,0,0,1
1331001,初级炼魂珠,Material_lhz01,,MaterialAtlas,0,0,0,0,1
1331002,中级炼魂珠,Material_lhz02,,MaterialAtlas,0,0,0,0,1
1331003,高级炼魂珠,Material_lhz03,,MaterialAtlas,0,0,0,0,1
1332001,初级冥王珠,Material_mwz01,,MaterialAtlas,0,0,0,0,1
1332002,中级冥王珠,Material_mwz02,,MaterialAtlas,0,0,0,0,1
1332003,高级冥王珠,Material_mwz03,,MaterialAtlas,0,0,0,0,1
1333001,凝露精华,Material_nljh01,,MaterialAtlas,0,0,0,0,1
1333002,水韵精华,Material_syjh01,,MaterialAtlas,0,0,0,0,1
1333003,冰魄精华,Material_bpjh01,,MaterialAtlas,0,0,0,0,1
1333004,幻彩精华,Material_hcjh01,,MaterialAtlas,0,0,0,0,1
1341001,黑丝线,Material_fyd01,,MaterialAtlas,0,0,0,0,1
1342001,魔兽皮,Material_gjd01,,MaterialAtlas,0,0,0,0,1
1401001,聚灵果,Material_jlg01,,PropAtlas,0,0,0,0,1
1402001,青铜潘多拉魔盒,Store_mohe01,,PropAtlas,0,0,0,0,
1402002,白银潘多拉魔盒,Store_mohe02,,PropAtlas,0,0,0,0,
1402003,黄金潘多拉魔盒,Store_mohe03,,PropAtlas,0,0,0,0,
1403001,青铜潘多拉魔盒钥匙,Store_key01,,PropAtlas,0,0,0,0,
1403002,白银潘多拉魔盒钥匙,Store_key02,,PropAtlas,0,0,0,0,
1403003,黄金潘多拉魔盒钥匙,Store_key03,,PropAtlas,0,0,0,0,
1404001,体力果,Material_physical01,,PropAtlas,0,0,0,0,1
1405001,青铜礼包,Store_mohe01,,PropAtlas,0,0,0,0,1
1405002,白银礼包,Store_mohe02,,PropAtlas,0,0,0,0,1
1405003,黄金礼包,Store_mohe03,,PropAtlas,0,0,0,0,1
1405004,白金礼包,Protagonist_lb_001,,Protagonist,0,0,0,0,1
1405005,王者礼包,Protagonist_lb_002,,Protagonist,0,0,0,0,1
1406001,组队加成礼包,Protagonist_lb_001,,Protagonist,0,0,0,0,1
1407001,小金币袋,Medicine_jd_01,,PropAtlas,0,0,0,0,1
1407002,中金币袋,Medicine_jd_02,,PropAtlas,0,0,0,0,1
1407003,大金币袋,Medicine_jd_03,,PropAtlas,0,0,0,0,1
1408001,金币图标,Medicine_gold_01,,PropAtlas,0,0,0,0,1
1408002,经验图标,Medicine_exp_01,,PropAtlas,0,0,0,0,1
1408003,勋章图标,main_rw_001,,Main,0,0,0,0,1
1408101,金币图标（小）,System_MIicon_000,,System,0,0,0,0,
1408102,钻石图标（小）,System_MIicon_001,,System,0,0,0,0,
1408103,星魂图标（小）,main_xh_000,,Main,0,0,0,0,
1408104,突飞令,seal_icon_001,,seal,0,0,0,0,1
1408105,召唤点,Material_zhd001,,MaterialAtlas,0,0,0,0,1
1408106,钻石图标1,Shop_gold_01,,PropAtlas,0,0,0,0,1
1408107,钻石图标2,Shop_gold_02,,PropAtlas,0,0,0,0,1
1408108,钻石图标3,Shop_gold_03,,PropAtlas,0,0,0,0,1
1408109,钻石图标4,Shop_gold_04,,PropAtlas,0,0,0,0,1
1408110,钻石图标5,Shop_gold_05,,PropAtlas,0,0,0,0,1
1408111,神圣召唤点,Material_zhd002,,MaterialAtlas,0,0,0,0,1
1409001,每周任务宝箱,main_rw_002,,Main,0,0,0,0,1
1410001,芬里尔之牙,Task_bw_000,,Task,0,0,0,0,
1410002,黄金的假面,Task_bw_001,,Task,0,0,0,0,
1410003,王者之戒,Task_bw_002,,Task,0,0,0,0,
1410004,妖巫之杖,Task_bw_003,,Task,0,0,0,0,
1410005,女妖面纱,Task_bw_004,,Task,0,0,0,0,
1410006,美杜莎之瞳,Task_bw_005,,Task,0,0,0,0,
1410007,水晶号角,Task_bw_006,,Task,0,0,0,0,
1410008,海神王冠,Task_bw_007,,Task,0,0,0,0,
1410009,夜之镇魂曲,Task_bw_008,,Task,0,0,0,0,
1410010,混沌王座,Task_bw_009,,Task,0,0,0,0,
1410011,蜘蛛坠饰,Task_bw_010,,Task,0,0,0,0,
